factor,bucket,split,direction,bucket_candidate_n,bucket_n_excursion,bucket_mean_mfe_atr,bucket_median_mfe_atr,bucket_mean_mae_atr,bucket_median_mae_atr,bucket_mean_net_excursion_atr,bucket_n_rr,bucket_n_weighted_rr,bucket_mean_R_2R,bucket_median_R_2R,bucket_target_hit_rate,bucket_stop_hit_rate,bucket_timeout_rate,bucket_both_hit_rate,rest_candidate_n,rest_n_excursion,rest_mean_mfe_atr,rest_median_mfe_atr,rest_mean_mae_atr,rest_median_mae_atr,rest_mean_net_excursion_atr,rest_n_rr,rest_n_weighted_rr,rest_mean_R_2R,rest_median_R_2R,rest_target_hit_rate,rest_stop_hit_rate,rest_timeout_rate,rest_both_hit_rate,delta_mean_R_2R,delta_target_hit_pp,delta_mean_mfe_atr,delta_mean_mae_atr
touch_behavior,NO_BREACH,DISCOVERY,FADE,12871,6188,1.7436724083701571,1.2208911301611725,1.5974860700009288,1.261184437886297,0.14618633836922834,6188,4304.5105,0.004961,-1.0,0.257595,0.578862,0.163058,0.000485,1942,1509,1.887624162033016,1.4063035918290296,1.7582150049936964,1.4065854972549234,0.12940915703931966,1509,686.4895,-0.020851,-1.0,0.278993,0.59841,0.117296,0.005302,0.025812,-2.1397999999999975,-0.14395175366285895,-0.16072893499276764
touch_behavior,NO_BREACH,VALIDATION,FOLLOW,5745,2783,1.5736343409561357,1.261982928194007,1.647823588747386,1.225254601899701,-0.07418924779125025,2783,1938.4426,-0.016593,-1.0,0.239669,0.581387,0.178944,0.0,923,734,1.745069202580996,1.3580208428379803,1.9210644335366487,1.4375681578004464,-0.17599523095565273,734,351.5574,-0.017419,-1.0,0.268392,0.589918,0.141689,0.0,0.0008260000000000003,-2.8723000000000027,-0.1714348616248602,-0.2732408447892627
touch_behavior,NO_BREACH,VALIDATION,FADE,5745,2783,1.647823588747386,1.225254601899701,1.5736343409561357,1.261982928194007,0.07418924779125025,2783,1938.4426,-0.016601,-1.0,0.252964,0.572045,0.174991,0.0,923,734,1.9210644335366487,1.4375681578004464,1.745069202580996,1.3580208428379803,0.17599523095565273,734,351.5574,0.036182,-1.0,0.277929,0.621253,0.100817,0.0,-0.052783,-2.4964999999999957,-0.2732408447892627,-0.1714348616248602
touch_behavior,BREACH_RECLAIM,DISCOVERY,FOLLOW,915,708,1.7618424080030168,1.387024483913212,1.7452432178911073,1.2595179958883878,0.01659919011190958,708,344.9753,0.025058,-1.0,0.286723,0.570621,0.142655,0.0,13898,6989,1.6090313932743388,1.2706840848364498,1.7648258650428732,1.238288553022209,-0.15579447176853445,6989,4646.0247,0.014414,-1.0,0.242524,0.557447,0.196452,0.003577,0.010644,4.419900000000002,0.15281101472867809,-0.01958264715176594
touch_behavior,BREACH_RECLAIM,DISCOVERY,FADE,915,708,1.7452432178911073,1.2595179958883878,1.7618424080030168,1.387024483913212,-0.01659919011190958,708,344.9753,-0.109461,-1.0,0.252825,0.620056,0.127119,0.0,13898,6989,1.7648258650428732,1.238288553022209,1.6090313932743388,1.2706840848364498,0.15579447176853445,6989,4646.0247,0.009643,-1.0,0.262699,0.57891,0.156818,0.001574,-0.119104,-0.9873999999999994,-0.01958264715176594,0.15281101472867809
touch_behavior,BREACH_RECLAIM,VALIDATION,FOLLOW,482,386,1.8231532986446635,1.3716344730505001,1.7357253861811661,1.301091972056656,0.08742791246349735,386,189.1687,0.069839,-1.0,0.277202,0.559585,0.163212,0.0,6186,3131,1.5798547463578445,1.2632632796986625,1.6856331756312395,1.239613056194873,-0.10577842927339498,3131,2100.8313,-0.024514,-1.0,0.241776,0.586075,0.172149,0.0,0.09435299999999999,3.542600000000001,0.24329855228681896,0.05009221054992663
touch_behavior,BREACH_RECLAIM,VALIDATION,FADE,482,386,1.7357253861811661,1.301091972056656,1.8231532986446635,1.3716344730505001,-0.08742791246349735,386,189.1687,-0.050126,-1.0,0.240933,0.65285,0.106218,0.0,6186,3131,1.6856331756312395,1.239613056194873,1.5798547463578445,1.2632632796986625,0.10577842927339498,3131,2100.8313,-0.004749,-1.0,0.2603,0.573619,0.166081,0.0,-0.045377,-1.9366999999999968,0.05009221054992663,0.24329855228681896
touch_behavior,CLOSE_BEYOND,DISCOVERY,FOLLOW,1027,801,1.7545508404637196,1.4109229649726094,2.0314480503434487,1.479207445770506,-0.2768972098797291,801,341.5142,-0.034781,-1.0,0.287141,0.579276,0.108614,0.024969,13786,6896,1.6096807251047018,1.2714354284978555,1.7437889568438851,1.223117284627376,-0.1341082317391833,6896,4649.4858,0.018817,-1.0,0.241879,0.556265,0.201131,0.000725,-0.053598,4.526199999999997,0.14487011535901773,0.28765909349956353
touch_behavior,CLOSE_BEYOND,DISCOVERY,FADE,1027,801,2.0314480503434487,1.479207445770506,1.7545508404637196,1.4109229649726094,0.2768972098797291,801,341.5142,0.068657,-1.0,0.302122,0.579276,0.108614,0.009988,13786,6896,1.7437889568438851,1.223117284627376,1.6096807251047018,1.2714354284978555,0.1341082317391833,6896,4649.4858,-0.003529,-1.0,0.257106,0.583092,0.159368,0.000435,0.072186,4.5016,0.28765909349956353,0.14487011535901773
touch_behavior,CLOSE_BEYOND,VALIDATION,FOLLOW,441,348,1.6541080561072017,1.357424397505257,2.1369682229596525,1.5736512926830857,-0.4828601668524508,348,162.3887,-0.119067,-1.0,0.258621,0.623563,0.117816,0.0,6227,3169,1.5958193917510124,1.2768351685723884,1.6556390503824239,1.2326719961039079,-0.059819658631411476,3169,2127.6113,-0.008908,-1.0,0.244241,0.578731,0.177027,0.0,-0.110159,1.4379999999999975,0.05828866435618929,0.4813291725772286
