wf,rr_target,fill_model,status,n
WF2,1.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,22
WF2,1.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,41
WF2,1.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.0,TOUCH_FILL,EXPIRED_UNFILLED,101
WF2,1.0,TOUCH_FILL,FILLED,631
WF2,1.0,TOUCH_FILL,FILLED_AT_OPEN,1114
WF2,1.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,336
WF2,1.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,1.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,47
WF2,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,21
WF2,1.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.25,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,212
WF2,1.25,STRICT_TRADE_THROUGH,FILLED,689
WF2,1.25,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,877
WF2,1.25,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.25,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,399
WF2,1.25,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,1.25,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,1.25,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,45
WF2,1.25,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,26
WF2,1.25,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.25,TOUCH_FILL,EXPIRED_UNFILLED,204
WF2,1.25,TOUCH_FILL,FILLED,705
WF2,1.25,TOUCH_FILL,FILLED_AT_OPEN,877
WF2,1.25,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.25,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,388
WF2,1.25,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,1.25,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,1.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,65
WF2,1.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,18
WF2,1.5,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,1.5,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,345
WF2,1.5,STRICT_TRADE_THROUGH,FILLED,659
WF2,1.5,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,728
WF2,1.5,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,1.5,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,430
WF2,1.5,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
