instrument,horizon,feature_set,model,decile,n,mean_prediction,realized_mean,realized_median,positive_rate
AG,8,F2_ACTIVITY,gbr_quantile,2,225,-0.0026730916330254635,-0.0011984948657845673,-0.0011882056368094,0.4577777777777778
AG,8,F2_ACTIVITY,gbr_quantile,3,225,-0.001506383438696234,-4.519711189805061e-06,-0.0005669827222163,0.4666666666666667
AG,8,F2_ACTIVITY,gbr_quantile,4,225,-0.0009426997560069927,-0.0002190317138818437,-6.56318708600916e-05,0.4888888888888889
AG,8,F2_ACTIVITY,gbr_quantile,5,225,-0.0006237916450009874,0.0015099643670790765,-0.000184939740995,0.49333333333333335
AG,8,F2_ACTIVITY,gbr_quantile,6,225,-0.0003959180661788237,0.001169198568192319,0.0004278685082746,0.52
AG,8,F2_ACTIVITY,gbr_quantile,7,225,-0.00017206187139647445,-0.0007878167490106924,-0.0007395082607303,0.4622222222222222
AG,8,F2_ACTIVITY,gbr_quantile,8,225,7.644069195138357e-05,0.00012548650345521652,0.0003417751836132,0.5022222222222222
AG,8,F2_ACTIVITY,gbr_quantile,9,225,0.0004327280801921669,0.0010036761571164431,0.0005310204567653,0.5244444444444445
AG,8,F2_ACTIVITY,gbr_quantile,10,225,0.0012171910806926022,0.00020586488761641146,-0.0001271051797071,0.49333333333333335
AG,8,F3_VOL,linear_qr,1,225,-0.004777913403956953,-0.0009008909532701377,-0.0013995803544232,0.4266666666666667
AG,8,F3_VOL,linear_qr,2,225,-0.002896942909333893,0.001433040984420135,0.0009743876049325,0.5377777777777778
AG,8,F3_VOL,linear_qr,3,225,-0.001995181462416774,-0.0012341213099446,-0.0006134593162144,0.4666666666666667
AG,8,F3_VOL,linear_qr,4,225,-0.0013657111252859157,-0.0006190609003623245,-0.001388599820432,0.4444444444444444
AG,8,F3_VOL,linear_qr,5,225,-0.0008523754357032984,-0.0010728323784057736,-0.0018255647007643,0.4266666666666667
AG,8,F3_VOL,linear_qr,6,225,-0.00043165451353754144,0.0006138962242375199,0.0005977286489977,0.5466666666666666
AG,8,F3_VOL,linear_qr,7,225,-3.3995256981963286e-05,0.0024738683348331887,0.0006437077789056,0.5377777777777778
AG,8,F3_VOL,linear_qr,8,225,0.00042291130182377056,0.00010272181057745029,-0.0005666971155658,0.47555555555555556
AG,8,F3_VOL,linear_qr,9,225,0.0009907965611927146,-0.0004104963489725471,0.000699937034245,0.52
AG,8,F3_VOL,linear_qr,10,225,0.0022544609393468306,0.0005580199578296774,-0.000131639571045,0.49777777777777776
AG,8,F3_VOL,gbr_quantile,1,225,-0.005194651712036747,-0.0017956343760277805,-0.0020619208155001,0.4177777777777778
AG,8,F3_VOL,gbr_quantile,2,225,-0.0031936363806861047,-0.00022308300292105034,-0.0015048911794202,0.4444444444444444
AG,8,F3_VOL,gbr_quantile,3,225,-0.00212563905414433,-0.001004216053358467,0.000203894383416,0.5022222222222222
AG,8,F3_VOL,gbr_quantile,4,225,-0.001338173607346324,0.00083553699686445,0.0001884599685195,0.5111111111111111
AG,8,F3_VOL,gbr_quantile,5,225,-0.0005280941320735804,0.001927150033344746,0.0009811136425952,0.5466666666666666
AG,8,F3_VOL,gbr_quantile,6,225,-0.00014473115952055862,-0.0007534959854325231,-0.0012468420422925,0.4488888888888889
AG,8,F3_VOL,gbr_quantile,7,225,0.00010190090920553581,-3.644567726322201e-05,-0.0002571520425613,0.48
AG,8,F3_VOL,gbr_quantile,8,225,0.000387803843710221,0.0002256014216408163,-0.0001387925054275,0.49333333333333335
AG,8,F3_VOL,gbr_quantile,9,225,0.0007501798286256937,0.0016231812710055368,0.0004802579763674,0.5066666666666667
AG,8,F3_VOL,gbr_quantile,10,225,0.0017188637715198063,0.0001455507930900816,0.0004368038508188,0.5288888888888889
AG,16,F1_DIRECTION,linear_qr,1,225,-0.007861044586813843,-0.0032565881195893275,-0.004489803460599,0.40444444444444444
AG,16,F1_DIRECTION,linear_qr,2,225,-0.00578833251908456,-0.0014678923400414626,-0.0031986960270855,0.4577777777777778
AG,16,F1_DIRECTION,linear_qr,3,225,-0.004272376010799912,-0.001471962396850564,-0.0036726011357343,0.4177777777777778
AG,16,F1_DIRECTION,linear_qr,4,225,-0.0030504324965760312,0.003042483712139246,0.0032226021238453,0.5688888888888889
AG,16,F1_DIRECTION,linear_qr,5,225,-0.0018467033548978697,0.0024944406025254368,0.000925155029444,0.5288888888888889
AG,16,F1_DIRECTION,linear_qr,6,225,-0.0009833216344792058,-0.0004746365248435433,-0.000737599148322,0.48
AG,16,F1_DIRECTION,linear_qr,7,225,-0.0003902771312807513,0.0007051686512632978,0.0004160351906907,0.5022222222222222
AG,16,F1_DIRECTION,linear_qr,8,225,0.0001842835588421128,0.0010373754744162384,0.0011853258070088,0.5333333333333333
AG,16,F1_DIRECTION,linear_qr,9,225,0.0008180612982337747,0.001415973750683147,0.0023354867052073,0.5555555555555556
AG,16,F1_DIRECTION,linear_qr,10,225,0.0020853734573762998,0.0011465095227175587,0.0015983427999451,0.5644444444444444
AG,16,F1_DIRECTION,gbr_quantile,1,225,-0.010061016283830703,-0.004975695233036471,-0.0045312408957254,0.39555555555555555
