instrument,horizon,feature_set,model,quantile,oos_rows,pinball_loss,baseline_pinball_loss,pinball_skill,calibration,calibration_error,positive_skill_fold_share,median_fold_skill
AG,16,F2_ACTIVITY,linear_qr,0.9,2250,0.003339660200614274,0.0032685120965872602,-0.0217677346525047,0.9097777777777778,0.009777777777777774,0.2,-0.0234637775388864
AG,16,F2_ACTIVITY,gbr_quantile,0.1,2250,0.003397944148597629,0.0034402210446655437,0.012289005711847989,0.08088888888888889,-0.01911111111111112,0.6,0.007287983357170513
AG,16,F2_ACTIVITY,gbr_quantile,0.5,2250,0.007195256027028743,0.007094775955801348,-0.014162543236510894,0.4408888888888889,-0.059111111111111114,0.0,-0.01285651171313651
AG,16,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0033318341747865365,0.0032685120965872602,-0.0193733651056065,0.9031111111111111,0.0031111111111110645,0.2,-0.021772590662796576
AG,16,F3_VOL,linear_qr,0.1,2250,0.0034395838497273392,0.0034402210446655437,0.0001852191850266749,0.07111111111111111,-0.028888888888888895,0.6,0.007566064503508718
AG,16,F3_VOL,linear_qr,0.5,2250,0.007105380941160559,0.007094775955801348,-0.0014947597253638367,0.4524444444444444,-0.04755555555555557,0.4,-0.006571909356543282
AG,16,F3_VOL,linear_qr,0.9,2250,0.003343787001768594,0.0032685120965872602,-0.02303032785466219,0.9084444444444445,0.008444444444444477,0.2,-0.03687668309853076
AG,16,F3_VOL,gbr_quantile,0.1,2250,0.003362778780409036,0.0034402210446655437,0.022510839638223534,0.07644444444444444,-0.023555555555555566,0.6,0.018386703083995593
AG,16,F3_VOL,gbr_quantile,0.5,2250,0.007214689555922689,0.007094775955801348,-0.016901675383179438,0.44355555555555554,-0.056444444444444464,0.0,-0.021953745224545074
AG,16,F3_VOL,gbr_quantile,0.9,2250,0.0033542547730548472,0.0032685120965872602,-0.02623293839331753,0.892,-0.008000000000000007,0.2,-0.015002468708390282
CU,4,F1_DIRECTION,linear_qr,0.1,2250,0.0005208521375329198,0.00051661545413942,-0.008200845250665667,0.07466666666666667,-0.025333333333333333,0.6,0.00010464492143413828
CU,4,F1_DIRECTION,linear_qr,0.5,2250,0.0010264405123559088,0.0010256538684288974,-0.0007669682250761589,0.5008888888888889,0.000888888888888939,0.4,-0.0007628245144266632
CU,4,F1_DIRECTION,linear_qr,0.9,2250,0.0005308625954631498,0.0005248422420498359,-0.011470786706879288,0.9217777777777778,0.021777777777777785,0.0,-0.012351102500902877
CU,4,F1_DIRECTION,gbr_quantile,0.1,2250,0.0005153406352116417,0.00051661545413942,0.002467636067724377,0.08355555555555555,-0.016444444444444456,0.6,0.0050323345720170165
CU,4,F1_DIRECTION,gbr_quantile,0.5,2250,0.0010326378546408467,0.0010256538684288974,-0.006809301292498793,0.5115555555555555,0.011555555555555541,0.2,-0.004344872317608273
CU,4,F1_DIRECTION,gbr_quantile,0.9,2250,0.0005164339620252191,0.0005248422420498359,0.01602058552257002,0.9204444444444444,0.020444444444444376,0.8,0.03146712287247844
CU,4,F2_ACTIVITY,linear_qr,0.1,2250,0.0005224153544125628,0.00051661545413942,-0.01122672623645049,0.07511111111111111,-0.02488888888888889,0.2,-0.00854817388149165
CU,4,F2_ACTIVITY,linear_qr,0.5,2250,0.001028541671492589,0.0010256538684288974,-0.0028155727312910717,0.5026666666666667,0.002666666666666706,0.4,-0.003863855158786178
CU,4,F2_ACTIVITY,linear_qr,0.9,2250,0.0005328058520536239,0.0005248422420498359,-0.015173340416893888,0.9191111111111111,0.01911111111111108,0.0,-0.013807493548658956
CU,4,F2_ACTIVITY,gbr_quantile,0.1,2250,0.0005151056436846713,0.00051661545413942,0.0029225034649102977,0.08533333333333333,-0.014666666666666675,0.6,0.025754704541389395
CU,4,F2_ACTIVITY,gbr_quantile,0.5,2250,0.0010362113843320829,0.0010256538684288974,-0.010293449113937037,0.5106666666666667,0.010666666666666713,0.0,-0.008168311963637764
CU,4,F2_ACTIVITY,gbr_quantile,0.9,2250,0.0005196689573919014,0.0005248422420498359,0.00985683743314869,0.92,0.020000000000000018,0.6,0.012986117117996243
CU,4,F3_VOL,linear_qr,0.1,2250,0.000524091437343287,0.00051661545413942,-0.014471079298857825,0.07377777777777778,-0.02622222222222223,0.2,-0.018684414192811305
CU,4,F3_VOL,linear_qr,0.5,2250,0.001028861114620315,0.0010256538684288974,-0.0031270258808953066,0.5004444444444445,0.0004444444444444695,0.4,-0.004125782458140881
CU,4,F3_VOL,linear_qr,0.9,2250,0.0005298887877088133,0.0005248422420498359,-0.009615357253386358,0.9182222222222223,0.01822222222222225,0.2,-0.005872280162285026
CU,4,F3_VOL,gbr_quantile,0.1,2250,0.0005166087967941025,0.00051661545413942,1.2886461804750837e-05,0.08533333333333333,-0.014666666666666675,0.6,0.023942388760119004
