group,horizon,feature_set,model,instrument_count,median_q10_skill,positive_q10_share,median_q50_skill,positive_q50_share,median_q90_skill,positive_q90_share,median_tail_skill,positive_tail_share,median_mean_skill,positive_mean_share,median_interval_skill,positive_interval_share,median_abs_coverage_error,median_q50_monotonicity,positive_q50_mono_share,median_width_path_monotonicity,positive_width_path_mono_share
METAL_HOLDOUT,4,F3_VOL,linear_qr,4,-0.015834960639387607,0.0,-0.0072774523901797394,0.0,-0.004379645258002107,0.5,-0.00794453824695654,0.25,-0.0072846548905879755,0.0,-0.004759267162207759,0.25,0.042199810492351275,0.48159382119259475,1.0,0.8969696969696969,1.0
METAL_HOLDOUT,8,F1_DIRECTION,gbr_quantile,4,-0.01117138103444526,0.0,-0.011341264795934447,0.0,0.0014662712626141716,0.75,-0.0018759288638531824,0.25,-0.0047207857338371255,0.0,-0.001909923431094418,0.25,0.03266666666666662,0.30652184046547065,1.0,0.8181818181818181,1.0
METAL_HOLDOUT,8,F1_DIRECTION,linear_qr,4,-0.01266398098906063,0.0,-0.005556056726409686,0.0,-0.0018716636243809592,0.5,-0.007039028930776736,0.0,-0.006697233779950426,0.0,-0.007270370509224411,0.0,0.05133333333333334,0.656663885688398,0.75,0.5575757575757575,0.75
METAL_HOLDOUT,8,F2_ACTIVITY,gbr_quantile,4,-0.00876418674285262,0.0,-0.012062046135940308,0.0,-0.0030695892903273014,0.25,-0.004289475659521924,0.25,-0.006133093151068987,0.0,-0.004300808371344611,0.25,0.02999999999999997,0.35642257383728115,1.0,0.7151515151515151,1.0
METAL_HOLDOUT,8,F2_ACTIVITY,linear_qr,4,-0.020194985346335792,0.0,-0.00942022258101316,0.0,-0.009961511904813536,0.25,-0.016342666193518096,0.0,-0.013678660065191545,0.0,-0.012010151457478968,0.0,0.048585954341992754,0.6601753085542038,0.75,0.5999999999999999,0.75
METAL_HOLDOUT,8,F3_VOL,gbr_quantile,4,-0.011015266407780944,0.25,-0.009356654910751216,0.0,-0.0010644251357826984,0.5,-0.0012962514804533143,0.5,-0.0037770446364530827,0.25,-0.0013553990407836891,0.5,0.03111111111111109,0.6937156262812234,1.0,0.5818181818181817,1.0
METAL_HOLDOUT,8,F3_VOL,linear_qr,4,-0.02293633569512543,0.0,-0.011606841910216548,0.0,-0.015312638784394705,0.25,-0.02284944694152391,0.25,-0.017241998608764,0.0,-0.014450190182427436,0.25,0.041871732153231256,0.5702758173663037,1.0,0.6606060606060606,1.0
METAL_HOLDOUT,16,F1_DIRECTION,gbr_quantile,4,-0.013808574807240959,0.0,-0.017397622953251868,0.0,-0.006740445533532535,0.5,-0.009416994705274712,0.0,-0.01413413287523163,0.0,-0.008746983669078778,0.0,0.03377777777777774,0.4363636363636363,1.0,0.47892624910933806,0.75
METAL_HOLDOUT,16,F1_DIRECTION,linear_qr,4,-0.010466997135964773,0.0,-0.00875106250168367,0.0,-0.01812900605989276,0.0,-0.016680334141385533,0.0,-0.01345549800260637,0.0,-0.0151223387366749,0.0,0.04772307779531276,0.6445426735671858,1.0,0.12121212121212122,0.5
METAL_HOLDOUT,16,F2_ACTIVITY,gbr_quantile,4,-0.01948849173998557,0.0,-0.01838918643681453,0.0,-0.014913668876931241,0.0,-0.021680510830389688,0.0,-0.0198067645006218,0.0,-0.021197986066056607,0.0,0.029333333333333267,0.6248789277211374,1.0,0.29696969696969694,0.5
METAL_HOLDOUT,16,F2_ACTIVITY,linear_qr,4,-0.01601958800869785,0.0,-0.013043797452964023,0.0,-0.025889243432354103,0.0,-0.020897858915849332,0.0,-0.01752929531350637,0.0,-0.019215286656229957,0.0,0.04788008945989142,0.4909090909090909,1.0,0.04242424242424242,0.5
METAL_HOLDOUT,16,F3_VOL,gbr_quantile,4,-0.01842923688525866,0.0,-0.017307036881634263,0.0,-0.010543919487754905,0.5,-0.01900413900759429,0.25,-0.016025580225630203,0.0,-0.019049152048721707,0.25,0.028888888888888797,0.5902357794987493,0.75,0.29696969696969694,0.5
METAL_HOLDOUT,16,F3_VOL,linear_qr,4,-0.02101729342802061,0.0,-0.013774627901153358,0.0,-0.026902546498624558,0.0,-0.021463376231168785,0.0,-0.017224221997621192,0.0,-0.02021981258335992,0.0,0.04753996721065901,0.5182567580794009,1.0,0.29696969696969694,0.5
DRIVER_DIVERSE_HOLDOUT,4,F1_DIRECTION,gbr_quantile,5,0.0023103932628351087,0.8,-0.006809301292498793,0.2,0.008342322876696784,0.6,0.009244110795147198,0.8,0.0038929734325985343,0.8,0.009297640209320002,0.8,0.019999999999999907,0.11607408613981622,0.6,0.9636363636363635,1.0
