instrument,horizon,feature_set,model,oos_rows,crossing_rate,ordered_share,interval_80_coverage_ordered,interval_score,baseline_interval_score,interval_score_skill,q50_spearman,q50_sign_accuracy,positive_interval_skill_fold_share,median_fold_interval_skill,q50_decile_monotonicity,q50_top_minus_bottom_median,width_abs_return_monotonicity,width_path_range_monotonicity,width_top_minus_bottom_path_range,q10_pinball_skill,q50_pinball_skill,q90_pinball_skill,mean_pinball_skill,tail_pinball_skill,abs_interval_coverage_error
CU,4,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8455031166518254,0.010523923347430917,0.010419585560750741,-0.010013621566024922,0.025115497006751312,0.5057777777777778,0.2,-0.00895769684972536,0.09203146787097731,0.0001944957703302,0.8424242424242423,0.9030303030303028,0.0005364868258475996,-0.01122672623645049,-0.0028155727312910717,-0.015173340416893888,-0.00973854646154515,-0.01320003332667219,0.04550311665182538
CU,4,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8346666666666667,0.010347746010765728,0.010414576961892559,0.006417058644952012,-0.043168622650076795,0.4951111111111111,0.8,0.013661062863780882,-0.5440156975482284,-0.0006555821351395,0.7696969696969697,0.7939393939393938,0.0022932364967800005,0.0029225034649102977,-0.010293449113937037,0.00985683743314869,0.0008286305947073173,0.006389670449029494,0.03466666666666662
CU,4,F3_VOL,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8459483526268923,0.010513010015679567,0.010419585560750741,-0.008966235210039697,0.020245310236803357,0.49822222222222223,0.2,-0.006478753706264273,0.07976060548818034,0.0003787228835828905,0.4787878787878787,0.8181818181818182,0.0009963616085896998,-0.014471079298857825,-0.0031270258808953066,-0.009615357253386358,-0.00907115414437983,-0.012043218276122092,0.04594835262689223
CU,4,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8302222222222222,0.010328239165259346,0.010414576961892559,0.008290091565805069,-0.049378610175814935,0.49466666666666664,0.8,0.018189259063776775,-0.6687619998624351,-0.0004816168117294,0.9999999999999999,0.9999999999999999,0.0020945010906769004,1.2886461804750837e-05,-0.010585406235709138,0.016437553281362427,0.0019550111691526797,0.008225219871583589,0.03022222222222215
CU,8,F1_DIRECTION,linear_qr,2250,0.0,1.0,0.8648888888888889,0.015176533412342636,0.01509895637044743,-0.005137907547507314,0.07005206183860724,0.5168888888888888,0.4,-0.008948808773865835,0.8181818181818182,0.0009270868383585999,0.23636363636363633,0.6969696969696969,0.0016679621578092,-0.00260092018290492,-0.0005694766517421179,-0.007740494524173691,-0.003636963786273576,-0.0051707073535393056,0.06488888888888888
CU,8,F1_DIRECTION,gbr_quantile,2250,0.0,1.0,0.8466666666666667,0.015127959231593512,0.01509895637044743,-0.0019208520400024742,0.02120308242494929,0.5111111111111111,0.6,0.013634669704311375,0.3039527718400323,0.00028680832809948166,0.8787878787878788,0.9393939393939393,0.0015216016451329003,-0.005547030382214269,-0.011674024080959855,0.0017990894386923362,-0.0051406550081605955,-0.0018739704717609662,0.046666666666666634
CU,8,F2_ACTIVITY,linear_qr,2250,0.0017777777777777779,0.9982222222222222,0.8619768477292965,0.015277594233455009,0.015105315579963169,-0.011405167444522801,0.06156789693981094,0.5133333333333333,0.2,-0.011692095689996851,0.7575757575757575,0.0007565668001628,0.3696969696969697,0.9030303030303028,0.0013032594746736998,-0.01723747406317022,-0.007404329178521074,-0.018394113489724973,-0.014345305577138756,-0.017815793776447597,0.06197684772929646
CU,8,F2_ACTIVITY,gbr_quantile,2250,0.0,1.0,0.8448888888888889,0.015220978836430308,0.01509895637044743,-0.008081516562410185,0.06577864221675316,0.5293333333333333,0.6,0.00046592993857585974,0.3939393939393939,0.0009607093857714,0.32121212121212117,0.9030303030303028,0.0012894908298718994,-0.010277381095657123,-0.00784808538932924,-0.00582887292827583,-0.00798477980442073,-0.008053127011966477,0.04488888888888887
CU,8,F3_VOL,linear_qr,2250,0.0035555555555555557,0.9964444444444445,0.8568242640499554,0.01534096102236805,0.015107213662268,-0.015472565975806596,0.0701757357015206,0.5262222222222223,0.2,-0.014453971234676066,0.7575757575757575,0.0008316130478117999,0.006060606060606061,0.8181818181818182,0.0014562387729295002,-0.022668589285393503,-0.008330176944569168,-0.02126535146684816,-0.01742137256560361,-0.02196697037612083,0.05682426404995533
CU,8,F3_VOL,gbr_quantile,2250,0.0,1.0,0.8408888888888889,0.01520771122623268,0.01509895637044743,-0.007202806148782104,0.055413230424535255,0.5266666666666666,0.6,0.0027786284630706426,0.6363636363636362,0.0008484301665159,0.6848484848484848,0.8545454545454544,0.0012236933072408002,-0.010481835262357908,-0.007336204415114844,-0.0038389902361875006,-0.007219009971220085,-0.007160412749272704,0.040888888888888864
