n_events,mean_signed_return,median_signed_return,win_rate,mean_mfe,mean_mae,instrument,horizon,strategy,opportunity,fold
98,8.235966073264898e-05,0.00021028285132845825,0.5510204081632653,0.0008480279942964508,-0.0006527245481542116,AL,H5,FOLLOW,TOP30,4
250,-3.602111132851205e-05,0.0,0.428,0.0005877355657279861,-0.0007279792979213649,AL,H5,FADE,ALL,4
98,-8.235966073264898e-05,-0.00021028285132845825,0.3673469387755102,0.0006527245481542116,-0.0008480279942964508,AL,H5,FADE,TOP30,4
250,-7.085835069806779e-05,-0.00022436634629652286,0.424,0.0016380122848779152,-0.0016408195349544479,AL,H15,FOLLOW,ALL,0
142,-5.6466875035719086e-05,-0.00021028987814158961,0.43661971830985913,0.002012781984437497,-0.0019749012755985117,AL,H15,FOLLOW,TOP30,0
250,7.085835069806779e-05,0.00022436634629652286,0.52,0.0016408195349544479,-0.0016380122848779152,AL,H15,FADE,ALL,0
142,5.6466875035719086e-05,0.00021028987814158961,0.5211267605633803,0.0019749012755985117,-0.002012781984437497,AL,H15,FADE,TOP30,0
250,0.0003596564715558781,0.0,0.48,0.002366316391340946,-0.0017531249303364383,AL,H15,FOLLOW,ALL,1
192,0.0005072096885832342,0.00020680457173238853,0.5052083333333334,0.0027119184384792726,-0.0019172012249950201,AL,H15,FOLLOW,TOP30,1
250,-0.0003596564715558781,0.0,0.492,0.0017531249303364383,-0.002366316391340946,AL,H15,FADE,ALL,1
192,-0.0005072096885832342,-0.00020680457173238853,0.4583333333333333,0.0019172012249950201,-0.0027119184384792726,AL,H15,FADE,TOP30,1
