instrument,horizon,features,stratum,learner,n,up_rate,auc,brier_skill,logloss_skill,calibration_slope,return_spread,mfe_up_top20,folds_evaluated
AG,H30,P2,TOP50,gbr,10661,0.5320326423412438,0.5047109812249855,-0.0063986368489901135,-0.004698662679555543,0.03804811402233656,-0.0001852520191383124,0.005333755318280496,7
AG,H30,P2,TOP30,logistic,9165,0.5327877795962902,0.5086227915377708,-0.006136100762304197,-0.004668514612179431,0.03357990639194023,9.123948615579586e-05,0.0056991944493019545,7
AG,H30,P2,TOP30,gbr,9165,0.5327877795962902,0.5157986945912206,-0.0065721390537212265,-0.00488131094992128,0.06380212710840324,-0.0002537917935641069,0.005640001312628376,7
AG,H30,P2,TOP20,logistic,7781,0.5345071327592854,0.5075720109097924,-0.010751371756361872,-0.008193818658396967,0.029612168739157355,-0.00020966729862359067,0.0053714015552627755,7
AG,H30,P2,TOP20,gbr,7781,0.5345071327592854,0.5180503744781065,-0.010341868107450303,-0.007777575073196985,0.05913843939200246,0.0002540341174560127,0.005615967559322533,7
AG,H30,P3,ALL,logistic,13057,0.5286053457915294,0.49736576666578003,-0.0018448629172458375,-0.0013368153578798836,-0.05810838429778406,-0.0005176130330517845,0.004669248947829021,7
AG,H30,P3,ALL,gbr,13057,0.5286053457915294,0.5086088022144066,-0.003368700307989192,-0.0024621258875230367,0.05632158463599802,-0.00032356498317139036,0.005426300185542402,7
AG,H30,P3,TOP50,logistic,10644,0.5339158211198798,0.4889666053673697,-0.006481921404415614,-0.004805746537752231,-0.07981954059277127,-0.0005691360152741355,0.0053371295271842185,7
AG,H30,P3,TOP50,gbr,10644,0.5339158211198798,0.5047550730290672,-0.005889462861675687,-0.004334636433611649,0.03489660842571706,-9.23365384981189e-05,0.005298368993953185,7
AG,H30,P3,TOP30,logistic,9159,0.5347745387050988,0.5062332364080804,-0.006540632156743609,-0.004948803934508916,0.02638293642774636,8.859795064146276e-05,0.0058076623813939675,7
AG,H30,P3,TOP30,gbr,9159,0.5347745387050988,0.5200693058841579,-0.00418515543191722,-0.0031104718040173562,0.08348838944797785,0.00028645331420848957,0.0057095708553982815,7
AG,H30,P3,TOP20,logistic,7773,0.5368583558471632,0.5066817770322443,-0.01170856566721179,-0.00892487482269555,0.025768634187186366,-0.00023211027512188887,0.005460946227608824,7
AG,H30,P3,TOP20,gbr,7773,0.5368583558471632,0.515674674494768,-0.009693282393226088,-0.0072448837698433355,0.05453411549357864,4.326659259678759e-05,0.005298131327233185,7
CU,H5,P0,ALL,logistic,18305,0.47948647910406994,0.5074027360170709,-0.0011536512770302654,-0.0008413191131855235,0.08070341377204354,1.97774816131753e-05,0.0007594996388310731,7
CU,H5,P0,ALL,gbr,18305,0.47948647910406994,0.5145088522335349,-0.0009846066955045973,-0.000725102594349325,0.1169551488506965,5.662376029574297e-06,0.000896797914289983,7
CU,H5,P0,TOP50,logistic,14078,0.48373348487000994,0.5009530745278117,-0.0017604741949730496,-0.0012804284775858044,-0.04866899297545801,-1.2304223952221286e-06,0.000845246613918909,7
CU,H5,P0,TOP50,gbr,14078,0.48373348487000994,0.505228711621438,-0.002543711758688394,-0.0018626619127020128,0.04506027852656963,1.7939939422299397e-05,0.0009216074839009489,7
CU,H5,P0,TOP30,logistic,8726,0.4851019940407976,0.49064045291021247,-0.0017230379649608718,-0.0012470663308539187,-0.1301657533742552,-1.2288192665149888e-05,0.0010072942564799995,7
CU,H5,P0,TOP30,gbr,8726,0.4851019940407976,0.5011256978530111,-0.004738620770929236,-0.003468119547374471,-0.008224110646900673,4.0511834297564694e-05,0.00101163713214293,7
CU,H5,P0,TOP20,logistic,6173,0.4948971326745505,0.4853260567172923,-0.003251688059912272,-0.002353545519685918,-0.14812817737367856,-6.99234066010444e-05,0.0010683145413120513,7
CU,H5,P0,TOP20,gbr,6173,0.4948971326745505,0.4907885578589658,-0.010928815816736437,-0.008008118532910613,-0.05652240164960936,-1.4508854998635428e-05,0.0011596462981022496,7
