horizon,feature_set,model,fold,train_rows,test_rows,purge_rows,train_end_time,test_start_time,test_end_time,oos_r2_vs_hist_mean,mae,rmse,pearson_ic,spearman_ic,sign_accuracy_raw
8,stats_15m_1h,elastic,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,0.0036901572394775206,1.0406832846753937,1.5188903377852256,0.07335648694248645,0.0014513945802570314,0.49333333333333335
8,stats_15m_1h,elastic,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.08041540962160187,0.8620487775602043,1.2174802264998617,-0.10052164111902653,-0.08507741234709283,0.4946004319654428
8,stats_15m_1h,rf,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.027019608351273927,1.0589726732211595,1.489763417012659,0.16120410756389297,0.11277637826911689,0.552
8,stats_15m_1h,rf,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.008332297577414272,1.1074632511896543,2.6041085092070553,-0.08752568653480748,0.09195487372577012,0.536
8,stats_15m_1h,rf,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.017366490022364234,1.0088468413982759,1.6023676912388123,0.013702636885433534,-0.015345222929157281,0.512
8,stats_15m_1h,rf,3,5750,750,8,2026-03-20 01:45:00,2026-03-20 10:45:00,2026-04-21 09:00:00,-0.03770222335585682,0.9625529760183541,1.4398865074012954,-0.06719406422521845,-0.07197902423233535,0.4746666666666667
8,stats_15m_1h,rf,4,6500,750,8,2026-04-21 00:30:00,2026-04-21 09:15:00,2026-05-23 01:15:00,-0.02188410080312342,1.0006505014906042,1.4918207092531823,-0.1210643374899014,-0.049165726516847134,0.4706666666666667
8,stats_15m_1h,rf,5,7250,750,8,2026-05-22 23:15:00,2026-05-23 01:30:00,2026-06-24 00:00:00,0.0062547648757831364,0.8979126477432505,1.3092378613900635,0.015704903477494626,0.03739684541588053,0.5026666666666667
8,stats_15m_1h,rf,6,8000,750,8,2026-06-23 22:00:00,2026-06-24 00:15:00,2026-07-22 09:00:00,-0.03196696893527662,0.9098198365708946,1.2784091453672133,-0.05386522075109681,-0.09630802886078126,0.4706666666666667
8,stats_15m_1h,rf,7,8750,750,8,2026-07-22 00:30:00,2026-07-22 09:15:00,2026-08-19 13:45:00,0.01175975146362973,1.024515277499826,1.5127267189577198,0.11385132434653103,0.04792293202626517,0.5
8,stats_15m_1h,rf,8,9500,463,8,2026-08-19 09:30:00,2026-08-19 14:00:00,2026-09-05 00:30:00,-0.022104601325494855,0.8408822728877906,1.1841704058950286,0.016355484205133292,-0.05486709684072972,0.4924406047516199
8,stats_15m_1h,hgb,0,3500,750,8,2025-12-12 01:30:00,2025-12-12 10:30:00,2026-01-14 02:15:00,-0.1959877176522935,1.2111527418504366,1.6076492325423046,0.12495519441837691,0.06773213396925372,0.4786666666666667
8,stats_15m_1h,hgb,1,4250,750,8,2026-01-14 00:15:00,2026-01-14 09:00:00,2026-02-11 13:45:00,-0.043170585748010026,1.1982279942992982,2.6487130053759924,-0.027452057806154867,0.09637778512692642,0.536
8,stats_15m_1h,hgb,2,5000,750,8,2026-02-11 09:30:00,2026-02-11 14:00:00,2026-03-20 10:30:00,-0.15845769177962188,1.1165491031395862,1.7098718165763305,-0.12864302838193178,-0.16540388729936562,0.444
