wf,model,symbol,n,auc,accuracy,balanced_accuracy
WF1,N_IDENTITY_MAP,AU,706,0.6406,0.6204,0.5748
WF1,N_IDENTITY_MAP,CF,1842,0.5421,0.5423,0.5438
WF1,N_IDENTITY_MAP,CU,1015,0.6307,0.6315,0.5624
WF1,N_IDENTITY_MAP,I,1893,0.5899,0.5758,0.5385
WF1,N_IDENTITY_MAP,M,1482,0.6243,0.6323,0.6038
WF1,N_IDENTITY_MAP,MA,1369,0.6788,0.6538,0.6345
WF1,N_IDENTITY_MAP,NI,1026,0.5922,0.5897,0.5278
WF1,N_IDENTITY_MAP,P,1005,0.6485,0.6119,0.5628
WF1,N_IDENTITY_MAP,RB,1504,0.609,0.5957,0.5551
WF1,N_IDENTITY_MAP,RU,1120,0.5908,0.5991,0.5574
WF1,N_IDENTITY_MAP,SC,939,0.5551,0.5644,0.5244
WF1,N_IDENTITY_MAP,SN,915,0.6436,0.6066,0.5689
WF1,N_IDENTITY_MAP,TA,1387,0.608,0.5689,0.554
WF1,N_MAP_CORE,AG,686,0.6985,0.6647,0.6097
WF1,N_MAP_CORE,AL,1500,0.5915,0.5753,0.5531
WF1,N_MAP_CORE,AU,706,0.6642,0.6615,0.6199
WF1,N_MAP_CORE,CF,1842,0.5662,0.5494,0.5533
WF1,N_MAP_CORE,CU,1015,0.6508,0.6443,0.5782
WF1,N_MAP_CORE,I,1893,0.5873,0.5626,0.5334
WF1,N_MAP_CORE,M,1482,0.6328,0.6242,0.5953
WF1,N_MAP_CORE,MA,1369,0.6836,0.656,0.6306
WF1,N_MAP_CORE,NI,1026,0.5922,0.5789,0.52
WF1,N_MAP_CORE,P,1005,0.6625,0.6279,0.5837
WF1,N_MAP_CORE,RB,1504,0.6243,0.631,0.5846
WF1,N_MAP_CORE,RU,1120,0.5925,0.6045,0.567
WF1,N_MAP_CORE,SC,939,0.5741,0.5868,0.5457
WF1,N_MAP_CORE,SN,915,0.6346,0.6295,0.5908
WF1,N_MAP_CORE,TA,1387,0.6427,0.6186,0.6046
WF2,M_ID,AG,651,0.5242,0.6298,0.5
WF2,M_ID,AL,893,0.5371,0.5834,0.5
WF2,M_ID,AU,688,0.4904,0.5959,0.5
WF2,M_ID,CF,1294,0.5096,0.5935,0.5045
WF2,M_ID,CU,749,0.5375,0.5741,0.5
WF2,M_ID,I,2100,0.5406,0.53,0.4981
WF2,M_ID,M,1484,0.5551,0.5849,0.4997
