wf,model_type,half_life,feature_block,score_ev_cw,if1_ev,if2_ev,if3_ev
WF1,HistGBR,240,S2,-0.0413605042940702,-0.076015591557198,-0.01994781594580228,-0.02811810537921032
WF1,HistGBR,240,S3,-0.039976002977434456,-0.07138438061976246,-0.013548052466467512,-0.03499557584607339
WF1,HistGBR,240,S4,-0.03197941621241738,-0.07138438061976246,-0.01592388442848313,-0.00862998358900655
WF1,HistGBR,480,S1,-0.03049736455821282,-0.08684889451434442,0.008498216919277969,-0.013141416079572001
WF1,HistGBR,480,S2,-0.025795118034869988,-0.08684889451434442,0.0077685064675877,0.0016950339421467624
WF1,HistGBR,480,S3,-0.02103652510476681,-0.07106621053041612,0.024502470093277533,-0.016545834877161856
WF1,HistGBR,480,S4,-0.028315527420070666,-0.07106621053041612,0.007190495253383572,-0.021070866983179445
WF2,Linear,None,S1,-0.004005444210307346,-0.0362653496885362,-0.0005182879939492483,0.024767305051563413
WF2,Linear,None,S2,0.01602558829936936,-0.036605008086322825,0.04301926649340577,0.04166250649102514
WF2,Linear,None,S3,-0.012654121363540811,-0.04250799763942233,-0.00205536563744818,0.006600999186248085
WF2,Linear,None,S4,0.0009221024527780464,-0.03594626385783425,0.015393723211136754,0.023318848005031634
WF2,Linear,60,S1,-0.00483393438279676,-0.033584878542734696,-0.013401114422217683,0.0324841898165621
WF2,Linear,60,S2,0.010112139023067882,-0.033604011018429275,0.03206972816688022,0.031870699920752706
WF2,Linear,60,S3,-0.006896614914722561,-0.03840255487410075,-0.009072037260510837,0.026784747390443897
WF2,Linear,60,S4,0.0015355237727597906,-0.04476510761801268,0.014747018629765648,0.0346246603065264
WF2,Linear,120,S1,-0.0034060594375083693,-0.030139455648248607,0.0034734142497646237,0.016447863085958876
WF2,Linear,120,S2,0.00688958812233549,-0.035392009881445564,0.027384302364678415,0.02867647188377362
WF2,Linear,120,S3,-0.017006532582946658,-0.05089096187597109,-0.017360314855492286,0.017231678982623403
WF2,Linear,120,S4,-0.008698990468782244,-0.036004524133998336,-0.001907461222027667,0.011815013949679268
WF2,Linear,240,S1,-0.005140056788463442,-0.03678737668115144,0.010566737386761412,0.010800468928999697
WF2,Linear,240,S2,0.012691231233146964,-0.030517813850339665,0.03781834273209465,0.03077316481768591
WF2,Linear,240,S3,-0.02425405156007993,-0.043344965175375026,-0.021577806385473762,-0.007839383119391006
WF2,Linear,240,S4,-0.008374008411311655,-0.03516785378331143,0.003186809988995108,0.006859018560381356
WF2,Linear,480,S1,-0.0010260080627459017,-0.03341329977766277,0.011061661244629432,0.01927361434479563
WF2,Linear,480,S2,0.010441425803886123,-0.036891486313977526,0.03909935673593255,0.029116406989703348
WF2,Linear,480,S3,-0.020657819734158336,-0.0420649739880142,-0.01865849917903347,-0.001249986035427343
WF2,Linear,480,S4,-0.006717823312619471,-0.03835813769827952,0.006750684777489187,0.011453982982931921
WF2,HistGBR,None,S1,0.010241750347701875,-0.03432040703486043,0.04855005168457551,0.016495606393390545
WF2,HistGBR,None,S2,0.004942596198912731,-0.01890196380103149,0.041789943798195665,-0.008060191400425984
WF2,HistGBR,None,S3,-0.0041694569440346935,-0.0069607363612105184,0.002472234534648869,-0.008019869005542432
WF2,HistGBR,None,S4,0.007893178570694069,-0.013726515330048402,0.032197489205214876,0.00520856183691573
WF2,HistGBR,60,S1,0.017750297429382486,-0.012834887990021878,0.008600867465088929,0.05748491281308041
WF2,HistGBR,60,S2,0.013547713198774472,-0.01629437031363454,0.011029868916648823,0.045907640993309136
WF2,HistGBR,60,S3,0.01762924864671196,0.009081955156653224,-0.018456979489951824,0.06226277027343447
WF2,HistGBR,60,S4,0.01986665654266966,0.007185755750419455,0.01628526090311519,0.03612895297447433
WF2,HistGBR,120,S1,0.0021665165611397946,-0.03673533727299011,0.014137373381871418,0.029097513574538075
WF2,HistGBR,120,S2,0.017820218386729245,-0.017939263972877557,0.043087642662187876,0.028312276470877414
WF2,HistGBR,120,S3,0.0038704168485821483,-0.018843465817744147,0.023299678992801227,0.007155037370689364
WF2,HistGBR,120,S4,0.017536849716198233,0.0034165190123134777,0.021422267372797874,0.027771762763483348
