task,wf,model,half_life,auc,log_loss,brier,n_train,n_test,r2,spearman,mae
wait_value,WF2,Linear,60,,,,1107509,577549,0.0020690676940090524,0.09807978568911281,0.9409484699495057
wait_value,WF2,Linear,120,,,,1107509,577549,0.002280741762047067,0.10916277711552423,0.935545577457176
wait_value,WF2,Linear,240,,,,1107509,577549,0.0023076536645907364,0.11404055045603304,0.9328206297652856
wait_value,WF2,Linear,480,,,,1107509,577549,0.0022961392802887115,0.1158342685211154,0.9315245184108052
wait_value,WF2,GBDT,None,,,,1107509,577549,-0.04247152404113752,0.1800662966740507,0.9619449830140705
wait_value,WF2,GBDT,60,,,,1107509,577549,-0.06142182179545297,0.15875484314418814,0.9740640067138178
wait_value,WF2,GBDT,120,,,,1107509,577549,-0.12536694915432367,0.17329865828467275,0.9770589163744905
wait_value,WF2,GBDT,240,,,,1107509,577549,-0.07932559007799367,0.1741557156912825,0.9686546901828427
wait_value,WF2,GBDT,480,,,,1107509,577549,-0.06735647482472151,0.17419920919831464,0.9688857968164821
wait_value,WF3,Linear,None,,,,1685643,567740,0.0019408901151046765,0.1308700607319863,0.9577199754638249
wait_value,WF3,Linear,60,,,,1685643,567740,0.001658193320082324,0.12109655766968228,0.9615623582622363
wait_value,WF3,Linear,120,,,,1685643,567740,0.0018796067233280978,0.1276105857362203,0.9587953965873925
wait_value,WF3,Linear,240,,,,1685643,567740,0.001935874189953779,0.12969167923750807,0.9581660742687672
wait_value,WF3,Linear,480,,,,1685643,567740,0.0019453457663384244,0.1304281878209467,0.9579414681742024
wait_value,WF3,GBDT,None,,,,1685643,567740,-0.016555506352455174,0.17526391031384797,0.9969755288304514
wait_value,WF3,GBDT,60,,,,1685643,567740,-0.000878998136996989,0.16802172634269458,0.9995060882535659
wait_value,WF3,GBDT,120,,,,1685643,567740,0.0012411676716949094,0.17439344651055375,0.9969961072511326
wait_value,WF3,GBDT,240,,,,1685643,567740,-0.006549456387858088,0.17541821661273774,0.9963019514978084
