symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate_w,both_hit_rate_event,gap_stop_rate_w,granularity_status
ALL,follow,1.0,2.5,24,4101,0.000367,0.000244,0.002203,5m_OK
ALL,follow,1.0,3.0,24,4101,0.000367,0.000244,0.002203,5m_OK
ALL,follow,1.25,1.0,24,4101,0.001836,0.002926,0.0,5m_OK
ALL,follow,1.25,1.5,24,4101,0.000734,0.001219,0.000367,5m_OK
ALL,follow,1.25,2.0,24,4101,0.000367,0.000244,0.000367,5m_OK
ALL,follow,1.25,2.5,24,4101,0.000367,0.000244,0.000367,5m_OK
ALL,follow,1.25,3.0,24,4101,0.0,0.0,0.000367,5m_OK
ALL,follow,1.5,1.0,24,4101,0.001468,0.002438,0.001836,5m_OK
ALL,follow,1.5,1.5,24,4101,0.000367,0.000244,0.002203,5m_OK
ALL,follow,1.5,2.0,24,4101,0.000367,0.000244,0.002203,5m_OK
ALL,follow,1.5,2.5,24,4101,0.0,0.0,0.002203,5m_OK
ALL,follow,1.5,3.0,24,4101,0.0,0.0,0.002203,5m_OK
ALL,follow,2.0,1.0,24,4101,0.000734,0.001219,0.0,5m_OK
ALL,follow,2.0,1.5,24,4101,0.000367,0.000244,0.0,5m_OK
ALL,follow,2.0,2.0,24,4101,0.0,0.0,0.0,5m_OK
ALL,follow,2.0,2.5,24,4101,0.0,0.0,0.0,5m_OK
ALL,follow,2.0,3.0,24,4101,0.0,0.0,0.0,5m_OK
ALL,fade,0.5,1.0,6,16483,0.084247,0.096766,0.000265,BORDERLINE
ALL,fade,0.5,1.5,6,16483,0.037151,0.044349,0.000265,BORDERLINE
ALL,fade,0.5,2.0,6,16483,0.019603,0.025177,0.000442,5m_OK
ALL,fade,0.5,2.5,6,16483,0.010144,0.014378,0.000442,5m_OK
ALL,fade,0.5,3.0,6,16483,0.006122,0.008797,0.000442,5m_OK
ALL,fade,0.75,1.0,6,16483,0.013967,0.01814,0.000972,5m_OK
ALL,fade,0.75,1.5,6,16483,0.005393,0.00722,0.001061,5m_OK
ALL,fade,0.75,2.0,6,16483,0.001768,0.002609,0.001061,5m_OK
ALL,fade,0.75,2.5,6,16483,0.000884,0.001274,0.001061,5m_OK
ALL,fade,0.75,3.0,6,16483,0.000619,0.001092,0.001061,5m_OK
ALL,fade,1.0,1.0,6,16483,0.003182,0.004247,0.000265,5m_OK
ALL,fade,1.0,1.5,6,16483,0.000796,0.001092,0.000265,5m_OK
ALL,fade,1.0,2.0,6,16483,0.000707,0.000971,0.000265,5m_OK
ALL,fade,1.0,2.5,6,16483,0.000442,0.000546,0.000265,5m_OK
ALL,fade,1.0,3.0,6,16483,0.000265,0.000182,0.000265,5m_OK
ALL,fade,1.25,1.0,6,16483,0.001061,0.002245,0.000796,5m_OK
ALL,fade,1.25,1.5,6,16483,0.00053,0.000728,0.000796,5m_OK
