symbol,fold,stop_atr,target_r,mean_R_LOW,mean_R_MID,mean_R_HIGH,delta_high_low
RB,3,1.25,3.0,0.434992,-0.170985,0.306912,-0.12807999999999997
RB,4,0.75,1.5,0.261919,0.074705,-0.041631,-0.30355
RB,4,0.75,2.0,0.428586,-0.152096,-0.05518,-0.48376600000000003
RB,4,0.75,2.5,0.595252,-0.137811,-0.147006,-0.742258
RB,4,0.75,3.0,0.761919,-0.187175,-0.251173,-1.0130919999999999
RB,4,1.0,1.5,0.238106,-0.017292,-0.051801,-0.289907
RB,4,1.0,2.0,0.404773,-0.092044,-0.21963,-0.624403
RB,4,1.0,2.5,0.571439,-0.142807,-0.214659,-0.786098
RB,4,1.0,3.0,0.738106,-0.204453,-0.206943,-0.945049
RB,4,1.25,1.5,0.223818,-0.017214,-0.110522,-0.33433999999999997
RB,4,1.25,2.0,0.390485,-0.135512,-0.198212,-0.588697
RB,4,1.25,2.5,0.557151,-0.179114,-0.187873,-0.7450239999999999
RB,4,1.25,3.0,0.624206,-0.246489,-0.174562,-0.798768
RB,5,0.75,1.5,-0.142472,0.114927,0.345323,0.487795
RB,5,0.75,2.0,-0.058091,-0.072315,0.168035,0.226126
RB,5,0.75,2.5,-0.132089,-0.038036,0.310892,0.442981
RB,5,0.75,3.0,-0.114931,-0.022913,0.349399,0.46433
RB,5,1.0,1.5,-0.048297,-0.070801,0.069767,0.118064
RB,5,1.0,2.0,-0.089906,-0.045749,0.212624,0.30253
RB,5,1.0,2.5,-0.077038,0.011251,0.259361,0.336399
RB,5,1.0,3.0,-0.04926,0.048281,0.222575,0.271835
RB,5,1.25,1.5,-0.114728,-0.028879,0.196188,0.31091599999999997
RB,5,1.25,2.0,-0.093322,0.020195,0.262149,0.35547100000000004
RB,5,1.25,2.5,-0.065545,0.054819,0.247006,0.312551
RB,5,1.25,3.0,-0.037767,0.063612,0.318435,0.356202
RB,6,0.75,1.5,0.041667,-0.287074,-0.023406,-0.065073
RB,6,0.75,2.0,0.039755,-0.248613,0.034174,-0.005580999999999996
RB,6,0.75,2.5,0.164755,-0.152459,0.141422,-0.02333300000000002
RB,6,0.75,3.0,-0.278043,-0.12676,-0.228903,0.04913999999999999
RB,6,1.0,1.5,-0.02336,-0.146022,-0.081186,-0.057825999999999995
RB,6,1.0,2.0,0.10164,-0.117716,-0.17323,-0.27487
RB,6,1.0,2.5,-0.282541,-0.060023,-0.246879,0.035662
RB,6,1.0,3.0,-0.282541,-0.173302,-0.271285,0.011255999999999988
RB,6,1.25,1.5,0.101344,-0.136034,-0.095337,-0.196681
RB,6,1.25,2.0,-0.197668,-0.097538,-0.302766,-0.10509799999999997
RB,6,1.25,2.5,-0.197668,-0.187002,-0.322291,-0.12462299999999998
RB,6,1.25,3.0,-0.197668,-0.167771,-0.322291,-0.12462299999999998
RB,ALL,0.75,1.5,0.096361,-0.023299,-0.019253,-0.115614
RB,ALL,0.75,2.0,0.193639,-0.100042,0.021122,-0.172517
RB,ALL,0.75,2.5,0.211282,-0.045925,0.073166,-0.13811600000000002
RB,ALL,0.75,3.0,0.193504,-0.060372,0.007509,-0.18599500000000002
RB,ALL,1.0,1.5,0.116263,-0.050311,0.002214,-0.11404900000000001
RB,ALL,1.0,2.0,0.171878,-0.028325,0.002279,-0.169599
RB,ALL,1.0,2.5,0.169108,-0.052392,-0.01276,-0.181868
RB,ALL,1.0,3.0,0.15615,-0.077765,-0.020185,-0.17633500000000002
RB,ALL,1.25,1.5,0.134426,-0.026032,0.023398,-0.11102799999999999
RB,ALL,1.25,2.0,0.153336,-0.057493,-0.013497,-0.166833
RB,ALL,1.25,2.5,0.152829,-0.074136,-0.024051,-0.17687999999999998
RB,ALL,1.25,3.0,0.166096,-0.086821,-0.024139,-0.190235
M,0,0.75,1.5,-0.117647,0.11505,0.256845,0.374492
M,0,0.75,2.0,-0.212268,-0.008888,0.256845,0.469113
M,0,0.75,2.5,-0.197622,0.03008,0.179922,0.377544
M,0,0.75,3.0,-0.134489,-0.004901,0.333768,0.46825700000000003
M,0,1.0,1.5,-0.328319,-0.029481,0.058019,0.386338
M,0,1.0,2.0,-0.299396,0.029995,0.019557,0.318953
M,0,1.0,2.5,-0.257589,-0.009402,-0.163884,0.09370500000000001
M,0,1.0,3.0,-0.259373,0.035628,-0.086961,0.172412
M,0,1.25,1.5,-0.331807,-0.06435,0.054107,0.38591400000000003
