architecture,population,table,decile,n,weight_sum,mean_predicted,mean_actual,actual_win_rate,avg_win,avg_loss,payoff_ratio
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,7,4272,2136.0,0.5647975536900507,0.024094170853902856,0.5781835205992509,1.1394482045446925,1.5047207365912973,0.7572489544644204
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,8,4264,2132.0,0.6082991001420195,0.034468328147804955,0.6308630393996247,1.2015302641735657,1.9600657302443776,0.6130050873466172
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,p_win,9,4269,2134.5,0.6913359934820699,0.16930382144792266,0.7015694542047318,1.4691700454422758,2.8865041384132137,0.5089790192540368
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,0,4269,2134.5,-0.42769348586962047,0.0699605112645122,0.5076130241274303,2.301533043334793,2.2306187832151734,1.0317912951568557
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,1,4268,2134.0,-0.12185361979712256,-0.0067342213762491485,0.4709465791940019,1.4347317686081167,1.2898815375270796,1.112297313254626
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,2,4268,2134.0,-0.06608654106931271,-0.0320373101729975,0.4599343955014058,1.1523367805499132,1.0406821431834414,1.1072898560793218
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,3,4268,2134.0,-0.03624355253961906,0.010569328011707122,0.47282099343955014,1.0085512302292923,0.8845095513994427,1.1402378059497433
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,4,4268,2134.0,-0.015575374052208508,0.017412619405184154,0.47985004686035615,0.9377571896401008,0.831625975117838,1.127618926894659
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,5,4268,2134.0,0.0031871434570229255,-0.0009580820786826172,0.47914714151827553,0.9552916583899522,0.8806390174175752,1.0847709895835547
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,6,4268,2134.0,0.02481095490835115,-0.02951148724997978,0.4772727272727273,0.9942466641927213,0.9642471907411415,1.031111807988283
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,7,4268,2134.0,0.056468962901197496,0.052424128233298076,0.5004686035613871,1.1970731148847893,1.0943724174925866,1.0938443766953752
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,8,4268,2134.0,0.1199183834679426,0.002560605679249941,0.48195876288659795,1.50151519738647,1.3919891885956264,1.0786830886965035
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,ev,9,4269,2134.5,0.4706754549061021,-0.08368287654142274,0.49590067931599907,2.1964290965265314,2.3267112440994424,0.9440058804446373
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,mu_win,0,2060,1030.0,0.5829219421002648,0.5552378267721021,1.0,0.5552378267721021,,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,mu_win,1,2132,1066.0,0.7353209364717066,0.6018427547965278,1.0,0.6018427547965278,,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,mu_win,2,1988,994.0,0.8096364218222037,0.6737419754346914,1.0,0.6737419754346914,,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,mu_win,3,2060,1030.0,0.8936714162183702,0.7330176352546126,1.0,0.7330176352546126,,
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,mu_win,4,2059,1029.5,1.0136272160687818,0.9020363769256602,1.0,0.9020363769256602,,
