architecture,population,symbol,decision_time,decision_bar,side,fold,actual_return,actual_abs_return,p_win,mu_win,mu_loss,predicted_rr,p_break_even,ev_margin,ev_c,probability_error_component,magnitude_error_component,total_ev_error,error_class
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CF,2025-08-11 10:15:00,3330,SHORT,1,-11.762787533930855,11.762787533930855,0.7516750938396246,2.0832977802586683,5.505600901846728,0.3783960765408683,0.7254808810175475,0.026194212822077123,0.19878522716424918,5.704386129010977,6.257186632084126,11.961572761095104,SELECTED_LOSER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-23 11:00:00,5429,SHORT,2,-11.682710282864448,11.682710282864448,0.6140072796133397,3.0695290126051615,2.8590974442599517,1.0736006982789905,0.48225292402243203,0.13175435559090765,0.7811223583634692,3.6402198026234207,8.823612838604497,12.463832641227917,SELECTED_LOSER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CF,2025-08-11 11:00:00,3332,SHORT,1,-11.655817145518999,11.655817145518999,0.7516750938396246,2.183170939043262,6.00245513780086,0.36371299558652226,0.7332921246892627,0.01838296915036186,0.15047611164702346,6.152931249447883,5.653362007718139,11.806293257166022,SELECTED_LOSER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,M,2025-12-03 11:15:00,5073,SHORT,4,29.696490539085495,29.696490539085495,0.5642197190093579,1.4300102744419056,1.8620730135399786,0.7679668112064626,0.5656214775421031,-0.0014017585327452675,-0.004614705839436906,-1.4346249802813427,-28.26648026464359,-29.701105244924932,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,M,2025-12-03 09:30:00,5067,SHORT,4,29.505042285095918,29.505042285095918,0.6061346189014696,1.4910751292352697,2.4452638306485563,0.6097808794888986,0.6212025579018541,-0.0150679390003845,-0.059312515332366256,-1.550387644567636,-28.013967155860648,-29.564354800428283,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,M,2025-11-28 14:45:00,5010,SHORT,4,28.666858752984904,28.666858752984904,0.4797933126974522,2.7762684543053076,2.6096175395462415,1.0638602830620318,0.48452892291543936,-0.004735610217987185,-0.02550545674539717,-2.8017739110507045,-25.890590298679598,-28.6923642097303,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,M,2025-12-01 15:00:00,5034,SHORT,4,27.80650728047504,27.80650728047504,0.5337032043387522,2.2951622730142107,2.71281586122945,0.8460442545385449,0.541698823059889,-0.007995618721136855,-0.040041883725202565,-2.3352041567394135,-25.51134500746083,-27.84654916420024,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,RU,2025-08-04 14:30:00,3223,LONG,1,19.260650702306705,19.260650702306705,0.37616735539976204,0.9010203100173575,0.789617190933504,1.1410849717597336,0.46705292559132366,-0.09088557019156163,-0.1536545532611558,-1.0546748632785132,-18.359630392289347,-19.41430525556786,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,RU,2025-08-04 14:45:00,3224,LONG,1,19.233917959332228,19.233917959332228,0.3616286512231179,0.9152902462658318,0.789617190933504,1.1591569393059364,0.4631437306828892,-0.10151507945977134,-0.17307381395884563,-1.0883640602246774,-18.318627713066395,-19.40699177329107,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CF,2025-08-11 09:30:00,3327,LONG,1,15.377104500425306,15.377104500425306,0.3040710111585255,5.356187264772384,2.8538855079984695,1.876805236145884,0.3476078211466692,-0.04353680998814374,-0.3574403782969575,-5.713627643069342,-10.020917235652922,-15.734544878722263,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-23 10:15:00,5427,LONG,2,12.45340052064983,12.45340052064983,0.37851114171559236,3.2904778704284294,2.812425719405254,1.169978587425331,0.46083404038861747,-0.08232289867302511,-0.5024087138371194,-3.7928865842655486,-9.1629226502214,-12.95580923448695,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-23 11:30:00,5431,LONG,2,12.316226769369448,12.316226769369448,0.3865924513969667,3.2904778704284294,2.812425719405254,1.169978587425331,0.46083404038861747,-0.07424158899165079,-0.45308925997210214,-3.7435671304005314,-9.02574889894102,-12.769316029341551,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,SC,2025-06-24 01:15:00,4050,SHORT,0,12.090476891462256,12.090476891462256,0.5547944044087509,3.9234147659815513,5.225927421417849,0.7507595206741482,0.571180672268993,-0.01638626786024211,-0.14992357182774008,-4.073338337809291,-8.167062125480705,-12.240400463289996,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-22 23:15:00,5415,LONG,2,11.98976891862976,11.98976891862976,0.37490056669322813,3.6363138849794643,2.3014760160944827,1.579992083145907,0.3875980885881838,-0.012697521894955655,-0.07539521727653287,-3.711709102255997,-8.353455033650295,-12.065164135906294,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-23 10:45:00,5428,LONG,2,11.952549128531306,11.952549128531306,0.39019275639526874,3.3119736936631496,2.8545929295428163,1.160226265323787,0.46291447153111726,-0.07272171513584852,-0.4484433013390161,-3.7604169950021658,-8.640575434868156,-12.400992429870321,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CF,2025-08-11 09:45:00,3328,LONG,1,11.898836031009605,11.898836031009605,0.22726347738034405,5.575021312231054,1.9363469279504495,2.879143830972482,0.25778884299562177,-0.030525365615277716,-0.22928726180252568,-5.80430857403358,-6.323814718778551,-12.12812329281213,SKIPPED_WINNER
A1_SHARE_TO_WIN,ROOT_CANDIDATE_TD5,CU,2025-09-22 22:15:00,5411,LONG,2,11.815717391638108,11.815717391638108,0.38153148637666284,3.5482004343049827,2.4842472643649964,1.4282798999929442,0.41181414053746673,-0.03028265416080389,-0.18267852740196022,-3.730878961706943,-8.267516957333125,-11.998395919040068,SKIPPED_WINNER
