symbol,oracle_trade_id,n_candidates,return_atr_m0,return_atr_m1
CU,CU_LONG_10869,19,1.215638977352495,-0.9721423038555657
CU,CU_LONG_10976,97,1.4195020010112296,0.7842380382763978
CU,CU_LONG_11150,68,2.087708155059319,1.834119577741399
CU,CU_LONG_11226,15,-1.2959263927582574,-1.2959263927582574
CU,CU_LONG_11356,42,5.553400415802389,6.30916722886272
CU,CU_LONG_11490,134,1.9487869939832227,1.9487869939832227
CU,CU_LONG_11772,3,1.781472971780774,1.781472971780774
CU,CU_LONG_11777,5,1.0375246534550286,1.0375246534550286
CU,CU_LONG_11803,6,3.5624269263414643,-0.053926138561001986
CU,CU_LONG_11835,81,2.4203290038417293,1.183596656713892
CU,CU_LONG_11941,54,0.8434336851549675,-1.6841280627709114
CU,CU_LONG_12101,36,3.7121629295554315,3.7121629295554315
CU,CU_LONG_12188,34,5.921868059196565,5.473398699049065
CU,CU_LONG_12236,43,-1.115881489992367,-1.115881489992367
CU,CU_LONG_9919,2,2.8210496922605097,-1.4907467830002676
CU,CU_LONG_9925,5,1.552980555531982,1.552980555531982
CU,CU_LONG_9976,1,-0.25152957170144996,0.25152957170144996
CU,CU_LONG_9980,1,-0.07137824095022681,0.07137824095022681
CU,CU_SHORT_10001,1,6.512596938176755,6.512596938176755
CU,CU_SHORT_10042,7,0.04093397548431323,-2.643020229094141
CU,CU_SHORT_10121,5,-3.6709101330271348,-3.6709101330271348
CU,CU_SHORT_10194,61,-0.25655559256318233,0.5037217779923856
CU,CU_SHORT_10402,45,4.667476642833677,3.8078572818405787
CU,CU_SHORT_10536,58,-0.8865746415004955,-1.2968437124283083
CU,CU_SHORT_10650,126,-2.01185760424999,-2.89966823847076
CU,CU_SHORT_11193,10,-0.4289834866547197,-0.4289834866547197
CU,CU_SHORT_11289,1,-0.15053466120763537,0.15053466120763537
CU,CU_SHORT_11294,38,-0.03892209991729973,0.33721360117597343
CU,CU_SHORT_11432,3,2.030374122293632,2.030374122293632
CU,CU_SHORT_11790,9,-1.8131838248869794,-1.8131838248869794
CU,CU_SHORT_11994,57,1.7487422216402648,2.275976102519144
CU,CU_SHORT_12215,10,-0.7371579997282599,-0.7371579997282599
CU,CU_SHORT_12318,14,0.8566903194606558,0.8566903194606558
CU,CU_SHORT_12428,40,0.025651189596214288,0.025651189596214288
CU,CU_SHORT_9910,1,-2.6187890452942177,-2.6187890452942177
CU,CU_SHORT_9936,8,-1.3982353490142683,-0.8082504799855282
CU,CU_SHORT_9951,10,-6.75245089408347,-6.75245089408347
I,I_LONG_7824,2,-2.1215164660773462,2.1215164660773462
I,I_LONG_7868,4,4.379651097607059,4.379651097607059
I,I_LONG_8032,1,0.22695983832627833,-0.22695983832627833
I,I_LONG_8042,21,1.0461020625043638,-0.576125116704244
I,I_LONG_8109,209,4.002637226148374,2.997976635097787
I,I_LONG_8754,5,-1.4761546339705969,-1.9393288673662903
I,I_LONG_8766,4,2.323345259157581,2.323345259157581
I,I_LONG_8777,6,1.8906694536460324,-0.8651678731296476
I,I_LONG_8785,1,1.1371464482509084,1.1371464482509084
I,I_LONG_8844,4,1.9864777840593666,1.9864777840593666
I,I_LONG_8863,12,1.2483268909074616,1.2483268909074616
I,I_LONG_8905,1,-2.3568206227270436,-2.3568206227270436
I,I_LONG_8910,3,1.6926300862378598,-0.5992317284371547
I,I_LONG_8953,11,1.784334664921934,1.784334664921934
I,I_LONG_9012,162,2.9227571365845217,2.1802923537885777
I,I_LONG_9222,44,-2.178185296171062,-1.8994029881762238
I,I_SHORT_7364,112,-3.6158850232198065,-2.2329594338914878
I,I_SHORT_7588,61,-2.2947842853674065,-2.760562839678937
I,I_SHORT_7740,59,-2.048042421588821,-2.6774055721263146
I,I_SHORT_7809,1,0.6693850565162976,-0.6693850565162976
I,I_SHORT_7877,82,-5.765856006337779,-4.829533235340532
I,I_SHORT_8015,5,-0.04852489553937479,-0.04852489553937479
I,I_SHORT_8034,1,0.6863657907810051,0.6863657907810051
I,I_SHORT_8078,18,-1.5283041674761257,-3.3824078979869787
I,I_SHORT_8414,101,-0.07006503248723835,-0.01830278688103087
I,I_SHORT_8641,24,-2.730292301326971,3.7471988028157663
I,I_SHORT_8739,6,-1.6171334310873564,3.3005713171545614
I,I_SHORT_8869,29,-1.034231235739663,-1.034231235739663
I,I_SHORT_8926,2,-0.8221319660616595,-0.8221319660616595
I,I_SHORT_8937,11,3.359543578777301,2.719306710449765
I,I_SHORT_8976,11,-1.6209899692426168,-1.6209899692426168
I,I_SHORT_8997,12,-1.6631273026446332,-0.4485772700669158
MA,MA_LONG_7441,102,1.112859113312174,1.8346213454424958
MA,MA_LONG_7648,24,3.0353914211309476,-1.2862956651749295
MA,MA_LONG_7814,37,5.161612407842719,5.161612407842719
MA,MA_LONG_8214,40,4.226400607074721,5.277427780617557
MA,MA_LONG_8350,6,0.553179529161959,0.553179529161959
MA,MA_LONG_8380,4,11.785226641709224,11.785226641709224
MA,MA_LONG_8448,18,11.908288634167203,4.912066903637016
MA,MA_LONG_8814,9,1.4972233876154226,1.4972233876154226
MA,MA_LONG_8837,59,13.70433523730965,14.965586481389487
MA,MA_LONG_9052,11,0.6599525313669667,0.6599525313669667
MA,MA_LONG_9063,1,1.6001436081073102,1.6001436081073102
MA,MA_LONG_9112,35,5.276694028797151,1.0403160138401828
MA,MA_SHORT_7512,13,-2.264664837209885,-2.264664837209885
MA,MA_SHORT_7557,6,-0.7790390085279688,-0.7790390085279688
MA,MA_SHORT_7583,52,2.78442756793794,4.488318730935672
MA,MA_SHORT_7724,39,-2.476346317720866,-2.4306681206952385
MA,MA_SHORT_7801,11,-1.046551265239658,0.07516699756314672
MA,MA_SHORT_7903,42,-4.910885126872004,-12.219998861878567
MA,MA_SHORT_8005,2,2.169040178290037,2.169040178290037
MA,MA_SHORT_8017,10,0.7842066531149569,0.4056518212653861
MA,MA_SHORT_8064,5,2.135508391531108,0.7998758789500603
MA,MA_SHORT_8074,1,2.474463047342983,2.474463047342983
MA,MA_SHORT_8131,2,1.0001144584629826,1.0001144584629826
MA,MA_SHORT_8139,12,3.0615849775106954,-1.6737316143950853
MA,MA_SHORT_8170,14,2.3068803940055833,6.000021998254963
MA,MA_SHORT_8314,23,-2.063928653147639,-2.0273249120470425
MA,MA_SHORT_8371,1,0.0,0.0
MA,MA_SHORT_8431,7,-0.07719862085407915,1.3907259559957361
MA,MA_SHORT_8481,117,0.37864151304266086,1.9263530154029531
MA,MA_SHORT_8756,31,-0.5842150551547386,-0.5842150551547386
MA,MA_SHORT_9068,10,0.40295863198666004,2.1044969850356057
MA,MA_SHORT_9235,8,-3.309002069935765,-3.8505240080450225
MA,MA_SHORT_9262,11,-1.8539505878190665,-1.8539505878190665
M,M_LONG_7835,3,0.15789426244660115,-1.0998105097229858
M,M_LONG_7863,143,1.3418564895411895,1.7343523010703639
M,M_LONG_8176,26,-1.7415733167049599,-1.7415733167049599
M,M_LONG_8253,50,2.7297469912057424,3.3561473828250974
M,M_LONG_8395,15,-0.07944674606057028,-0.07944674606057028
M,M_LONG_8420,10,3.181390755864142,3.181390755864142
M,M_LONG_8466,18,4.506795047345882,3.3055890487959365
M,M_LONG_8520,3,10.429931432757819,10.429931432757819
M,M_LONG_8630,1,-1.4292096896250783,-1.4292096896250783
M,M_LONG_8672,5,-1.4183238260421265,-1.4183238260421265
M,M_LONG_8707,14,0.40666070369322765,0.026427216117221344
M,M_LONG_8752,78,5.0909764473385035,6.161851630761096
M,M_LONG_8868,10,4.9270444409285385,4.9270444409285385
M,M_LONG_8906,21,16.63539676665316,16.63539676665316
M,M_LONG_9042,1,-4.310792487913154,-4.310792487913154
M,M_LONG_9081,4,1.4550857715761878,0.18943128984040258
M,M_LONG_9096,9,1.99559295396173,1.99559295396173
M,M_LONG_9106,1,12.973691229901997,12.973691229901997
M,M_LONG_9193,1,3.8643675612111528,3.8643675612111528
M,M_LONG_9230,2,2.057077435130927,-1.057457622204856
M,M_LONG_9236,2,-0.09677927032110478,2.3936132454354833
M,M_LONG_9252,9,1.653318317671862,1.653318317671862
M,M_LONG_9269,3,0.981585047397997,0.981585047397997
M,M_SHORT_7425,164,0.7262410938483319,1.1339361846543112
M,M_SHORT_7837,6,-0.5152902080699023,-1.3060386259616124
M,M_SHORT_7854,2,0.7129144361228882,0.7129144361228882
M,M_SHORT_8119,29,0.8880609665716768,0.8880609665716768
M,M_SHORT_8361,26,-1.646329462310364,-1.7373289658820315
M,M_SHORT_8433,26,-1.6437939667176238,-1.5175766224158385
M,M_SHORT_8582,12,-3.8428329935724133,-3.8428329935724133
M,M_SHORT_8616,6,3.236383713254718,3.236383713254718
M,M_SHORT_8644,18,1.7710223005612369,1.3619595113218823
M,M_SHORT_8686,1,0.912804407612394,0.912804407612394
M,M_SHORT_8700,1,-1.8534612030077844,-1.8534612030077844
M,M_SHORT_8858,6,-0.38875493787494536,-0.38875493787494536
M,M_SHORT_9038,2,1.5341038584634596,1.5341038584634596
M,M_SHORT_9248,2,-2.237630821702364,-2.237630821702364
NI,NI_LONG_10025,2,-2.180081098141589,2.180081098141589
NI,NI_LONG_10197,112,-0.24607645503891987,-0.5158652025767805
NI,NI_LONG_10590,22,-2.5095851694349767,3.0474893758987207
NI,NI_LONG_10678,19,-0.4107741698919475,0.942492510327757
NI,NI_LONG_10938,2,-2.5542547365088613,-2.5542547365088613
NI,NI_LONG_11012,1,-0.8446023696385602,-0.8446023696385602
NI,NI_LONG_11022,209,8.108121071840836,6.046932745603439
