gid,teacher_direction,tr_A,tr_M9,tr_E9,tr_M33,tr_E33,delta_E9_minus_A,delta_E9_minus_M9,delta_E33_minus_E9,delta_E33_minus_M33,delta_M9_minus_A,delta_M33_minus_M9,delta_E33_minus_A
AL::AL_LONG_12104,LONG,3.07954272779131,1.9313362480046428,2.1505732062880862,2.6208148371061024,2.39706543122697,-0.9289695215032236,0.21923695828344347,0.2464922249388839,-0.22374940587913228,-1.1482064797866671,0.6894785891014596,-0.6824772965643398
AL::AL_SHORT_10539,SHORT,1.6097702976337545,1.6097702976337545,1.6097702976337545,1.6097702976337545,1.6097702976337545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_SHORT_10644,SHORT,-6.842111391139456,-3.990284489742389,-8.656721387550085,-6.842111391139456,-5.804894486153018,-1.8146099964106295,-4.666436897807697,2.851826901397067,1.0372169049864377,2.851826901397067,-2.851826901397067,1.0372169049864377
AL::AL_SHORT_10767,SHORT,-3.258750157708894,-3.258750157708894,-3.258750157708894,-3.258750157708894,-3.258750157708894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_SHORT_10788,SHORT,8.839172990874832,8.839172990874832,8.839172990874832,8.839172990874832,8.839172990874832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_SHORT_10878,SHORT,2.242293624203145,-2.242293624203145,2.242293624203145,2.242293624203145,2.242293624203145,0.0,4.48458724840629,0.0,0.0,-4.48458724840629,4.48458724840629,0.0
AL::AL_SHORT_10889,SHORT,-1.6042057427550942,-1.6042057427550942,-1.6042057427550942,-0.22848324801349318,1.6042057427550942,0.0,0.0,3.2084114855101884,1.8326889907685873,0.0,1.3757224947416011,3.2084114855101884
AL::AL_SHORT_10904,SHORT,-6.881489065110171,-5.390877910977225,-3.922602401319048,-3.922602401319048,-6.621613612117632,2.9588866637911226,1.4682755096581768,-2.699011210798584,-2.699011210798584,1.4906111541329459,1.4682755096581768,0.25987545299253867
AL::AL_SHORT_10959,SHORT,1.6701056793644933,-3.1200908168693284,2.567842175782421,-1.31118493430994,2.567842175782421,0.8977364964179275,5.687932992651749,0.0,3.879027110092361,-4.790196496233822,1.8089058825593884,0.8977364964179275
AL::AL_SHORT_10987,SHORT,1.3635957705295265,1.3635957705295265,-1.3635957705295265,1.3635957705295265,1.3635957705295265,-2.727191541059053,-2.727191541059053,2.727191541059053,0.0,0.0,0.0,0.0
AL::AL_SHORT_11006,SHORT,0.0678159672324942,-0.4388086534214723,-0.0678159672324942,0.4390549451018682,0.7763321881468368,-0.1356319344649884,0.37099268618897807,0.844148155379331,0.3372772430449686,-0.5066246206539665,0.8778635985233405,0.7085162209143426
AL::AL_SHORT_11018,SHORT,1.2114504369927395,1.2114504369927395,-1.2114504369927395,1.2114504369927395,-1.2114504369927395,-2.422900873985479,-2.422900873985479,0.0,-2.422900873985479,0.0,0.0,-2.422900873985479
AL::AL_SHORT_11132,SHORT,-1.5059601589167904,-1.5059601589167904,-1.5059601589167904,-1.2805325579517506,-1.1077736624540253,0.0,0.0,0.39818649646276505,0.17275889549772527,0.0,0.22542760096503978,0.39818649646276505
AL::AL_SHORT_11254,SHORT,-0.7758967400321537,-0.7758967400321537,-0.7758967400321537,-0.7758967400321537,-0.7758967400321537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL::AL_SHORT_11257,SHORT,-4.611698580873982,-3.820162574158867,-3.636412063886997,-2.56802628642145,-2.173572993035728,0.9752865169869853,0.18375051027186995,1.462839070851269,0.3944532933857219,0.7915360067151154,1.2521362877374171,2.4381255878382544
AL::AL_SHORT_11902,SHORT,5.406229011462127,5.406229011462127,3.090423364320607,5.406229011462127,5.406229011462127,-2.31580564714152,-2.31580564714152,2.31580564714152,0.0,0.0,0.0,0.0
AL::AL_SHORT_12001,SHORT,3.853055706097043,4.184929911689101,4.859313283719017,3.853055706097043,3.530155866871345,1.0062575776219744,0.6743833720299168,-1.3291574168476723,-0.32289983922569787,0.3318742055920576,-0.3318742055920576,-0.32289983922569787
AL::AL_SHORT_9962,SHORT,-1.7232161957875551,-1.2209148664638265,0.30680451305770773,-0.7021863981060766,0.3626570884731224,2.030020708845263,1.5277193795215342,0.05585257541541466,1.064843486579199,0.5023013293237286,0.5187284683577499,2.0858732842606775
AU::AU_LONG_11919,LONG,-2.1865317894509895,-2.1865317894509895,-2.1865317894509895,-2.1865317894509895,-2.1865317894509895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU::AU_LONG_11939,LONG,-1.7921514779448804,-1.7921514779448804,-1.7921514779448804,-0.9216090816440097,-1.7921514779448804,0.0,0.0,0.0,-0.8705423963008707,0.0,0.8705423963008707,0.0
AU::AU_LONG_11951,LONG,0.5752421538538466,0.5752421538538466,0.5752421538538466,-0.1681423027743051,-0.5752421538538466,0.0,0.0,-1.1504843077076932,-0.4070998510795415,0.0,-0.7433844566281517,-1.1504843077076932
AU::AU_LONG_11972,LONG,-0.7392801087861112,-0.7392801087861112,-0.7392801087861112,-0.7392801087861112,-0.7392801087861112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU::AU_LONG_11992,LONG,-1.7464391897523355,-1.7464391897523355,-1.7464391897523355,-1.7464391897523355,-1.7464391897523355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU::AU_LONG_12032,LONG,2.8092097168709764,2.8092097168709764,2.8092097168709764,2.8092097168709764,2.1658318385248916,0.0,0.0,-0.6433778783460848,-0.6433778783460848,0.0,0.0,-0.6433778783460848
AU::AU_LONG_12077,LONG,0.20453019221240143,0.20453019221240143,0.20453019221240143,0.20453019221240143,0.20453019221240143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU::AU_LONG_12106,LONG,-0.23525571820337168,-1.2311706547290158,-1.2311706547290158,1.1615911564951134,0.3940033397008998,-0.9959149365256441,0.0,1.6251739944299155,-0.7675878167942136,-0.9959149365256441,2.392761811224129,0.6292590579042715
AU::AU_LONG_12235,LONG,5.837186050992099,5.837186050992099,5.837186050992099,3.76618772617538,4.4601988306656475,0.0,0.0,-1.376987220326452,0.6940111044902677,0.0,-2.0709983248167196,-1.376987220326452
AU::AU_LONG_12332,LONG,-2.015730047092067,-2.015730047092067,-2.015730047092067,-2.015730047092067,-1.6905267054207875,0.0,0.0,0.3252033416712796,0.3252033416712796,0.0,0.0,0.3252033416712796
AU::AU_LONG_12349,LONG,-4.672580361743761,-4.672580361743761,4.672580361743761,-4.672580361743761,4.672580361743761,9.345160723487522,9.345160723487522,0.0,9.345160723487522,0.0,0.0,9.345160723487522
