state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_30m,4,30,323,0.00010649744471374918,-7.802746566787366e-05,0.47987616099071206,NI
prev_ret_30m,5,30,324,-0.00041440839868481683,-0.00040068849260666006,0.4506172839506173,NI
prev_ret_15m,1,5,323,6.441852014839172e-05,0.0,0.47368421052631576,RB
prev_ret_15m,2,5,323,-0.0001810797336721458,0.0,0.43343653250773995,RB
prev_ret_15m,3,5,322,-0.00012637034847619636,-0.00029976407058041055,0.43478260869565216,RB
prev_ret_15m,4,5,324,-0.00026149767265957834,-0.00031821798737174944,0.39197530864197533,RB
prev_ret_15m,5,5,324,-1.4466058496418287e-05,0.0,0.42901234567901236,RB
prev_ret_15m,1,15,323,3.578369992801056e-05,0.0,0.49226006191950467,RB
prev_ret_15m,2,15,323,-0.00013919874978587528,-0.00030120481927709,0.42724458204334365,RB
prev_ret_15m,3,15,322,-0.00021116297164522983,-0.0003162068693829956,0.41304347826086957,RB
prev_ret_15m,4,15,324,-0.00031783949285850416,-0.00032169897627593036,0.38580246913580246,RB
prev_ret_15m,5,15,324,1.3375910730709952e-05,-0.0003181169500523495,0.4166666666666667,RB
prev_ret_15m,1,30,323,0.00011365030587372321,0.000308546744831828,0.5077399380804953,RB
prev_ret_15m,2,30,323,-7.706131856623105e-05,0.0,0.4582043343653251,RB
prev_ret_15m,3,30,322,-0.0003632638310827945,-0.00031872530196369597,0.4161490683229814,RB
prev_ret_15m,4,30,324,-0.00043956742352860013,-0.00032383423085119434,0.37962962962962965,RB
prev_ret_15m,5,30,324,-3.6001830342095676e-05,0.0,0.4351851851851852,RB
prev_ret_30m,1,5,323,4.582083144511124e-05,0.0,0.47987616099071206,RB
prev_ret_30m,2,5,323,-0.00017496584037098343,-0.0003036744609777875,0.44272445820433437,RB
prev_ret_30m,3,5,322,-3.226216973564784e-05,0.0,0.422360248447205,RB
prev_ret_30m,4,5,324,-9.36902998175715e-05,0.0,0.42901234567901236,RB
prev_ret_30m,5,5,324,-0.0002633554302259945,-0.00032190568997453317,0.3888888888888889,RB
prev_ret_30m,1,15,323,-6.889514278549003e-05,0.0,0.47678018575851394,RB
prev_ret_30m,2,15,323,-0.0002759315926011984,-0.0003229974160207094,0.3931888544891641,RB
prev_ret_30m,3,15,322,2.2293924416049926e-06,0.0,0.45652173913043476,RB
prev_ret_30m,4,15,324,2.042276873548204e-05,-0.00031938680996740354,0.41975308641975306,RB
prev_ret_30m,5,15,324,-0.0002962948904007786,-0.0003235724492376968,0.3888888888888889,RB
prev_ret_30m,1,30,323,6.774355083920815e-05,0.0,0.4891640866873065,RB
prev_ret_30m,2,30,323,-0.00029681455740883844,-0.00031928480204346243,0.4179566563467492,RB
prev_ret_30m,3,30,322,-8.432523240942022e-05,0.0,0.4472049689440994,RB
prev_ret_30m,4,30,324,-5.95454338028157e-05,0.0,0.4351851851851852,RB
prev_ret_30m,5,30,324,-0.0004284005199151516,-0.00031933644100429204,0.4074074074074074,RB
prev_ret_15m,1,5,323,0.00014302723028892302,0.0,0.48297213622291024,I
prev_ret_15m,2,5,323,-1.1928911324963952e-05,0.0,0.44891640866873067,I
prev_ret_15m,3,5,323,-0.0001007406428014312,0.0,0.4179566563467492,I
prev_ret_15m,4,5,323,-0.00022187729340752876,0.0,0.38390092879256965,I
prev_ret_15m,5,5,324,-0.00024381603258225165,0.0,0.3765432098765432,I
prev_ret_15m,1,15,323,0.0001112533569140422,0.0,0.4984520123839009,I
prev_ret_15m,2,15,323,0.0001888454390331938,0.0,0.49226006191950467,I
prev_ret_15m,3,15,323,-0.00022861564300706395,0.0,0.42724458204334365,I
prev_ret_15m,4,15,323,-0.00028668656988810874,0.0,0.4024767801857585,I
prev_ret_15m,5,15,324,-0.00021731480281267677,-0.0006261750584711234,0.3950617283950617,I
prev_ret_15m,1,30,323,0.00024515556297042434,0.0006574621959236637,0.5325077399380805,I
prev_ret_15m,2,30,323,0.00015967783776381066,0.0,0.4953560371517028,I
prev_ret_15m,3,30,323,-0.0003555513098730454,0.0,0.4551083591331269,I
prev_ret_15m,4,30,323,-0.00036054001882881585,-0.0006273525721455231,0.3993808049535604,I
prev_ret_15m,5,30,324,-0.00040537944165726044,0.0,0.41975308641975306,I
prev_ret_30m,1,5,323,0.00021489883594487765,0.0,0.48297213622291024,I
prev_ret_30m,2,5,322,4.8908966000621826e-05,0.0,0.4720496894409938,I
prev_ret_30m,3,5,323,-0.00012763405536913184,0.0,0.39628482972136225,I
prev_ret_30m,4,5,324,-0.00012802794522208204,0.0,0.4228395061728395,I
prev_ret_30m,5,5,324,-0.00044231909831171716,-0.0006307164270302201,0.33641975308641975,I
prev_ret_30m,1,15,323,0.00018719921570995671,0.0,0.4984520123839009,I
prev_ret_30m,2,15,322,9.303621308662401e-05,0.0,0.4472049689440994,I
prev_ret_30m,3,15,323,-0.00018885794686567046,0.0,0.4458204334365325,I
prev_ret_30m,4,15,324,-0.00014034484541057768,0.0,0.43209876543209874,I
prev_ret_30m,5,15,324,-0.00038231747013290447,-0.0006066121273852199,0.39197530864197533,I
prev_ret_30m,1,30,323,0.00022761833718259038,0.0006218905472636926,0.5108359133126935,I
prev_ret_30m,2,30,322,0.0002035230908657464,0.0006311139789058062,0.5124223602484472,I
prev_ret_30m,3,30,323,-0.00023433062356580014,0.0,0.43962848297213625,I
prev_ret_30m,4,30,324,-0.00035845874562981796,-0.0006161712492900873,0.42592592592592593,I
