state_var,bin,horizon_min,n,mean,median,win_rate,instrument
prev_ret_15m,2,15,323,0.00027529594144662704,0.0,0.4984520123839009,RU
prev_ret_15m,3,15,323,-0.00025204012493094176,-0.0002953337271116574,0.43034055727554177,RU
prev_ret_15m,4,15,323,-0.00031571985407958603,-0.0002942907592701216,0.43653250773993807,RU
prev_ret_15m,5,15,324,-0.0002579669907394734,-0.00034591852035209536,0.4104938271604938,RU
prev_ret_15m,1,30,323,0.00014643678612339433,0.0003344481386884368,0.5356037151702786,RU
prev_ret_15m,2,30,323,0.0003421981506855091,6.665955631923737e-08,0.5015479876160991,RU
prev_ret_15m,3,30,323,-0.000426483397014045,-0.00034770512242310314,0.42105263157894735,RU
prev_ret_15m,4,30,323,-0.0004894278041506904,-0.00032258062483736527,0.43034055727554177,RU
prev_ret_15m,5,30,324,-0.00016631819254610115,-0.00032878768569605255,0.42901234567901236,RU
prev_ret_30m,1,5,323,0.00032827434334822646,0.0002988642807102426,0.5386996904024768,RU
prev_ret_30m,2,5,323,-0.00042058913811124875,-0.00029239766081867735,0.42724458204334365,RU
prev_ret_30m,3,5,323,-5.559405944264694e-05,0.0,0.47058823529411764,RU
prev_ret_30m,4,5,323,-0.000312568003632802,-0.0002975304968759751,0.4117647058823529,RU
prev_ret_30m,5,5,324,-0.0003905806326969409,-0.0002949419093619676,0.4074074074074074,RU
prev_ret_30m,1,15,323,0.00039618470736511055,0.0003185335390127886,0.5386996904024768,RU
prev_ret_30m,2,15,323,-0.0002789861832459155,-0.0002689618074233069,0.44272445820433437,RU
prev_ret_30m,3,15,323,-6.41116421913345e-05,0.0,0.46439628482972134,RU
prev_ret_30m,4,15,323,-0.0002298924940285924,-0.0003061849173907616,0.43343653250773995,RU
prev_ret_30m,5,15,324,-0.00026934720510647436,-0.0002980801907871977,0.42901234567901236,RU
prev_ret_30m,1,30,323,0.0004565256473353666,0.0003576537661464929,0.541795665634675,RU
prev_ret_30m,2,30,323,-0.000226120833498563,-0.0002801120448179262,0.4613003095975232,RU
prev_ret_30m,3,30,323,-0.00011648670742639568,-0.00029239766081867735,0.43962848297213625,RU
prev_ret_30m,4,30,323,-0.0003851404348957749,-0.0005673758865247791,0.42105263157894735,RU
