action,h,scale,target_bin,risk_bin,WF1_n,WF1_E_R_lower,WF1_ambiguity_gap_R,WF2_n,WF2_E_R_lower,WF2_ambiguity_gap_R,WF3_n,WF3_E_R_lower,WF3_ambiguity_gap_R,sample_gate,positive_3_of_3,ambiguity_gate,robust_positive_geometry
OUTWARD,2,0.8,2-3,<0.25,104,-0.2815934065934066,0.0,151,0.8700406940781977,0.0,106,0.24858990547290877,0.0,False,False,True,False
OUTWARD,2,0.8,0.5-1,0.25-0.5,224,-0.36441945581631047,0.0,221,-0.40782107233441456,0.0,235,0.05976071619333171,0.0,True,False,True,False
OUTWARD,2,0.8,3-5,>=3,37,-0.19132663629669358,0.0,83,-0.37454121622717196,0.0,73,0.19100883375744182,0.0,False,False,True,False
OUTWARD,2,0.8,1-2,<0.25,298,-0.5736818681969699,0.01174496644295302,252,0.18046648330414225,0.031746031746031744,204,0.27885062264142396,0.0,True,False,True,False
OUTWARD,2,0.8,3-5,2-3,120,-0.4380249878576178,0.0,112,0.010380883035764532,0.0,105,-0.6423887321503029,0.0,False,False,True,False
OUTWARD,2,0.8,>=5,0.5-1,141,-0.5201226626429375,0.0,122,-0.037354055291831216,0.0,122,-0.13406645044182586,0.0,False,False,True,False
OUTWARD,2,0.8,<0.5,0.5-1,488,-0.00017084008054582596,0.002395619438740589,356,0.06196710131911972,0.0,462,0.08137239730361001,0.003607503607503607,True,False,True,False
OUTWARD,2,0.8,2-3,1-2,555,-0.09714883364785251,0.0,433,-0.2096805966777454,0.00949239875419397,490,-0.20367516866796836,0.0,True,False,True,False
OUTWARD,2,0.8,1-2,>=3,108,-0.2136167485692419,0.0,115,-0.002670834921328466,0.0,148,0.22924275209054898,0.0,False,False,True,False
OUTWARD,2,0.8,3-5,0.25-0.5,172,-0.8278470724490813,0.0,154,0.03934665256076385,0.0,151,0.20587843251051258,0.0,False,False,True,False
OUTWARD,2,0.8,>=5,>=3,40,-0.4112369719760521,0.0,30,-0.532656995865681,0.0,40,0.4015109890109891,0.0,False,False,True,False
OUTWARD,2,0.8,2-3,2-3,133,0.37818463688792847,0.0,115,-0.07032049993477262,0.0,134,0.2659459402791697,0.0,False,False,True,False
OUTWARD,2,0.8,<0.5,1-2,698,-0.06093311080991365,0.0015705972287489557,603,0.02977381117959459,0.0,543,0.06585795259711569,0.013940520446096654,True,False,True,False
OUTWARD,2,0.8,2-3,>=3,89,0.49568653949482794,0.0,90,0.3171951887902831,0.0,79,-0.15762055892106785,0.0,False,False,True,False
OUTWARD,2,0.8,3-5,1-2,330,-0.2562181070589901,0.0,292,-0.23360366304875627,0.0,363,-0.1990367285688935,0.0,True,False,True,False
OUTWARD,2,0.8,<0.5,>=3,38,0.06141702444464358,0.0,29,0.006872380964102458,0.0,46,0.11102548008864997,0.0,False,True,True,False
OUTWARD,2,0.8,>=5,2-3,79,-0.1336826024814306,0.0,32,-0.10689433439059842,0.0,77,-0.7742448330683626,0.0,False,False,True,False
OUTWARD,2,0.8,3-5,<0.25,42,0.13010204081632656,0.0,88,-1.0,0.0,52,-1.0,0.0,False,False,True,False
OUTWARD,2,0.8,0.5-1,2-3,210,0.033840326970752725,0.0,192,-0.015234852245288784,0.0,259,0.10949995387727149,0.0,False,False,True,False
OUTWARD,2,0.8,1-2,0.25-0.5,512,0.25630639467290783,0.0,638,-0.06539057870401085,0.007911392405063292,506,0.05785127281078001,0.0,True,False,True,False
OUTWARD,2,0.8,<0.5,2-3,90,0.004929335861576125,0.0,78,0.14186683987853832,0.0,106,-0.15472783263765033,0.0,False,False,True,False
OUTWARD,2,0.8,0.5-1,<0.25,23,0.739164402173913,0.0,34,-0.45709666325190756,0.0,43,-0.7790697674418605,0.17054125567910974,False,False,True,False
OUTWARD,2,0.8,0.5-1,>=3,77,0.1294607418472079,0.0,102,0.13118430827226366,0.0,54,0.16094901090512337,0.0,False,True,True,False
OUTWARD,2,1.2,1-2,1-2,1186,-0.08139039255752485,0.005188067444876783,1200,-0.07109863194505948,0.0,987,-0.013226044208190672,0.005125284738041002,True,False,True,False
OUTWARD,2,1.2,>=5,0.25-0.5,8,-1.0,0.0,28,-1.0,0.0,21,-1.0,0.0,False,False,True,False
OUTWARD,2,1.2,>=5,1-2,204,-0.5973580793692285,0.0,97,-0.46530899949873755,0.0,124,-0.7848304433888832,0.0,False,False,True,False
OUTWARD,2,1.2,>=5,<0.25,9,-1.0,0.0,4,25.370287253141832,0.0,9,-1.0,0.0,False,False,True,False
OUTWARD,2,1.2,1-2,2-3,238,0.04204183808484008,0.0,353,-0.024912232209459376,0.0,232,-0.16583275193915079,0.0,True,False,True,False
OUTWARD,2,1.2,0.5-1,1-2,961,0.03631925370172893,0.0035098522167487686,815,0.014353489058268616,0.0017326732673267325,929,0.07104541196970579,0.0,True,True,True,True
OUTWARD,2,1.2,1-2,0.5-1,701,0.048147262470868625,0.0,662,-0.02538260197829713,0.0,547,0.08525939631088059,0.00650095602294455,True,False,True,False
OUTWARD,2,1.2,3-5,>=3,37,-0.19132663629669358,0.0,83,-0.37454121622717196,0.0,73,0.19100883375744182,0.0,False,False,True,False
OUTWARD,2,1.2,3-5,0.5-1,143,0.23454181590234577,0.0,117,-0.34314811816265267,0.0,164,-0.5771152471405229,0.0,False,False,True,False
OUTWARD,2,1.2,3-5,2-3,120,-0.4380249878576178,0.0,112,0.010380883035764532,0.0,105,-0.6423887321503029,0.0,False,False,True,False
OUTWARD,2,1.2,2-3,<0.25,33,0.13636363636363635,0.0,21,1.9764811481776026,0.0,18,1.4969281175828872,0.0,False,True,True,False
OUTWARD,2,1.2,>=5,0.5-1,71,-0.322799283729804,0.0,41,0.5364298808549899,0.0,42,1.335396542747803,0.0,False,False,True,False
OUTWARD,2,1.2,2-3,1-2,507,-0.08187323149784465,0.0,406,-0.16733450615055562,0.010085673676331093,463,-0.18431035409790134,0.0,True,False,True,False
OUTWARD,2,1.2,2-3,0.25-0.5,114,-0.26548672566371684,0.0,105,-0.4074656600608158,0.0,81,1.149420804912238,0.0,False,False,True,False
