kappa,model,symbol,test_episodes,selected_episodes,trade_coverage,selected_mean_entry_value,positive_rate,caev,weighted_row_regret
0.0,ACTION3-M1-MARGIN,MA,161,94,0.5838509316770186,-1.063806861837234,0.3723404255319149,-0.6211046274080745,0.5276316953109808
0.0,ACTION3-M1-MARGIN,NI,144,55,0.3819444444444444,-1.3641335979379883,0.32727272727272727,-0.521023249212426,0.4469945269183274
0.0,ACTION3-M1-MARGIN,P,130,65,0.5,-1.5290761693496595,0.36923076923076925,-0.7645380846748298,0.3588909005628958
0.0,ACTION3-M1-MARGIN,RB,138,76,0.5507246376811594,-1.2770118551377934,0.3026315789473684,-0.7032818912353065,0.4484150547725838
0.0,ACTION3-M1-MARGIN,RU,174,85,0.4885057471264368,-1.2410746301321052,0.3176470588235294,-0.6062720894323502,0.49594450449031074
0.0,ACTION3-M1-MARGIN,SC,258,183,0.7093023255813954,-1.1728808653915614,0.36065573770491804,-0.831927125452154,0.672213434882394
0.0,ACTION3-M1-MARGIN,SN,150,49,0.32666666666666666,-1.560200842730053,0.3877551020408163,-0.5096656086251508,0.39584573137307094
0.0,ACTION3-M1-MARGIN,TA,150,58,0.38666666666666666,-1.1746826165202222,0.25862068965517243,-0.45421061172115257,0.5169234566275198
0.005,REG-M0,AG,239,10,0.04184100418410042,-2.5197294881125454,0.4,-0.10542801205491822,0.7144341237343959
0.005,REG-M0,AL,153,6,0.0392156862745098,-1.9137904972127815,0.16666666666666666,-0.07505060773383457,0.44713843469970654
0.005,REG-M0,AU,314,13,0.041401273885350316,-0.001862839836334874,0.5384615384615384,-7.712394226864127e-05,0.8391808132841234
0.005,REG-M0,CF,160,2,0.0125,-10.095980168680502,0.0,-0.12619975210850626,0.47421014073097967
0.005,REG-M0,CU,162,1,0.006172839506172839,11.085765520806293,1.0,0.0684306513630018,0.49004628052184906
0.005,REG-M0,I,126,0,0.0,,,0.0,0.30079890272699356
0.005,REG-M0,M,160,3,0.01875,-2.76277852901571,0.0,-0.051802097419044554,0.5161319410933949
0.005,REG-M0,MA,161,3,0.018633540372670808,-3.3324448155271154,0.0,-0.062095245009822025,0.5935746192054313
0.005,REG-M0,NI,144,2,0.013888888888888888,-2.2680484834307904,0.5,-0.031500673380983196,0.5024669528796316
0.005,REG-M0,P,130,0,0.0,,,0.0,0.40545091104114384
0.005,REG-M0,RB,138,3,0.021739130434782608,-0.4420639664108659,0.3333333333333333,-0.009610086226323172,0.4509866271725572
0.005,REG-M0,RU,174,2,0.011494252873563218,0.9390184305702676,1.0,0.01079331529391112,0.539540292314741
0.005,REG-M0,SC,258,9,0.03488372093023256,-2.8685262766493205,0.0,-0.10006487011567397,0.9412429925336733
0.005,REG-M0,SN,150,2,0.013333333333333334,-3.76243527950207,0.0,-0.05016580372669426,0.40241178757968876
0.005,REG-M0,TA,150,2,0.013333333333333334,-0.823138327961539,0.0,-0.010975177706153853,0.49599362920074025
0.005,REG-M1,AG,239,37,0.15481171548117154,-0.9277316853268179,0.4594594594594595,-0.1436237337116831,0.6737097734550364
0.005,REG-M1,AL,153,34,0.2222222222222222,-1.1276131780269683,0.4411764705882353,-0.25058070622821516,0.4473046747343366
0.005,REG-M1,AU,314,72,0.22929936305732485,-0.21762169918577387,0.5,-0.0499005170107507,0.7785210218607083
0.005,REG-M1,CF,160,29,0.18125,-0.7421455088539872,0.3793103448275862,-0.1345138734797852,0.43611477481290606
0.005,REG-M1,CU,162,36,0.2222222222222222,-0.8941372309517325,0.4444444444444444,-0.19869716243371832,0.5260178133453352
0.005,REG-M1,I,126,3,0.023809523809523808,-0.7914179343181394,0.0,-0.01884328415043189,0.30051474377866483
0.005,REG-M1,M,160,42,0.2625,-0.90461307157451,0.30952380952380953,-0.23746093128830886,0.48950665793407566
0.005,REG-M1,MA,161,33,0.20496894409937888,-0.36163713473250586,0.30303030303030304,-0.07412438165324654,0.5373656447457515
0.005,REG-M1,NI,144,16,0.1111111111111111,-0.6478511324428392,0.375,-0.07198345916031547,0.4759898810854721
0.005,REG-M1,P,130,24,0.18461538461538463,-1.909279867331142,0.375,-0.3524824370457493,0.3593916352064878
0.005,REG-M1,RB,138,17,0.12318840579710146,-1.2007454354652527,0.4117647058823529,-0.14791791596311085,0.42460047079954144
0.005,REG-M1,RU,174,41,0.23563218390804597,-0.4687085328764916,0.4878048780487805,-0.11044281521802389,0.47866513520640036
0.005,REG-M1,SC,258,68,0.26356589147286824,-0.5828945929661292,0.2647058823529412,-0.1536311330298325,0.7832515206158709
0.005,REG-M1,SN,150,13,0.08666666666666667,-1.5638648155604828,0.38461538461538464,-0.13553495068190852,0.39176889293318934
0.005,REG-M1,TA,150,12,0.08,-1.5280544818505,0.16666666666666666,-0.12224435854804,0.5064920524337253
0.005,ACTION3-M0,AG,239,6,0.02510460251046025,-1.8191818416862071,0.16666666666666666,-0.04566983702977925,0.7100338792851402
0.005,ACTION3-M0,AL,153,7,0.0457516339869281,-2.7670905923296636,0.14285714285714285,-0.12659891598893885,0.4580492685867917
