factor,bucket,horizon,split,bucket_candidate_n,bucket_analyzable_n,bucket_analyzable_weight,bucket_invalidated_n,bucket_invalidation_rate,bucket_survival_rate,bucket_mean_first_invalidation_step,bucket_median_first_invalidation_step,rest_candidate_n,rest_analyzable_n,rest_analyzable_weight,rest_invalidated_n,rest_invalidation_rate,rest_survival_rate,rest_mean_first_invalidation_step,rest_median_first_invalidation_step,delta_invalidation_pp,delta_mean_first_step
source_ob_structure,swing,6,DISCOVERY,1486,1124,590.2887445887445,243,0.18079065177337578,0.8192093482266243,3.00501547878774,3.0,12300,9270,6754.8612914862915,2143,0.22010211714608507,0.7798978828539149,2.9889907222646688,3.0,-3.93114653727093,0.016024756523071115
source_ob_structure,swing,6,VALIDATION,753,562,306.5920995670996,115,0.16937348190606763,0.8306265180939324,2.6178129298486925,2.0,5474,4196,3047.9858585858588,949,0.21319504300192654,0.7868049569980735,2.972867755498356,3.0,-4.382156109585892,-0.3550548256496633
source_ob_structure,swing,12,DISCOVERY,1486,752,368.46017316017316,248,0.3050071100469212,0.6949928899530788,5.206333283685193,5.0,12300,6144,4281.025577200578,2072,0.32797468179602446,0.6720253182039755,4.843960081462941,4.0,-2.2967571749103244,0.3623732022222521
source_ob_structure,swing,12,VALIDATION,753,373,196.45876623376626,116,0.2854894481784893,0.7145105518215107,4.836499479973681,4.0,5474,2796,1931.1525252525253,940,0.3230491298327483,0.6769508701672518,4.731489962598274,4.0,-3.755968165425899,0.10500951737540731
source_ob_structure,swing,24,DISCOVERY,1486,274,139.41865079365078,134,0.44866580329315325,0.5513341967068468,7.62899665042631,7.0,12300,2274,1619.570238095238,1027,0.44316797739553193,0.5568320226044681,7.291342056682418,5.0,0.5497825897621322,0.33765459374389195
source_ob_structure,swing,24,VALIDATION,753,149,81.23571428571428,53,0.2881678829977432,0.7118321170022568,6.545056956875509,5.0,5474,1011,704.7480158730158,468,0.45331636603198827,0.5466836339680117,7.0956185394137705,5.0,-16.514848303424507,-0.5505615825382613
touch_bin,1,6,DISCOVERY,5915,4614,3255.7098124098125,1194,0.24767269792499969,0.7523273020750003,2.935949811099965,3.0,7871,5780,4089.440223665223,1192,0.19247806110417973,0.8075219388958202,3.0454996121530726,3.0,5.519463682081996,-0.10954980105310774
touch_bin,1,6,VALIDATION,2614,2058,1450.5290764790766,542,0.2533418790864636,0.7466581209135363,2.8504906327850907,3.0,3613,2700,1904.0488816738816,522,0.1755544665536256,0.8244455334463744,3.0522469389063396,3.0,7.778741253283799,-0.20175630612124884
touch_bin,1,12,DISCOVERY,5915,3191,2153.4574314574315,1163,0.36106372114777674,0.6389362788522233,4.755706324049053,4.0,7871,3705,2496.028318903319,1157,0.2960365533093303,0.7039634466906697,4.991940434144043,4.0,6.502716783844642,-0.23623411009498962
touch_bin,1,12,VALIDATION,2614,1438,955.9457431457431,559,0.3811284247567891,0.6188715752432109,4.521549189005503,4.0,3613,1731,1171.6655483405482,497,0.2693652235725041,0.7306347764274959,4.992508741687383,4.0,11.176320118428501,-0.4709595526818795
touch_bin,1,24,DISCOVERY,5915,1206,824.3412698412699,582,0.4824227136626647,0.5175772863373354,6.973336486535031,5.0,7871,1342,934.6476190476191,579,0.4093661476696081,0.5906338523303919,7.677073383220025,6.0,7.30565659930566,-0.703736896684994
touch_bin,1,24,VALIDATION,2614,556,364.1623015873016,280,0.5025656840171343,0.4974343159828657,6.474888280330182,4.0,3613,604,421.82142857142856,241,0.378994157988316,0.621005842011684,7.725606713878278,6.0,12.357152602881833,-1.250718433548096
touch_bin,2,6,DISCOVERY,3178,2353,1734.0636363636363,503,0.20265202531633986,0.7973479746836601,2.965654384754454,3.0,10608,8041,5611.086399711399,1883,0.2213593521355035,0.7786406478644965,2.996970004311927,3.0,-1.870732681916365,-0.031315619557473084
touch_bin,2,6,VALIDATION,1429,1085,789.8857142857142,255,0.22451710916588294,0.775482890834117,3.0312080446807363,3.0,4798,3673,2564.692243867244,809,0.20446944140379872,0.7955305585962013,2.9179790100727137,3.0,2.004766776208422,0.1132290346080227
touch_bin,2,12,DISCOVERY,3178,1528,1086.8707792207792,509,0.3200797409511094,0.6799202590488906,4.9459671872344355,4.0,10608,5368,3562.614971139971,1811,0.328007844246985,0.6719921557530151,4.848442331344403,4.0,-0.7928103295875566,0.09752485589003257
touch_bin,2,12,VALIDATION,1429,692,490.10238095238094,237,0.32899831424920933,0.6710016857507907,4.972187767638287,4.0,4798,2477,1637.5089105339107,819,0.31676236210957026,0.6832376378904297,4.668021546490892,4.0,1.2235952139639072,0.304166221147395
