offset,n_trades,mean_gross_return,mean_gross_bps,median_gross_return,win_rate,break_even_roundtrip_cost_bps,break_even_oneway_cost_bps,instrument,horizon,fold,model
1,321,-0.00014589102659247824,-1.4589102659247823,-0.0001290988816116112,0.46105919003115264,-1.4589102659247823,-0.7294551329623912,AG,3,13,RF
2,343,-7.167352782006703e-05,-0.7167352782006704,-0.00013262598610630505,0.4606413994169096,-0.7167352782006704,-0.3583676391003352,AG,3,13,RF
0,1104,9.46673994221121e-06,0.09466739942211211,0.0,0.4846014492753623,0.09466739942211211,0.047333699711056054,AU,1,0,LASSO
0,1104,1.5071038173477619e-05,0.1507103817347762,0.0,0.48641304347826086,0.1507103817347762,0.0753551908673881,AU,1,0,RF
0,1008,-1.9064799472765179e-07,-0.0019064799472765178,0.0,0.47619047619047616,-0.0019064799472765178,-0.0009532399736382589,AU,1,1,LASSO
0,1008,-5.026301198922521e-06,-0.05026301198922521,0.0,0.46726190476190477,-0.05026301198922521,-0.025131505994612606,AU,1,1,RF
0,989,1.987832112304308e-05,0.1987832112304308,4.792034482759e-05,0.5561172901921132,0.1987832112304308,0.0993916056152154,AU,1,2,LASSO
0,989,4.185028515852195e-05,0.41850285158521955,4.7930309330146414e-05,0.5561172901921132,0.41850285158521955,0.20925142579260977,AU,1,2,RF
0,816,-3.0639796250452073e-06,-0.030639796250452073,2.177833075389657e-05,0.5036764705882353,-0.030639796250452073,-0.015319898125226036,AU,1,3,LASSO
0,816,1.393842968639863e-05,0.1393842968639863,6.5279327710277e-05,0.5232843137254902,0.1393842968639863,0.06969214843199315,AU,1,3,RF
0,979,2.5318363330007523e-05,0.2531836333000752,2.2029988187011185e-05,0.515832482124617,0.2531836333000752,0.1265918166500376,AU,1,4,LASSO
0,979,1.7632428067788488e-05,0.1763242806778849,2.180634305304352e-05,0.5137895812053116,0.1763242806778849,0.08816214033894244,AU,1,4,RF
0,1037,-2.5742041101385802e-05,-0.25742041101385804,3.9410514966142784e-05,0.5110896817743491,-0.25742041101385804,-0.12871020550692902,AU,1,5,LASSO
0,1037,2.308297482542492e-05,0.2308297482542492,6.284120410904315e-05,0.5342333654773385,0.2308297482542492,0.1154148741271246,AU,1,5,RF
0,960,-4.469013876095424e-05,-0.4469013876095424,7.369115228772483e-05,0.5270833333333333,-0.4469013876095424,-0.2234506938047712,AU,1,6,LASSO
0,960,8.039881122233622e-05,0.8039881122233622,5.865783820291348e-05,0.521875,0.8039881122233622,0.4019940561116811,AU,1,6,RF
0,624,-3.3973952207260864e-05,-0.33973952207260866,5.2691593244946766e-05,0.5128205128205128,-0.33973952207260866,-0.16986976103630433,AU,1,7,LASSO
0,624,4.4102209151744994e-05,0.4410220915174499,8.949736752689175e-05,0.5464743589743589,0.4410220915174499,0.22051104575872496,AU,1,7,RF
0,1075,-2.6523421373498214e-05,-0.2652342137349821,4.0609214986164766e-05,0.5162790697674419,-0.2652342137349821,-0.13261710686749106,AU,1,8,LASSO
0,1075,-3.412706958648864e-05,-0.3412706958648864,5.228214762320604e-05,0.521860465116279,-0.3412706958648864,-0.1706353479324432,AU,1,8,RF
0,893,-3.0657868599523526e-05,-0.30657868599523524,-1.9379240390526853e-05,0.47816349384098544,-0.30657868599523524,-0.15328934299761762,AU,1,9,LASSO
0,893,-8.926179859597346e-06,-0.08926179859597347,-1.9016612469280325e-05,0.48152295632698766,-0.08926179859597347,-0.044630899297986734,AU,1,9,RF
0,883,2.487392786549634e-05,0.2487392786549634,0.0,0.4971687429218573,0.2487392786549634,0.1243696393274817,AU,1,10,LASSO
0,883,1.1136201458486662e-05,0.11136201458486662,0.0,0.48924122310305773,0.11136201458486662,0.05568100729243331,AU,1,10,RF
0,960,-3.8817837454506456e-05,-0.38817837454506454,-4.4791965488122365e-05,0.45625,-0.38817837454506454,-0.19408918727253227,AU,1,11,LASSO
0,960,-3.2517601825633735e-05,-0.32517601825633735,-2.2012138941873705e-05,0.478125,-0.32517601825633735,-0.16258800912816868,AU,1,11,RF
0,1085,-1.5586766412473524e-05,-0.15586766412473524,0.0,0.4894009216589862,-0.15586766412473524,-0.07793383206236762,AU,1,12,LASSO
0,1085,-1.7361315184886503e-05,-0.17361315184886503,-2.227461283599297e-05,0.480184331797235,-0.17361315184886503,-0.08680657592443251,AU,1,12,RF
0,1027,-2.569982522568194e-05,-0.2569982522568194,0.0,0.498539435248296,-0.2569982522568194,-0.1284991261284097,AU,1,13,LASSO
0,1027,-1.2044694867992939e-06,-0.01204469486799294,1.9935404427462444e-05,0.501460564751704,-0.01204469486799294,-0.00602234743399647,AU,1,13,RF
0,345,3.290600231228919e-05,0.3290600231228919,5.1910076847461184e-05,0.527536231884058,0.3290600231228919,0.16453001156144595,AU,3,0,LASSO
1,345,2.652037878143899e-05,0.2652037878143899,0.0,0.48985507246376814,0.2652037878143899,0.13260189390719496,AU,3,0,LASSO
2,368,2.4559526667158036e-05,0.24559526667158035,5.175007538127385e-05,0.5190217391304348,0.24559526667158035,0.12279763333579018,AU,3,0,LASSO
0,345,2.0713122932183496e-05,0.20713122932183495,5.1635324575638464e-05,0.527536231884058,0.20713122932183495,0.10356561466091747,AU,3,0,RF
1,345,7.725173360946762e-05,0.7725173360946762,5.1884475847918665e-05,0.5304347826086957,0.7725173360946762,0.3862586680473381,AU,3,0,RF
2,368,1.7967356738589528e-06,0.017967356738589527,0.0,0.49728260869565216,0.017967356738589527,0.008983678369294763,AU,3,0,RF
