目标,退出方式,品种,折,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,M,F4,-0.5649,-1.9184,0.9182,0.7416055734220212,202,-38.3818,-0.190009,0.0446,0.505
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,RB,F4,-0.4901,-1.6709,0.8434,0.7708151319510484,202,-33.8792,-0.167719,0.0099,0.0099
1.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F1,0.3985,1.2448,0.7709,1.021783597937995,559,6.7722,0.012115,0.0751,0.9141
1.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F1,0.4801,1.4313,0.6278,1.0549758146720776,559,16.396,0.029331,0.1181,0.5546
1.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F1,0.6778,1.9868,0.5365,1.07824628983447,559,24.678,0.044147,0.0268,0.4812
1.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F1,0.5121,1.4731,0.7776,1.0427620299682852,559,13.4085,0.023987,0.0662,0.4955
1.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F2,1.0965,2.5947,0.9988,1.16814167975574,714,58.681,0.082186,0.1583,0.6232
1.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F2,0.7955,1.8167,1.1312,1.1451613418751734,714,49.1253,0.068803,0.1947,0.8025
1.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F2,1.0315,2.6646,0.9769,1.1380742273029658,714,51.9561,0.072768,0.0518,0.4118
1.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F2,1.3435,3.1169,0.9953,1.1896518778651286,714,71.6848,0.100399,0.028,0.1751
1.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F3,0.4603,2.3164,0.3315,1.2135794561165962,139,14.9224,0.107355,0.1367,0.2302
1.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F3,0.1933,1.2545,0.3751,1.0467648437113741,139,2.836,0.020403,0.3597,1.0072
1.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F3,0.501,2.362,0.3822,1.2097249426144132,139,15.624,0.112403,0.0216,0.2158
1.5R,S2_CURRENT_PLUS_PATH-A-线性,RB,F3,0.5189,2.4418,0.3733,1.223041981815929,139,16.6995,0.12014,0.0072,0.0719
1.5R,S2_CURRENT_PLUS_PATH-A-线性,AG,F4,-0.5719,-1.9723,0.9062,0.7267872585195028,202,-39.7306,-0.196686,0.0792,0.9604
1.5R,S2_CURRENT_PLUS_PATH-A-线性,CU,F4,-0.4765,-1.7765,0.7237,0.753323635414716,202,-34.3995,-0.170294,0.1287,0.7673
1.5R,S2_CURRENT_PLUS_PATH-A-线性,M,F4,-0.5263,-1.803,0.8796,0.753157891350342,202,-36.7362,-0.181862,0.0297,0.5693
