risk_ATR,wf,model,n_symbols,macro_median_delta,iqr_lo,iqr_hi,positive_symbols,eligible_symbols
1.0,WF1,M_B2mG5,15,0.248522504753526,0.21509426566622247,0.27699884452127643,15,15
1.0,WF2,M_G1,15,0.2479466409878781,0.2275096333470492,0.30693412354458627,15,15
1.0,WF2,M_G2,15,0.013414467038237343,0.0003990541994231267,0.03637260932804573,11,15
1.0,WF2,M_G3,15,0.1921926177878559,0.16210803472881774,0.24076944995998376,15,15
1.0,WF2,M_G4,15,0.19725148411127924,0.16753747498809063,0.2612195277772106,15,15
1.0,WF2,M_G5,15,0.07310809330850943,0.027790710585334832,0.0936517139157694,14,15
1.0,WF2,M_simple,15,0.2479239832332616,0.2277312472540179,0.30729768501372434,15,15
1.0,WF2,M_field,15,0.22679772204577808,0.19000376513835576,0.2809340105025169,15,15
1.0,WF2,M_B2_full,15,0.2305432044682948,0.18831722477338841,0.2828928907964473,15,15
1.0,WF2,M_ob,15,-0.0032938710773762203,-0.01794558773344951,0.006842885082058575,7,15
1.0,WF2,M_full,15,0.22880407403351222,0.18934230330513885,0.2826095426761218,15,15
1.0,WF2,M_full_minus_ob,15,0.23060234366443977,0.19237815182791884,0.28294306532425095,15,15
1.0,WF2,M_B2mG1,15,0.20905162379234088,0.1697229180772532,0.2624611906670843,15,15
1.0,WF2,M_B2mG2,15,0.23128134924980825,0.2014307600732645,0.2850267714647806,15,15
1.0,WF2,M_B2mG3,15,0.22801774175884348,0.1895789618721166,0.2820106904554174,15,15
1.0,WF2,M_B2mG4,15,0.24617367168913562,0.22524822638636544,0.3082243994877306,15,15
1.0,WF2,M_B2mG5,15,0.22956631256160331,0.1884788975048946,0.28226336637294236,15,15
1.0,WF3,M_G1,15,0.2771730457625454,0.23108036461600312,0.28785160688129,15,15
1.0,WF3,M_G2,15,0.02819848092054389,-0.009762562668188923,0.052873628681519735,10,15
1.0,WF3,M_G3,15,0.22122481684981676,0.17433263689687095,0.23375065997026162,15,15
1.0,WF3,M_G4,15,0.22622209386877357,0.19877115860019334,0.25282622833953144,15,15
1.0,WF3,M_G5,15,0.05687818066157757,0.026753735424762615,0.08174833401279252,14,15
1.0,WF3,M_simple,15,0.2769873809289993,0.23118099328000052,0.2885234872308841,15,15
1.0,WF3,M_field,15,0.2698401904114248,0.2299805034302439,0.2846034019778888,15,15
1.0,WF3,M_B2_full,15,0.2673511074685656,0.22757772109064317,0.2901637631182729,15,15
1.0,WF3,M_ob,15,0.03134541237718713,0.007159179920820102,0.050516796472192566,12,15
1.0,WF3,M_full,15,0.2633012820512821,0.22485832073092493,0.2901643112681987,15,15
1.0,WF3,M_full_minus_ob,15,0.2659084921952424,0.22705437637740145,0.2888863358636621,15,15
1.0,WF3,M_B2mG1,15,0.23100986059163553,0.20761465033386445,0.2575307534387056,15,15
1.0,WF3,M_B2mG2,15,0.2666259975598536,0.22802234842294505,0.29029694662261185,15,15
1.0,WF3,M_B2mG3,15,0.269414164849891,0.22950247303169763,0.2854094646137787,15,15
1.0,WF3,M_B2mG4,15,0.2788348227437887,0.22838397601541144,0.29122389304140284,15,15
1.0,WF3,M_B2mG5,15,0.26744404664279864,0.2271360179437173,0.28917020993223835,15,15
1.5,WF1,M_G1,15,0.2873463573463574,0.2646960447713015,0.33258243180831515,15,15
1.5,WF1,M_G2,15,0.010352675391737898,-0.0034042548379542015,0.03144467841854451,10,15
1.5,WF1,M_G3,15,0.24033666813021393,0.21942904001600694,0.2700527179726127,15,15
1.5,WF1,M_G4,15,0.20520402128917803,0.18647855378260736,0.2636952584325455,15,15
1.5,WF1,M_G5,15,0.06166811342592604,0.04246364517692752,0.0783001336699069,15,15
1.5,WF1,M_simple,15,0.2872507122507124,0.26535410406351767,0.33265246158162365,15,15
1.5,WF1,M_field,15,0.2516717343456698,0.23835960607834356,0.3219690061147114,15,15
1.5,WF1,M_B2_full,15,0.26262571742142116,0.23820939441839967,0.32240251220895244,15,15
1.5,WF1,M_ob,15,-0.0014269585397981288,-0.02345755500327279,0.00929114799798314,7,15
1.5,WF1,M_full,15,0.26415343915343925,0.23312568228536773,0.32156873292023447,15,15
1.5,WF1,M_full_minus_ob,15,0.26265567765567766,0.23485847930594617,0.32286743126187667,15,15
1.5,WF1,M_B2mG1,15,0.23052828827698668,0.2104414490365516,0.28828083653442627,15,15
1.5,WF1,M_B2mG2,15,0.2636602436084273,0.23870161927640515,0.32289412445351906,15,15
1.5,WF1,M_B2mG3,15,0.2516341066341068,0.23783393053167456,0.3208326678793453,15,15
1.5,WF1,M_B2mG4,15,0.2825905575905576,0.2698211935185242,0.330470627456407,15,15
1.5,WF1,M_B2mG5,15,0.2627786473795003,0.23748829094925916,0.31733855708532277,15,15
1.5,WF2,M_G1,15,0.2584610997416713,0.2075592258749056,0.310993838435059,15,15
1.5,WF2,M_G2,15,0.0171072290541317,-0.004354219541765014,0.03665777281934962,11,15
1.5,WF2,M_G3,15,0.20981614600691634,0.16854364167570496,0.2669978132041618,15,15
1.5,WF2,M_G4,15,0.198852971411686,0.17928613412545424,0.2489693259284003,14,15
1.5,WF2,M_G5,15,0.06468527108583966,0.020512792063211827,0.09865748674475261,14,15
1.5,WF2,M_simple,15,0.25091253732344765,0.20711427002581523,0.3114053461953492,15,15
1.5,WF2,M_field,15,0.2346881604992116,0.2029536651310731,0.2984021204319362,15,15
1.5,WF2,M_B2_full,15,0.2388985808702654,0.20735000631506023,0.2990422133629074,15,15
1.5,WF2,M_ob,15,-0.013099652865972478,-0.02709713578434128,-0.004110494032047718,3,15
1.5,WF2,M_full,15,0.23615425906666232,0.2064668496706878,0.2895546746529335,15,15
1.5,WF2,M_full_minus_ob,15,0.23153118395007877,0.20605486882767465,0.2951768633900439,15,15
1.5,WF2,M_B2mG1,15,0.23161230748533113,0.1920427642356885,0.27500944336105315,14,15
1.5,WF2,M_B2mG2,15,0.2364528466467608,0.20847357971569103,0.29952534147712284,15,15
1.5,WF2,M_B2mG3,15,0.23579192807058746,0.2038779543689389,0.29871890490958924,15,15
1.5,WF2,M_B2mG4,15,0.2575619820847451,0.2063420958543022,0.3135979475641648,15,15
1.5,WF2,M_B2mG5,15,0.2375767437179186,0.20636836459358038,0.29750620507035747,15,15
1.5,WF3,M_G1,15,0.32350645347334084,0.2655787602956524,0.35574440269555374,15,15
1.5,WF3,M_G2,15,0.03482636584826365,0.00268364787164474,0.06787799991314297,11,15
1.5,WF3,M_G3,15,0.23822588512078946,0.22142991180098498,0.3131245049571152,15,15
1.5,WF3,M_G4,15,0.2657882024582685,0.23343033556298445,0.3143548520880085,15,15
1.5,WF3,M_G5,15,0.08750854700854704,0.038814631692739576,0.10637144487374162,15,15
1.5,WF3,M_simple,15,0.3232379730724101,0.2651976315836557,0.3552157440546373,15,15
1.5,WF3,M_field,15,0.3095269968763945,0.2642453430224375,0.3435652671664986,15,15
1.5,WF3,M_B2_full,15,0.3108492119501294,0.2690769938958848,0.34785694439281234,15,15
1.5,WF3,M_ob,15,0.0495504803821587,0.01863004033661958,0.0731071189754198,13,15
1.5,WF3,M_full,15,0.29782953030659454,0.25976677562790373,0.33915982156379504,15,15
1.5,WF3,M_full_minus_ob,15,0.3059248804202932,0.27038661139170905,0.34586721668178616,15,15
1.5,WF3,M_B2mG1,15,0.27120631778275095,0.2543215082077185,0.33348499161413064,15,15
1.5,WF3,M_B2mG2,15,0.3106359288010664,0.2691302525897019,0.3472846798552556,15,15
1.5,WF3,M_B2mG3,15,0.3102344546381244,0.2639761423804189,0.34181943073094523,15,15
1.5,WF3,M_B2mG4,15,0.32710577903238447,0.2683089636690695,0.3537548620355645,15,15
1.5,WF3,M_B2mG5,15,0.3111001333019683,0.26957335539910954,0.34772545363194074,15,15
2.0,WF1,M_G1,15,0.2789823205896105,0.27015511293647776,0.3362076424659561,15,15
2.0,WF1,M_G2,15,0.012792413066385677,0.00037441413470867824,0.045346880906817544,11,15
2.0,WF1,M_G3,15,0.2578879129177263,0.2412420394082515,0.30061178328155647,15,15
2.0,WF1,M_G4,15,0.21490908115646634,0.18823087742741895,0.27698740304153585,15,15
2.0,WF1,M_G5,15,0.060960859634551556,0.039286470565945975,0.09955491466951621,14,15
2.0,WF1,M_simple,15,0.28448433835027365,0.26855018118738677,0.3345962082944872,15,15
2.0,WF1,M_field,15,0.26483666791825344,0.24290387382396977,0.31496188827708493,15,15
2.0,WF1,M_B2_full,15,0.2720082604730999,0.2452693229992307,0.325856444588554,15,15
2.0,WF1,M_ob,15,-0.007227445280542644,-0.016192911654001607,0.006504574976246569,6,15
2.0,WF1,M_full,15,0.27135922330097084,0.24060023817895976,0.3119951012087366,15,15
2.0,WF1,M_full_minus_ob,15,0.27442203508019103,0.24332670771077675,0.31490899645671894,15,15
2.0,WF1,M_B2mG1,15,0.2371988909015792,0.21329000193555342,0.31586004345085106,15,15
2.0,WF1,M_B2mG2,15,0.27249101539451803,0.24499395323497702,0.3243640889331367,15,15
2.0,WF1,M_B2mG3,15,0.26320066512900275,0.2407709209250155,0.3167514158158715,15,15
2.0,WF1,M_B2mG4,15,0.28686784495593876,0.27079735283519074,0.3430799479287922,15,15
2.0,WF1,M_B2mG5,15,0.27186879794024565,0.24615547401694288,0.3247978447345907,15,15
2.0,WF2,M_G1,15,0.27867451471784377,0.24041615518393888,0.3227423081083816,15,15
2.0,WF2,M_G2,15,0.025516202953844713,0.004171896944716036,0.036946200829932496,13,15
2.0,WF2,M_G3,15,0.2425229176284377,0.20116999316879153,0.2867419520975396,15,15
2.0,WF2,M_G4,15,0.22706458503772387,0.19492901818668623,0.26079082096388034,15,15
2.0,WF2,M_G5,15,0.06621997693426251,0.016583505395613374,0.10514091165740619,14,15
2.0,WF2,M_simple,15,0.27561333509200026,0.2380134504181194,0.3227849495745392,15,15
2.0,WF2,M_field,15,0.25527000923826315,0.22286453427177605,0.31603881078958024,15,15
2.0,WF2,M_B2_full,15,0.2550420520942063,0.2212152934735082,0.322139158332588,15,15
2.0,WF2,M_ob,15,0.009262258695365233,-0.0026017520008760897,0.015428330884255659,10,15
2.0,WF2,M_full,15,0.24371019906734193,0.21968370407884996,0.31070535450832065,15,15
2.0,WF2,M_full_minus_ob,15,0.24686920222634512,0.2225790178349149,0.31441923702327673,15,15
2.0,WF2,M_B2mG1,15,0.2406702853131425,0.22390438012050934,0.280818493810192,15,15
2.0,WF2,M_B2mG2,15,0.2575135874455602,0.22095799122325893,0.3219688541075618,15,15
2.0,WF2,M_B2mG3,15,0.2517906633552893,0.22269080968242227,0.31178196953335097,15,15
2.0,WF2,M_B2mG4,15,0.2836812196355164,0.2293901680729702,0.32845066296162456,15,15
2.0,WF2,M_B2mG5,15,0.25535099401312555,0.2203394873335041,0.3250864373554587,15,15
2.0,WF3,M_G1,15,0.301124648547329,0.27507397740096384,0.35476604731717765,15,15
2.0,WF3,M_G2,15,0.03579799266645434,0.017104961399204033,0.060381997669978565,12,15
2.0,WF3,M_G3,15,0.2680833530420387,0.22313818729579749,0.32253506626188944,15,15
2.0,WF3,M_G4,15,0.27387281443189526,0.21796480025637777,0.3169490932357704,15,15
2.0,WF3,M_G5,15,0.06209399562143336,0.036535304794201584,0.09599399909363712,15,15
