risk_ATR,wf,model,roc_auc_lo,roc_auc_hi,brier_lo,brier_hi,bottom20_gain_lo,bottom20_gain_hi
1.0,WF1,M_B2mG1,0.7263562491754246,0.7459963407364919,0.15647007105492852,0.16516663867239964,0.20463792437754472,0.23776971368669617
1.0,WF1,M_B2mG2,0.7889174431693776,0.8067477715181479,0.14136581067420112,0.14933072293323255,0.2772135244226726,0.31195565440544826
1.0,WF1,M_B2mG3,0.764104316301202,0.783290551982526,0.1493797996791733,0.1581692463378994,0.2391963748591714,0.2759434483589318
1.0,WF1,M_B2mG4,0.7651644478475349,0.7832494116788226,0.14941553569675295,0.1581113184331296,0.23965414448558905,0.276550732629045
1.0,WF1,M_B2mG5,0.7674662554073728,0.7860769666690997,0.14838975581152522,0.15710425403566408,0.2449407630017767,0.2815767058808274
1.0,WF2,M0,0.5862990747174031,0.6122782963002638,0.1823603225813561,0.1934679633474051,0.09728330352226942,0.13694378957976294
1.0,WF2,M_G1,0.7828915904581971,0.8005857080323577,0.1490402739848543,0.15800249763337862,0.2886563016732971,0.3324133647540208
1.0,WF2,M_G2,0.5747811558251412,0.6014300812411074,0.18467406325239147,0.19622210511039295,0.08627849740638935,0.12444304125434245
1.0,WF2,M_G3,0.7330129428047392,0.7547559333222198,0.16018789101800085,0.1699629952697721,0.22629397316236416,0.26822758658150603
1.0,WF2,M_G4,0.5862990747174031,0.6122782963002638,0.1823603225813561,0.1934679633474051,0.09728330352226942,0.13694378957976294
1.0,WF2,M_G5,0.6171362887453894,0.6410601441122907,0.17959127868260052,0.19062771502231368,0.09789004096491294,0.13702242335097864
1.0,WF2,M_simple,0.7734760440657729,0.791983310352019,0.15262386632604147,0.1621958374500386,0.269535065234875,0.313512184132511
1.0,WF2,M_field,0.7734760440657729,0.791983310352019,0.15262386632604147,0.1621958374500386,0.269535065234875,0.313512184132511
1.0,WF2,M_B2_full,0.7740684385956997,0.7923529910555307,0.1522937341410618,0.16173031845996683,0.26999460759510235,0.3118294109367067
1.0,WF2,M_ob,0.5762926460391078,0.6010392141625432,0.18379299559985354,0.19534496212387564,0.08410364369121741,0.12597160926105394
1.0,WF2,M_full,0.7575444156118604,0.7769070756631976,0.1604365006196985,0.1693212319461886,0.25789371954927354,0.30236377625081456
1.0,WF2,M_full_minus_ob,0.7590681395974163,0.7781864754231788,0.159181868477204,0.1682098016271287,0.2594763394793449,0.30349340164130084
1.0,WF2,M_B2mG1,0.7327116345439404,0.7536646767195282,0.16032154801031598,0.1699717835524158,0.2483917623337559,0.29204861818812666
1.0,WF2,M_B2mG2,0.7824988863077584,0.8008202470451943,0.14895593493696496,0.15810935872364731,0.2901957560858718,0.33855555331437587
1.0,WF2,M_B2mG3,0.773387920992278,0.792280588564365,0.15241162086026372,0.16200721910761431,0.26966923943272614,0.31208705517019325
1.0,WF2,M_B2mG4,0.7740684385956997,0.7923529910555307,0.1522937341410618,0.16173031845996683,0.26999460759510235,0.3118294109367067
1.0,WF2,M_B2mG5,0.774160720121885,0.7920571224113969,0.1524436352947427,0.16197993921168885,0.26937346795759065,0.3108378152943205
1.0,WF3,M0,0.6097129035225232,0.6361762765168522,0.18207699443143482,0.1934662856020842,0.08842464101006722,0.13372410776892515
1.0,WF3,M_G1,0.77960022414488,0.7975436019684848,0.15049439813914176,0.15999684091296343,0.29761957021810465,0.3428166748952538
1.0,WF3,M_G2,0.5708090712407623,0.5987107104226663,0.1905669820714561,0.20145047922193648,0.035089900052483324,0.07862467556388342
1.0,WF3,M_G3,0.7331255507777503,0.7535260361966213,0.16168133753096475,0.17200249724054062,0.23811584922277823,0.2818826481484712
1.0,WF3,M_G4,0.6097129035225232,0.6361762765168522,0.18207699443143482,0.1934662856020842,0.08842464101006722,0.13372410776892515
1.0,WF3,M_G5,0.6331228767244779,0.6551017433254913,0.17959442358223493,0.19020107157295152,0.10885856482935909,0.14958718671809326
1.0,WF3,M_simple,0.7605987410404091,0.7811183337233355,0.15729281426401762,0.16754900927779823,0.2690832858331069,0.3100791006282807
1.0,WF3,M_field,0.7605987410404091,0.7811183337233355,0.15729281426401762,0.16754900927779823,0.2690832858331069,0.3100791006282807
