horizon,feature_set,model,quantile,fold,feature,effect_kind,value,abs_value
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_15m_ret_16,tree_importance,0.20614937054093319,0.20614937054093319
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_15m_location_32,tree_importance,0.18536737362492997,0.18536737362492997
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_time_bars_since_segment_start,tree_importance,0.08537616685496854,0.08537616685496854
4,F1_DIRECTION,gbr_quantile,0.5,1,feat_time_after_long_gap,tree_importance,0.032884855496903724,0.032884855496903724
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_15m_ret_1,tree_importance,0.12324184632269106,0.12324184632269106
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_15m_ret_4,tree_importance,0.17138207586503845,0.17138207586503845
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_15m_ret_8,tree_importance,0.14541840240622528,0.14541840240622528
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_15m_ret_16,tree_importance,0.19113366824204206,0.19113366824204206
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_15m_location_32,tree_importance,0.1729163692939197,0.1729163692939197
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_time_bars_since_segment_start,tree_importance,0.1945235988653345,0.1945235988653345
4,F1_DIRECTION,gbr_quantile,0.9,1,feat_time_after_long_gap,tree_importance,0.0013840390047489184,0.0013840390047489184
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_15m_ret_1,tree_importance,0.08597757367240876,0.08597757367240876
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_15m_ret_4,tree_importance,0.07752933514424772,0.07752933514424772
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_15m_ret_8,tree_importance,0.09119988886633332,0.09119988886633332
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_15m_ret_16,tree_importance,0.16992061132020048,0.16992061132020048
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_15m_location_32,tree_importance,0.1480525217803515,0.1480525217803515
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_time_bars_since_segment_start,tree_importance,0.4273200692164583,0.4273200692164583
4,F1_DIRECTION,gbr_quantile,0.1,2,feat_time_after_long_gap,tree_importance,0.0,0.0
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_15m_ret_1,tree_importance,0.13057454884892453,0.13057454884892453
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_15m_ret_4,tree_importance,0.09103312969966278,0.09103312969966278
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_15m_ret_8,tree_importance,0.29882468232823883,0.29882468232823883
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_15m_ret_16,tree_importance,0.1775300989538785,0.1775300989538785
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_15m_location_32,tree_importance,0.14713650893182142,0.14713650893182142
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_time_bars_since_segment_start,tree_importance,0.14633592377175392,0.14633592377175392
4,F1_DIRECTION,gbr_quantile,0.5,2,feat_time_after_long_gap,tree_importance,0.00856510746572004,0.00856510746572004
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_15m_ret_1,tree_importance,0.0676119022610905,0.0676119022610905
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_15m_ret_4,tree_importance,0.13348996265220622,0.13348996265220622
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_15m_ret_8,tree_importance,0.21028030680934187,0.21028030680934187
4,F1_DIRECTION,gbr_quantile,0.9,2,feat_15m_ret_16,tree_importance,0.130143010362864,0.130143010362864
