kappa,coverage,split,threshold,fc_selected_episodes,fc_selected_symbols,fc_row_coverage,fc_episode_coverage,fc_mean_actual_y,fc_median_actual_y,fc_positive_y_rate,fc_p25_actual_y,fc_p75_actual_y,fc_long_fraction,fc_short_fraction,fc_ci_lower,fc_ci_upper,rp_rows,rp_mean_actual_y,rp_positive_y_rate
0.01,0.2,validation,-0.9835760155659613,2414,15,0.027914291330843326,0.8527022253620629,-1.7015668427597084,-0.8149921120130093,0.27381938690969343,-2.9596579212325915,0.11465496174423341,0.6574150787075393,0.34258492129246065,-1.836149302628445,-1.5601042458762266,17298,-2.0218434697621137,0.19470459012602612
0.01,0.2,test,-0.9835760155659613,2230,15,0.024882561006906865,0.8514700267277587,-1.7320924637500987,-0.9770830227044704,0.262780269058296,-2.8085595486274952,0.09061729423641442,0.6174887892376681,0.38251121076233185,-1.8709928647981584,-1.5975169123556585,16287,-2.0307664336623352,0.18376619389697305
0.01,0.1,validation,-0.526452303601301,1763,15,0.02038645220226876,0.6227481455316143,-1.432202563207114,-0.6541135335165217,0.316505955757232,-2.6587157910330985,0.2601420669726879,0.7203630175836642,0.2796369824163358,-1.6103263934095466,-1.2567784664338943,8648,-1.9431108064264013,0.2206290471785384
0.01,0.1,test,-0.526452303601301,1494,15,0.016670200064716974,0.570446735395189,-1.37455959951993,-0.6513245926392595,0.3119143239625167,-2.3362365653611374,0.2830949550737405,0.6572958500669344,0.3427041499330656,-1.5539987601674194,-1.2170829799166472,7221,-1.9026655603819953,0.21575959008447584
0.01,0.05,validation,-0.24491755700174445,1203,15,0.013910891661559453,0.42493818438714237,-1.2487462964198826,-0.5467850973728452,0.3507896924355777,-2.5048266388240457,0.45911153548076833,0.7813798836242727,0.21862011637572734,-1.4698117742245207,-1.0462767669798396,4324,-1.7454559698775938,0.26040703052728953
0.01,0.05,test,-0.24491755700174445,946,15,0.010555561754499504,0.3612065673921344,-1.0579132672952494,-0.5156911446113932,0.35517970401691334,-2.0023735123354323,0.49079702190432317,0.7156448202959831,0.2843551797040169,-1.2908066459252467,-0.8374210001774544,3348,-1.6943374874949413,0.24790919952210275
0.01,0.03,validation,-0.08812025483837149,854,15,0.00987522982458169,0.3016601907453197,-1.1166400542988468,-0.4489343506886637,0.3700234192037471,-2.422207053425386,0.6148433512445064,0.8384074941451991,0.16159250585480095,-1.4010230109757602,-0.8725394829657418,2595,-1.5916212804706542,0.27822736030828515
0.01,0.03,test,-0.08812025483837149,607,15,0.006772966157485411,0.23176785032455136,-0.9881144454548713,-0.533567279948544,0.36079077429983525,-1.9914596213821354,0.5577361852576648,0.7199341021416804,0.2800658978583196,-1.2535368503347202,-0.7150966599968747,1757,-1.6939536491980014,0.26977803073420603
0.01,0.02,validation,0.04217773566823918,633,15,0.007319696111194625,0.22359590250794772,-0.9674880931387286,-0.42351278738152304,0.3933649289099526,-2.254482406574449,0.7388743460367441,0.8467614533965245,0.15323854660347552,-1.2747924835346844,-0.6376729096559218,1730,-1.4353888621066522,0.29826589595375724
0.01,0.02,test,0.04217773566823918,377,15,0.004206603363051071,0.14394807178312333,-0.9235669781583419,-0.43632874852485226,0.3740053050397878,-2.2045482109142664,0.5926846812905588,0.7108753315649867,0.2891246684350133,-1.3114223939318188,-0.5672780114917666,1010,-1.7587086974280364,0.28415841584158413
0.01,0.01,validation,0.2536905867042058,393,15,0.004544455879462066,0.13882020487460262,-0.7728755348329045,-0.3107534076850156,0.4351145038167939,-2.121258522231314,0.9130450504155385,0.8956743002544529,0.10432569974554708,-1.1755700007732968,-0.3563848743891628,865,-0.9137937292158368,0.35953757225433525
0.01,0.01,test,0.2536905867042058,196,14,0.002186987424822307,0.07483772432226041,-0.5414640637602715,-0.2291084070604092,0.4387755102040816,-1.7453938346894058,0.7926125193141933,0.8010204081632653,0.1989795918367347,-1.1165602246224575,0.0010922173954807557,412,-1.8043650967322105,0.3058252427184466
0.01,0.005,validation,0.5403014527002298,233,15,0.002694295724973693,0.08230307311903921,-0.5551123905691685,-0.11528939957687057,0.463519313304721,-1.9150167397783846,1.2511178423596019,0.9742489270386266,0.02575107296137339,-1.1185612389465147,-0.023769569109033405,433,-0.5779609062090866,0.40877598152424943
0.01,0.005,test,0.5403014527002298,101,14,0.0011269680097298624,0.038564337533409696,-0.25643330135266096,-0.08611111445458647,0.44554455445544555,-1.1083959107310617,0.8589617380910894,0.9207920792079208,0.07920792079207921,-1.0048320121652765,0.5420545843910738,166,-0.6404353389857247,0.3614457831325301
