symbol,group,t,ok
SN,534,6974,True
P,1698,26946,True
RU,300,6184,True
M,238,15294,True
CU,268,2865,True
RB,111,26070,True
RB,400,16102,True
AU,328,2624,True
RB,91,7884,True
CF,791,19592,True
RB,623,21980,True
CU,2150,34451,True
AG,222,6888,True
RU,500,13419,True
CF,911,25872,True
AU,723,10485,True
TA,856,24272,True
M,872,10202,True
AL,946,34238,True
AU,2083,42187,True
TA,1059,26094,True
SN,907,13136,True
TA,472,4047,True
CF,700,20515,True
MA,841,7471,True
CF,471,10882,True
SC,1691,43488,True
M,418,27473,True
NI,233,9968,True
RB,218,18865,True
P,1527,17167,True
TA,975,19143,True
RB,158,26914,True
I,180,8247,True
P,1355,20955,True
CF,46,5456,True
CF,913,24334,True
MA,936,786,True
MA,319,18783,True
M,904,26863,True
MA,307,16820,True
AG,536,2755,True
AL,463,16779,True
AU,767,15099,True
CF,511,9045,True
M,162,18534,True
CU,279,3065,True
CF,934,22668,True
RB,264,14948,True
CF,362,11661,True
P,1338,10551,True
I,268,25251,True
I,200,25874,True
AG,811,22096,True
AL,434,14710,True
P,1250,12687,True
SC,2016,35645,True
SC,1397,41738,True
AU,581,9296,True
TA,607,16962,True
SN,2211,28191,True
AU,1263,15561,True
P,768,10946,True
NI,2551,23704,True
P,1300,23399,True
TA,1024,23910,True
NI,1665,35078,True
RU,205,6390,True
I,392,17360,True
P,1782,27455,True
CF,929,22743,True
TA,1315,21590,True
M,275,18815,True
SN,2322,28692,True
SN,2418,32469,True
AG,2660,36285,True
P,1576,23244,True
SC,2098,1144,True
CU,56,404,True
SN,1207,15898,True
AL,293,5466,True
TA,456,3149,True
AU,1171,14840,True
AG,1272,19398,True
CF,905,22737,True
RB,52,24906,True
AL,1166,36208,True
AL,422,3040,True
AU,129,1581,True
RU,88,7785,True
NI,375,11085,True
CU,594,9324,True
SN,3148,29569,True
AU,1262,8240,True
RB,25,7790,True
AG,3198,28706,True
CF,292,9909,True
SN,2378,36797,True
MA,333,17012,True
SN,851,10437,True
AL,1024,24588,True
P,951,25231,True
I,6,14906,True
CF,1204,27100,True
SN,845,11553,True
CU,2340,37296,True
P,731,3530,True
NI,723,13602,True
CF,1064,26462,True
CU,599,14419,True
AG,2908,29485,True
M,780,9612,True
TA,641,16887,True
RU,625,11870,True
P,1790,27446,True
MA,1214,27246,True
RU,654,10085,True
MA,461,6844,True
CU,2337,36642,True
SN,2360,28956,True
AL,929,30611,True
P,990,24672,True
CF,317,1746,True
AL,713,20641,True
MA,1012,52,True
AU,2596,37081,True
