instrument,horizon,model,stratum,offset,mod,n,auc,brier_skill,logloss_skill,return_spread
M,H15,D0b,TOP30,0,3,1218,0.5098835319609967,-1.0753908686655933e-05,-5.188819309842607e-05,0.0002919489931955358
M,H15,D0b,TOP30,1,3,1218,0.5087123673380983,-0.00011588777093018976,-0.00013723932625375745,0.0003794307359704888
M,H15,D0b,TOP30,2,3,1219,0.4957118955094991,-0.0048055763725625145,-0.0035861083413233352,0.0002871470099557815
M,H15,D0b,TOP20,0,3,891,0.5084917578499093,-0.002945194296402276,-0.00222230529031453,0.00033214801087087944
M,H15,D0b,TOP20,1,3,891,0.5172740539554492,-0.0011755897104566149,-0.0009804823527126416,0.0005585300630498353
M,H15,D0b,TOP20,2,3,893,0.5037482013664584,-0.0062538193661527686,-0.0047233444784773315,0.0003964774687442563
M,H30,D0b,ALL,0,6,2271,0.48612486721239767,-0.000586531327062545,-0.00042549342665165746,-0.00030471237771620364
M,H30,D0b,ALL,1,6,2271,0.48244623475996506,-0.000861372540634342,-0.0006254973145334297,-0.00026440619470683227
M,H30,D0b,ALL,2,6,2271,0.47083963043173427,-0.0013317719100340852,-0.0009662597037971565,-0.0003072551009317458
M,H30,D0b,ALL,3,6,2271,0.47407079535483554,-0.0007354400830938967,-0.0005320461925899522,-0.00035326662590671456
M,H30,D0b,ALL,4,6,2271,0.4713038291669522,-0.001326331692031113,-0.0009613669670374136,-0.0006610356978586894
M,H30,D0b,ALL,5,6,2271,0.4801863330809002,-0.0010007080788676515,-0.0007254704629102715,-0.0006118050480283018
M,H30,D0b,TOP50,0,6,961,0.4663930866770888,-0.0012524934573090452,-0.0009056561513711703,-0.000490823748759452
M,H30,D0b,TOP50,1,6,961,0.4467351271718879,-0.0027523874078385635,-0.0019920757640654596,-0.0007663206879003001
M,H30,D0b,TOP50,2,6,961,0.45307148740625136,-0.0028555724749914635,-0.0020669445488863403,-0.0007544549755392272
M,H30,D0b,TOP50,3,6,963,0.48085128480306033,-0.0008777996790776399,-0.0006340537390374656,-0.0006637598195478149
M,H30,D0b,TOP50,4,6,963,0.46168749352756394,-0.0030767252295527125,-0.0022258765090839017,-0.0008472092260587807
M,H30,D0b,TOP50,5,6,963,0.47284794503995997,-0.0028764075435123715,-0.0020813204251965978,-0.0007335869834710121
M,H30,D0b,TOP30,0,6,601,0.4959260001335738,-0.0019314892492341418,-0.0013990851444469765,0.00020686316476936634
M,H30,D0b,TOP30,1,6,601,0.49655432205455474,-0.0020726681644653855,-0.001505825114327175,-0.0003111936570165878
M,H30,D0b,TOP30,2,6,601,0.48435803700011076,-0.0036711810732694694,-0.0026641047574096355,-0.00025656659067506334
M,H30,D0b,TOP30,3,6,617,0.4941511855420673,-0.000674166839178536,-0.00048483067999960383,-0.0004580760206967032
M,H30,D0b,TOP30,4,6,617,0.4808691445278812,-0.0033269107844573487,-0.002408001866474274,-0.001170628403261972
M,H30,D0b,TOP30,5,6,617,0.47727224965850584,-0.0031307573137338007,-0.0022684818816229857,-0.0011659712508131628
M,H30,D0b,TOP20,0,6,454,0.5019626989551802,-0.003628087331269736,-0.0026286876008316806,-0.00010825894556074658
M,H30,D0b,TOP20,1,6,454,0.48969833618410824,-0.003959593748794399,-0.002876308341125844,-3.749299110626155e-05
M,H30,D0b,TOP20,2,6,454,0.4789432789432789,-0.005699923459762779,-0.004141555637389827,0.00020749345530209944
M,H30,D0b,TOP20,3,6,437,0.4773787019533712,-0.0034361208591320302,-0.002480477184499952,-0.0004949879470946323
M,H30,D0b,TOP20,4,6,437,0.4770636420919975,-0.0061002739619322455,-0.0044160660326124646,-0.0013594727701115735
M,H30,D0b,TOP20,5,6,437,0.48136489549231937,-0.004249429373471614,-0.0030789491978835404,-0.0012745764987070827
CF,H15,D0b,ALL,0,3,4543,0.4994863801407871,-0.003642952548353451,-0.002694065751582375,-0.0001359801573711613
CF,H15,D0b,ALL,1,3,4543,0.5011239177900966,-0.004134335678588341,-0.0030554924026344743,-0.00010790189907688931
CF,H15,D0b,ALL,2,3,4543,0.49344252595679056,-0.0028655714089700357,-0.002130575901384102,-0.00012218737190828032
CF,H15,D0b,TOP50,0,3,3097,0.4976785263371596,-0.0027752688732349817,-0.0020538129302907215,-0.00012960822766130994
CF,H15,D0b,TOP50,1,3,3097,0.5027039444448629,-0.00404081790258104,-0.002967704121681125,-0.00015624780158047014
CF,H15,D0b,TOP50,2,3,3097,0.4957475027281122,-0.0035807682434947363,-0.00264499727741474,-0.00017458875751163503
CF,H15,D0b,TOP30,0,3,2139,0.4926403380487667,-0.00498799124550553,-0.0036987282242282316,-5.7922670666705425e-05
CF,H15,D0b,TOP30,1,3,2139,0.49492715920915714,-0.008482140032384455,-0.00624273016670962,-0.00014305462979980336
CF,H15,D0b,TOP30,2,3,2140,0.49783574879227055,-0.004861961097978318,-0.003604643025750809,-0.00022121120403849066
CF,H15,D0b,TOP20,0,3,1586,0.49774625237833664,-0.007065605399937391,-0.005207304869424556,8.992755041384044e-05
CF,H15,D0b,TOP20,1,3,1586,0.5058332802649175,-0.007191515564658024,-0.005293694824379802,-8.97253770411055e-05
CF,H15,D0b,TOP20,2,3,1587,0.5194047113175778,0.00018929341259388277,8.6706265077785e-05,-0.00010921173501751335
CF,H30,D0b,ALL,0,6,2271,0.48612272201780127,-0.00674885192335184,-0.004959492708219715,-0.0002171776118346932
CF,H30,D0b,ALL,1,6,2271,0.49739097286704953,-0.0066297851500796146,-0.004875207750301369,-0.0002022243887559735
CF,H30,D0b,ALL,2,6,2271,0.4961391072726057,-0.00567190970077025,-0.004217722834313653,-0.00026589931580480293
CF,H30,D0b,ALL,3,6,2271,0.48494150911152883,-0.008711191556949993,-0.006396026850494119,-0.00010036213420459969
CF,H30,D0b,ALL,4,6,2271,0.500285832346901,-0.005848716293661571,-0.004281419345324222,-0.00019838868519405733
CF,H30,D0b,ALL,5,6,2271,0.49768369188193606,-0.0030528701480163623,-0.0022605147540009085,-0.00022707755733102013
CF,H30,D0b,TOP50,0,6,1554,0.4893634845038974,-0.005416393162329225,-0.003981004121925258,-0.00012185823643189914
CF,H30,D0b,TOP50,1,6,1554,0.4916446287017152,-0.008124720511583083,-0.005970362746092084,-0.0002480442963452788
CF,H30,D0b,TOP50,2,6,1554,0.49573280841289025,-0.006553192606438607,-0.0048750450187484695,-0.0003969791454944585
CF,H30,D0b,TOP50,3,6,1543,0.48021015055411587,-0.011663554212315574,-0.008542334880391023,-7.183031099255137e-05
CF,H30,D0b,TOP50,4,6,1542,0.5069148927219892,-0.006120602249209295,-0.004466194846320715,-8.258743462033903e-05
CF,H30,D0b,TOP50,5,6,1542,0.4948132412816427,-0.004538461934060267,-0.0033166215137734323,-0.0001640112699951728
CF,H30,D0b,TOP30,0,6,1083,0.48821827906373866,-0.011515407373082764,-0.008444841350630838,-0.000227807317823567
CF,H30,D0b,TOP30,1,6,1083,0.49824699021179364,-0.014476159926342769,-0.010673191088894196,-0.0004327555315758136
CF,H30,D0b,TOP30,2,6,1083,0.5001706775900323,-0.011088123695384589,-0.008321041174183863,-0.0006415643564947329
CF,H30,D0b,TOP30,3,6,1056,0.4741319612634238,-0.01867046150047913,-0.013735677409708824,-6.167758920304069e-05
CF,H30,D0b,TOP30,4,6,1056,0.5046344788004878,-0.014346076481764447,-0.010557209292716419,-0.0002332649486587431
CF,H30,D0b,TOP30,5,6,1056,0.49740726253575107,-0.012376751212959336,-0.009133626890691415,-0.0003300552426091874
CF,H30,D0b,TOP20,0,6,793,0.49626614083073595,-0.010104253676781916,-0.007421650381801426,0.0003146565415278336
CF,H30,D0b,TOP20,1,6,793,0.509244766813005,-0.012956223030662573,-0.00959914146441565,-1.047599702609238e-05
CF,H30,D0b,TOP20,2,6,793,0.5100776674306086,-0.00990189575867162,-0.007514841960085894,-9.029131099809993e-05
CF,H30,D0b,TOP20,3,6,793,0.4909930539653462,-0.01505979148113501,-0.011030385134822573,7.494243880838369e-05
CF,H30,D0b,TOP20,4,6,793,0.5309919195775274,-0.002978584573807952,-0.0022109531444609587,-0.00011158054480503129
CF,H30,D0b,TOP20,5,6,793,0.5166507177033492,-0.0022024432434175623,-0.001683000976225646,-0.0003206032320209542
