variant,wf,action,structure_scale,base_h,later_h,waiting_distance,matched_n,median_delta_RR,mean_delta_target_first,median_delta_E_R_lower,median_delta_E_R_upper,median_delta_target_distance_atr,median_delta_risk_distance_atr,share_delta_RR_positive,share_delta_target_first_positive,share_delta_E_R_lower_positive
first_available,WF1,OUTWARD,1.2,3,5,2,3380,0.5714285714285712,-0.08609467455621302,0.0,0.0,0.20833333333333326,-0.1923076923076923,0.6153846153846154,0.029881656804733727,0.14408284023668638
first_available,WF2,OUTWARD,1.2,3,5,2,3086,0.4666666666666666,-0.1169799092676604,0.0,0.0,0.16954531614810114,-0.1923076923076923,0.600453661697991,0.02268308489954634,0.13156189241736876
first_available,WF2,OUTWARD,1.2,2,5,3,6597,0.7777777777777777,-0.1388509928755495,0.0,0.0,0.3571428571428572,-0.3125,0.6615128088525087,0.04380779142034258,0.14840078823707745
first_available,WF3,OUTWARD,1.2,2,5,3,6086,1.0,-0.11912586263555702,0.0,0.0,0.43687594441646205,-0.37735849056603776,0.6920801840289188,0.04140650673677292,0.16217548471902726
first_available,WF3,OUTWARD,1.2,3,5,2,2923,0.6523809523809523,-0.12726650701334247,0.0,0.0,0.23809523809523814,-0.2158273381294964,0.6226479644201163,0.02223742730071844,0.13547724940130004
first_available,WF1,INWARD,0.2,2,5,3,20747,0.754545454545454,-0.03624620427049694,0.0,0.0,0.0,-0.03668798384382366,0.5581529859738757,0.05938207933677158,0.09210970260760593
first_available,WF1,INWARD,0.2,3,5,2,2125,0.0,0.009411764705882352,0.0,0.0,0.0,0.0,0.4832941176470588,0.054588235294117646,0.07905882352941176
first_available,WF2,INWARD,0.2,2,5,3,20548,0.7218569627291735,-0.034261241970021415,0.0,0.0,0.0,-0.05434782608695654,0.5539711894101615,0.06389916293556551,0.09261241970021414
first_available,WF2,INWARD,0.2,3,5,2,1823,0.0,0.009325287986834888,0.0,0.0,0.0,0.0,0.49698299506308286,0.05485463521667581,0.08283049917718047
first_available,WF3,INWARD,0.2,2,5,3,20425,0.5,-0.029767441860465118,0.0,0.0,0.0,-0.013869565405836504,0.5351774785801714,0.05723378212974296,0.08538555691554467
