reason,wf,h,scale,action,n
NO_TARGET,WF3,5,0.4,INWARD,13
NO_TARGET,WF3,5,0.8,INWARD,13
NO_TARGET,WF3,5,1.2,INWARD,13
STRUCTURE_UNAVAILABLE,WF2,5,0.2,OUTWARD,94
STRUCTURE_UNAVAILABLE,WF1,5,0.2,INWARD,50
STRUCTURE_UNAVAILABLE,WF1,8,0.4,INWARD,64
NO_TARGET,WF3,1,0.2,OUTWARD,252
NO_TARGET,WF3,1,0.4,OUTWARD,252
NO_TARGET,WF3,1,0.8,OUTWARD,252
NO_TARGET,WF3,1,1.2,OUTWARD,252
NO_TARGET,WF3,1,0.2,INWARD,5
NO_TARGET,WF3,1,0.4,INWARD,5
NO_TARGET,WF3,1,0.8,INWARD,5
NO_TARGET,WF3,1,1.2,INWARD,5
NO_TARGET,WF3,2,0.2,OUTWARD,265
NO_TARGET,WF3,2,0.4,OUTWARD,265
NO_TARGET,WF3,2,0.8,OUTWARD,265
NO_TARGET,WF3,2,1.2,OUTWARD,265
NO_TARGET,WF3,2,0.2,INWARD,6
NO_TARGET,WF3,2,0.4,INWARD,6
NO_TARGET,WF3,2,0.8,INWARD,6
NO_TARGET,WF3,2,1.2,INWARD,6
NO_TARGET,WF3,3,0.2,OUTWARD,269
NO_TARGET,WF3,3,0.4,OUTWARD,269
NO_TARGET,WF3,3,0.8,OUTWARD,269
NO_TARGET,WF3,3,1.2,OUTWARD,269
NO_TARGET,WF3,3,0.2,INWARD,6
NO_TARGET,WF3,3,0.4,INWARD,6
NO_TARGET,WF3,3,0.8,INWARD,6
NO_TARGET,WF3,3,1.2,INWARD,6
STRUCTURE_UNAVAILABLE,WF3,8,0.4,INWARD,55
STRUCTURE_UNAVAILABLE,WF3,13,0.4,INWARD,27
STRUCTURE_UNAVAILABLE,WF1,13,0.4,OUTWARD,56
STRUCTURE_UNAVAILABLE,WF2,5,0.2,INWARD,138
STRUCTURE_UNAVAILABLE,WF2,8,0.2,OUTWARD,63
STRUCTURE_UNAVAILABLE,WF2,8,0.2,INWARD,115
STRUCTURE_UNAVAILABLE,WF2,13,0.2,OUTWARD,63
STRUCTURE_UNAVAILABLE,WF1,8,0.2,OUTWARD,11
STRUCTURE_UNAVAILABLE,WF1,13,0.2,OUTWARD,11
STRUCTURE_UNAVAILABLE,WF2,13,0.2,INWARD,61
STRUCTURE_UNAVAILABLE,WF1,13,0.4,INWARD,41
STRUCTURE_UNAVAILABLE,WF3,13,0.4,OUTWARD,41
STRUCTURE_UNAVAILABLE,WF3,5,0.2,OUTWARD,25
STRUCTURE_UNAVAILABLE,WF3,5,0.2,INWARD,4
STRUCTURE_UNAVAILABLE,WF3,8,0.2,OUTWARD,25
STRUCTURE_UNAVAILABLE,WF3,8,0.2,INWARD,2
STRUCTURE_UNAVAILABLE,WF3,13,0.2,OUTWARD,25
STRUCTURE_UNAVAILABLE,WF1,8,0.2,INWARD,6
STRUCTURE_UNAVAILABLE,WF1,13,0.2,INWARD,5
