instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
SC,H5,B2,gbr,TOP20,5585,0.5300500109472741,-0.00039899942013699174,-0.0003765936498778544,0.135719916008212,-0.00013785445172329307
SC,H5,B2,logistic,ALL,12306,0.5252613986972917,-0.0032996057651426547,-0.003715059254084885,0.07060812168391141,-4.6696099081702554e-05
SC,H5,B2,logistic,TOP50,8844,0.5288664546502344,-0.004364603193288019,-0.004996688884160605,0.0637644503415734,-4.263069730552483e-05
SC,H5,B2,logistic,TOP30,7161,0.5312742443643002,-0.005643511340843732,-0.00631668135540675,0.06161975282634408,-3.0097090684020453e-05
SC,H5,B2,logistic,TOP20,5585,0.5347730603111387,-0.005415137466423525,-0.006753911566223625,0.06148070462950097,-3.684962196691376e-05
SC,H5,B3,gbr,ALL,12306,0.5305938812714183,0.0010076309253781446,0.0006814578123401915,0.15168096448329255,1.2202912239166567e-05
SC,H5,B3,gbr,TOP50,8844,0.5335367115784089,0.001700523127803888,0.0011850631997736283,0.1603819420735837,2.863095183505133e-05
SC,H5,B3,gbr,TOP30,7161,0.5356867284251798,0.002003544140407487,0.001415814537073623,0.17316964690144593,3.798121144863474e-05
SC,H5,B3,gbr,TOP20,5585,0.5353643157876635,0.0025142703904706964,0.0017854214302583937,0.17256569114187667,4.840162074569389e-05
SC,H5,B3,logistic,ALL,12306,0.5243398105729467,-0.004194750928854019,-0.004631513334254933,0.061806087000765286,1.3364264905161313e-05
SC,H5,B3,logistic,TOP50,8844,0.527729708150186,-0.005547246009740325,-0.006223066969985869,0.05716920612312064,-3.5727122343641245e-05
SC,H5,B3,logistic,TOP30,7161,0.5314270194769923,-0.0066619296703371855,-0.007484480414586825,0.057357399949952,-3.175870175498441e-05
SC,H5,B3,logistic,TOP20,5585,0.5321179933915938,-0.007419347967891898,-0.008758901869447167,0.0534505806081856,-2.8008142052537478e-05
SC,H15,B0,gbr,ALL,11116,0.528666308995122,0.0002367194470257461,0.00010900702460348022,0.13274876892085086,1.0543526185622997e-05
SC,H15,B0,gbr,TOP50,7753,0.5288696385812527,-0.0004804213463815987,-0.0004368266541778798,0.12495276559979057,6.868388945592538e-05
SC,H15,B0,gbr,TOP30,6299,0.5272540975342201,-0.002066323657298419,-0.0016099750941489521,0.11404867010783182,8.32184352786258e-06
SC,H15,B0,gbr,TOP20,4953,0.5347524369778051,-0.0002044751016032631,-0.0002772391232939153,0.13284663907612737,4.0267131594815807e-05
SC,H15,B0,logistic,ALL,11116,0.5224464150810333,-0.005389426254568841,-0.005353794705992954,0.05432542819132495,-8.586788143964211e-05
SC,H15,B0,logistic,TOP50,7753,0.52088574750984,-0.008971744848458085,-0.008638209925744045,0.04405225937495126,-0.0002329141786754403
SC,H15,B0,logistic,TOP30,6299,0.5183792154996492,-0.012526585725582517,-0.011692538763045768,0.03973735624861864,-0.0002569511502280487
SC,H15,B0,logistic,TOP20,4953,0.5254024662525258,-0.014592539283173611,-0.013886997705120807,0.039811207579296695,-0.00022031342791027858
SC,H15,B1,gbr,ALL,11116,0.5272514567279439,0.0008197540504498724,0.0005707387085257531,0.14384186295225246,8.593090646328162e-06
SC,H15,B1,gbr,TOP50,7753,0.5273842070105264,0.000689976710931739,0.00048176036876546036,0.14397383826328916,7.933439108470818e-05
SC,H15,B1,gbr,TOP30,6299,0.5270270897021222,-0.0004836785295005974,-0.0003839140152670506,0.1369280574932049,8.991413089443596e-05
SC,H15,B1,gbr,TOP20,4953,0.5335290961368785,0.0013784598920079105,0.0009666631992478747,0.15743483533148744,0.0001930352830851529
SC,H15,B1,logistic,ALL,11116,0.5172784401091044,-0.006587633211362354,-0.006329729638229198,0.05093788635462611,-0.0001320406208442772
SC,H15,B1,logistic,TOP50,7753,0.5185514741318695,-0.009943406586802928,-0.009486274871951972,0.043795757445480865,-0.00016776453718070594
