group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread,median_calibration_slope,positive_share_calibration_slope
EX_I_7,H15,B3,TOP30,gbr,7,0.5126864497584249,1.0,-0.007191400627525768,0.0,-0.005441442547728936,0.0,-0.000269558580164321,0.2857142857142857,0.052470336517407686,0.8571428571428571
EX_I_7,H15,B3,TOP30,logistic,7,0.51007528479532,1.0,-0.016166863237752516,0.0,-0.01911636183622689,0.0,-0.0001581593915014239,0.2857142857142857,0.004170418891092471,0.5714285714285714
EX_I_7,H15,B3,TOP50,gbr,7,0.5139715137049343,1.0,-0.005793048479111773,0.0,-0.00439116265742312,0.0,-8.335140881859197e-05,0.14285714285714285,0.05960218737424343,0.7142857142857143
EX_I_7,H15,B3,TOP50,logistic,7,0.5091985460445235,1.0,-0.013677293580871552,0.0,-0.016048142686871048,0.0,-0.0001332842403961182,0.2857142857142857,0.003975904972862578,0.5714285714285714
EX_I_7,H5,B0,ALL,gbr,7,0.528765589424426,1.0,0.0006340219192785268,0.5714285714285714,0.00041129800163053343,0.5714285714285714,3.4026296202008446e-05,0.5714285714285714,0.13811718976221543,1.0
EX_I_7,H5,B0,ALL,logistic,7,0.5208053526005647,1.0,-0.0038727678792631615,0.14285714285714285,-0.0064441282394014365,0.14285714285714285,-2.2388986512873144e-05,0.2857142857142857,0.03110032928158114,1.0
EX_I_7,H5,B0,TOP20,gbr,7,0.5209665441850149,1.0,-0.0022746317343280698,0.2857142857142857,-0.0016544278755814545,0.2857142857142857,6.332267505018752e-05,0.7142857142857143,0.08867299568889694,1.0
EX_I_7,H5,B0,TOP20,logistic,7,0.5288523366036796,1.0,-0.012026341303889465,0.0,-0.015496699191799967,0.0,-1.5745737231835935e-05,0.42857142857142855,0.02401990716794519,0.8571428571428571
EX_I_7,H5,B0,TOP30,gbr,7,0.5325081941950454,1.0,-0.0016897013392365157,0.42857142857142855,-0.0012916585048736717,0.42857142857142855,1.3712758622463419e-05,0.5714285714285714,0.11942053966347083,1.0
EX_I_7,H5,B0,TOP30,logistic,7,0.5210365035186069,1.0,-0.007270571296167816,0.0,-0.011442473125500507,0.0,-2.0701813305128225e-05,0.2857142857142857,0.02548819943255226,0.8571428571428571
EX_I_7,H5,B0,TOP50,gbr,7,0.5296213481884194,1.0,-0.0019790915114570318,0.2857142857142857,-0.0014940209985272457,0.2857142857142857,1.923375494246749e-05,0.5714285714285714,0.12172117113671803,1.0
EX_I_7,H5,B0,TOP50,logistic,7,0.5183835116116551,1.0,-0.005587764085086544,0.0,-0.00903217174173121,0.0,-5.444654631550003e-05,0.2857142857142857,0.027617420454802186,0.8571428571428571
EX_I_7,H5,B1,ALL,gbr,7,0.5316371136252979,1.0,0.001425823789469871,0.5714285714285714,0.0008433333264402654,0.5714285714285714,-2.2982651438024815e-06,0.42857142857142855,0.14142194771037903,1.0
EX_I_7,H5,B1,ALL,logistic,7,0.5252574524769127,1.0,-0.0034947343286158006,0.14285714285714285,-0.0042421637347245245,0.0,5.854933453802917e-06,0.5714285714285714,0.060609565012731535,1.0
EX_I_7,H5,B1,TOP20,gbr,7,0.5215977524347163,1.0,-0.0008288023985945081,0.2857142857142857,-0.0006069233476169167,0.2857142857142857,-2.2632321496193826e-05,0.42857142857142855,0.10987696206431839,1.0
EX_I_7,H5,B1,TOP20,logistic,7,0.5316113129875739,1.0,-0.013180296018256543,0.0,-0.013966105862490696,0.0,-1.568204058369558e-05,0.42857142857142855,0.029093502597533454,0.8571428571428571
EX_I_7,H5,B1,TOP30,gbr,7,0.53427401226561,1.0,-0.0007350792227134306,0.42857142857142855,-0.0005604638087508551,0.42857142857142855,2.952667144609535e-06,0.5714285714285714,0.11529702270612759,1.0
EX_I_7,H5,B1,TOP30,logistic,7,0.5256270927274656,1.0,-0.007930266620192805,0.0,-0.011502042443300775,0.0,-3.331863738614317e-05,0.42857142857142855,0.031334166681138496,1.0
