bar_index,time,close,oracle_position,oracle_action,oracle_delta,oracle_prev_position,oracle_transition,oracle_entry_side,penalty_bp
2690,2026-07-31 09:00:00,14347.0,-1,HOLD,0,-1,-1->-1,,50
2691,2026-07-31 10:00:00,14305.0,-1,HOLD,0,-1,-1->-1,,50
2692,2026-07-31 11:00:00,14281.0,-1,HOLD,0,-1,-1->-1,,50
2693,2026-07-31 13:00:00,14258.0,-1,HOLD,0,-1,-1->-1,,50
2694,2026-07-31 14:00:00,14264.0,-1,HOLD,0,-1,-1->-1,,50
2695,2026-07-31 21:00:00,13988.0,1,BUY,2,-1,-1->1,BUY,50
2696,2026-07-31 22:00:00,14052.0,1,HOLD,0,1,1->1,,50
2697,2026-07-31 23:00:00,14054.0,1,HOLD,0,1,1->1,,50
2698,2026-08-01 00:00:00,14051.0,1,HOLD,0,1,1->1,,50
2699,2026-08-01 01:00:00,14170.0,1,HOLD,0,1,1->1,,50
2700,2026-08-01 02:00:00,14143.0,1,HOLD,0,1,1->1,,50
2701,2026-08-03 09:00:00,14228.0,-1,SELL,-2,1,1->-1,SELL,50
2702,2026-08-03 10:00:00,14205.0,-1,HOLD,0,-1,-1->-1,,50
2703,2026-08-03 11:00:00,14220.0,-1,HOLD,0,-1,-1->-1,,50
2704,2026-08-03 13:00:00,14197.0,-1,HOLD,0,-1,-1->-1,,50
2705,2026-08-03 14:00:00,14218.0,-1,HOLD,0,-1,-1->-1,,50
2706,2026-08-03 21:00:00,13931.0,1,BUY,2,-1,-1->1,BUY,50
2707,2026-08-03 22:00:00,13977.0,1,HOLD,0,1,1->1,,50
2708,2026-08-03 23:00:00,14011.0,1,HOLD,0,1,1->1,,50
2709,2026-08-04 00:00:00,14088.0,1,HOLD,0,1,1->1,,50
2710,2026-08-04 01:00:00,14087.0,1,HOLD,0,1,1->1,,50
2711,2026-08-04 02:00:00,14153.0,1,HOLD,0,1,1->1,,50
2712,2026-08-04 09:00:00,14319.0,1,HOLD,0,1,1->1,,50
2713,2026-08-04 10:00:00,14312.0,1,HOLD,0,1,1->1,,50
2714,2026-08-04 11:00:00,14337.0,1,HOLD,0,1,1->1,,50
2715,2026-08-04 13:00:00,14401.0,1,HOLD,0,1,1->1,,50
2716,2026-08-04 14:00:00,14373.0,1,HOLD,0,1,1->1,,50
2717,2026-08-04 21:00:00,14568.0,1,HOLD,0,1,1->1,,50
2718,2026-08-04 22:00:00,14531.0,1,HOLD,0,1,1->1,,50
2719,2026-08-04 23:00:00,14569.0,1,HOLD,0,1,1->1,,50
2720,2026-08-05 00:00:00,14603.0,1,HOLD,0,1,1->1,,50
2721,2026-08-05 01:00:00,14604.0,1,HOLD,0,1,1->1,,50
2722,2026-08-05 02:00:00,14593.0,1,HOLD,0,1,1->1,,50
2723,2026-08-05 09:00:00,14625.0,1,HOLD,0,1,1->1,,50
2724,2026-08-05 10:00:00,14828.0,1,HOLD,0,1,1->1,,50
2725,2026-08-05 11:00:00,14860.0,1,HOLD,0,1,1->1,,50
2726,2026-08-05 13:00:00,14999.0,1,HOLD,0,1,1->1,,50
2727,2026-08-05 14:00:00,15105.0,1,HOLD,0,1,1->1,,50
2728,2026-08-05 21:00:00,15240.0,1,HOLD,0,1,1->1,,50
2729,2026-08-05 22:00:00,15228.0,1,HOLD,0,1,1->1,,50
2730,2026-08-05 23:00:00,15163.0,1,HOLD,0,1,1->1,,50
2731,2026-08-06 00:00:00,15219.0,1,HOLD,0,1,1->1,,50
2732,2026-08-06 01:00:00,15228.0,1,HOLD,0,1,1->1,,50
2733,2026-08-06 02:00:00,15260.0,-1,SELL,-2,1,1->-1,SELL,50
2734,2026-08-06 09:00:00,15241.0,-1,HOLD,0,-1,-1->-1,,50
2735,2026-08-06 10:00:00,15259.0,-1,HOLD,0,-1,-1->-1,,50
2736,2026-08-06 11:00:00,15181.0,-1,HOLD,0,-1,-1->-1,,50
2737,2026-08-06 13:00:00,15215.0,-1,HOLD,0,-1,-1->-1,,50
2738,2026-08-06 14:00:00,15091.0,-1,HOLD,0,-1,-1->-1,,50
2739,2026-08-06 21:00:00,15108.0,-1,HOLD,0,-1,-1->-1,,50
2740,2026-08-06 22:00:00,15130.0,-1,HOLD,0,-1,-1->-1,,50
2741,2026-08-06 23:00:00,15020.0,1,BUY,2,-1,-1->1,BUY,50
2742,2026-08-07 00:00:00,15052.0,1,HOLD,0,1,1->1,,50
2743,2026-08-07 01:00:00,15080.0,1,HOLD,0,1,1->1,,50
2744,2026-08-07 02:00:00,15076.0,1,HOLD,0,1,1->1,,50
2745,2026-08-07 09:00:00,15207.0,1,HOLD,0,1,1->1,,50
2746,2026-08-07 10:00:00,15186.0,1,HOLD,0,1,1->1,,50
2747,2026-08-07 11:00:00,15233.0,1,HOLD,0,1,1->1,,50
2748,2026-08-07 13:00:00,15356.0,1,HOLD,0,1,1->1,,50
2749,2026-08-07 14:00:00,15635.0,1,HOLD,0,1,1->1,,50
2750,2026-08-07 21:00:00,15639.0,-1,SELL,-2,1,1->-1,SELL,50
2751,2026-08-07 22:00:00,15517.0,-1,HOLD,0,-1,-1->-1,,50
