symbol,direction,stop_atr,target_r,horizon,n,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,fade,0.5,1.5,6,16483,0.044349,0.000364,0.000243
ALL,fade,0.5,2.0,6,16483,0.025177,0.000607,0.000667
ALL,fade,0.5,2.5,6,16483,0.014378,0.000607,0.000121
ALL,fade,0.5,3.0,6,16483,0.008797,0.000607,0.000789
ALL,fade,0.75,1.0,6,16483,0.01814,0.000789,0.000607
ALL,fade,0.75,1.5,6,16483,0.00722,0.000971,0.001031
ALL,fade,0.75,2.0,6,16483,0.002609,0.000971,0.001031
ALL,fade,0.75,2.5,6,16483,0.001274,0.000971,0.0
ALL,fade,0.75,3.0,6,16483,0.001092,0.000971,0.000182
ALL,fade,1.0,1.0,6,16483,0.004247,0.000182,0.000971
ALL,fade,1.0,1.5,6,16483,0.001092,0.000182,0.001213
ALL,fade,1.0,2.0,6,16483,0.000971,0.000182,6.1e-05
ALL,fade,1.0,2.5,6,16483,0.000546,0.000182,0.000243
ALL,fade,1.0,3.0,6,16483,0.000182,0.000182,0.000121
ALL,fade,1.25,1.0,6,16483,0.002245,0.000667,0.000182
ALL,fade,1.25,1.5,6,16483,0.000728,0.000667,0.0
ALL,fade,1.25,2.0,6,16483,0.000546,0.000667,0.000243
ALL,fade,1.25,2.5,6,16483,0.000182,0.000667,0.000121
ALL,fade,1.25,3.0,6,16483,6.1e-05,0.000667,6.1e-05
ALL,fade,1.5,1.0,6,16483,0.00091,0.000364,0.001213
ALL,fade,1.5,1.5,6,16483,0.000728,0.000364,0.000182
ALL,fade,1.5,2.0,6,16483,0.000182,0.000364,0.000121
ALL,fade,1.5,2.5,6,16483,6.1e-05,0.000364,6.1e-05
ALL,fade,1.5,3.0,6,16483,6.1e-05,0.000364,0.0
ALL,fade,2.0,1.0,6,16483,0.000607,0.0,6.1e-05
ALL,fade,2.0,1.5,6,16483,0.000182,0.0,0.000121
ALL,fade,2.0,2.0,6,16483,6.1e-05,0.0,0.000425
ALL,fade,2.0,2.5,6,16483,0.0,0.0,0.0
ALL,fade,2.0,3.0,6,16483,0.0,0.0,0.0
