group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
EX_I_7,H15,S3,TOP50,logistic,7,0.5127267714229145,1.0,-0.011927174991692713,0.14285714285714285,-0.021091383164957733,0.14285714285714285,-0.00016861214966429694,0.42857142857142855
EX_I_7,H5,S0,ALL,gbr,7,0.5279141277005874,1.0,-0.0015833255551058745,0.42857142857142855,-0.001362321832253821,0.14285714285714285,-1.8869721092339724e-05,0.2857142857142857
EX_I_7,H5,S0,ALL,logistic,7,0.5203841051957279,1.0,-0.001390673241665752,0.14285714285714285,-0.0012018471297949862,0.0,-8.543743799915011e-05,0.42857142857142855
EX_I_7,H5,S0,TOP20,gbr,7,0.5237355824438147,1.0,-0.0036765929358015814,0.14285714285714285,-0.0029290668992727475,0.14285714285714285,-9.010460008560781e-05,0.2857142857142857
EX_I_7,H5,S0,TOP20,logistic,7,0.517032268305321,1.0,-0.009292645870027316,0.0,-0.007894795080820805,0.0,-0.00022190697816377972,0.14285714285714285
EX_I_7,H5,S0,TOP30,gbr,7,0.5266189397060844,1.0,-0.002733580220554588,0.0,-0.0021041632887595085,0.0,-3.5551010053482846e-05,0.42857142857142855
EX_I_7,H5,S0,TOP30,logistic,7,0.5187687687687688,1.0,-0.006081267565946069,0.0,-0.005057312725379459,0.0,-0.0002003763776887203,0.42857142857142855
EX_I_7,H5,S0,TOP50,gbr,7,0.5231632004106319,1.0,-0.0038557635293565706,0.0,-0.003012493027839902,0.0,-5.60526966589626e-05,0.2857142857142857
EX_I_7,H5,S0,TOP50,logistic,7,0.5207429113962894,1.0,-0.005192190855106693,0.0,-0.0044548124563794644,0.0,-0.00013107616268225926,0.42857142857142855
EX_I_7,H5,S1,ALL,gbr,7,0.5314930621954411,1.0,0.0009292266857658937,0.5714285714285714,0.00046043903299364253,0.5714285714285714,5.637827974198306e-05,0.5714285714285714
EX_I_7,H5,S1,ALL,logistic,7,0.5210680228425004,1.0,-0.003841519834522966,0.0,-0.0048217012832094674,0.0,-3.368233663373347e-05,0.2857142857142857
EX_I_7,H5,S1,TOP20,gbr,7,0.5284782030834663,1.0,-0.002063618367481812,0.42857142857142855,-0.0015783113600877918,0.42857142857142855,8.247496526791474e-05,0.5714285714285714
EX_I_7,H5,S1,TOP20,logistic,7,0.5225804928734592,1.0,-0.01082932232454259,0.0,-0.013322227052434688,0.0,-0.00010139858567507313,0.14285714285714285
EX_I_7,H5,S1,TOP30,gbr,7,0.531092269262464,1.0,-2.2329037851598343e-05,0.42857142857142855,-4.154754013163675e-05,0.2857142857142857,2.2349663996397578e-05,0.5714285714285714
EX_I_7,H5,S1,TOP30,logistic,7,0.5232925287181206,1.0,-0.008630612980479624,0.0,-0.008406587171774005,0.0,-0.0001048725907166602,0.14285714285714285
EX_I_7,H5,S1,TOP50,gbr,7,0.5291352638994614,1.0,-0.001835694412727129,0.2857142857142857,-0.0014469280364481918,0.2857142857142857,4.038089681641326e-05,0.7142857142857143
EX_I_7,H5,S1,TOP50,logistic,7,0.5211510315559187,1.0,-0.006193573306056077,0.0,-0.006471017774017485,0.0,-4.740986192049886e-05,0.14285714285714285
EX_I_7,H5,S2,ALL,gbr,7,0.5288329418265817,1.0,0.00033706984186931965,0.5714285714285714,0.0001545977944005239,0.5714285714285714,-2.48099199188938e-07,0.42857142857142855
