ns,contract
1762321500000000000,SHFE.ag2512
1762322400000000000,SHFE.ag2512
1762323300000000000,SHFE.ag2512
1762324200000000000,SHFE.ag2512
1762325100000000000,SHFE.ag2512
1762347600000000000,SHFE.ag2512
1762348500000000000,SHFE.ag2512
1762349400000000000,SHFE.ag2512
1762350300000000000,SHFE.ag2512
1762351200000000000,SHFE.ag2512
1762352100000000000,SHFE.ag2512
1762353000000000000,SHFE.ag2512
1762353900000000000,SHFE.ag2512
1762354800000000000,SHFE.ag2512
1762355700000000000,SHFE.ag2512
1762356600000000000,SHFE.ag2512
1762357500000000000,SHFE.ag2512
1762358400000000000,SHFE.ag2512
1762359300000000000,SHFE.ag2512
1762360200000000000,SHFE.ag2512
1762361100000000000,SHFE.ag2512
1762362000000000000,SHFE.ag2512
1762362900000000000,SHFE.ag2512
1762363800000000000,SHFE.ag2512
1762364700000000000,SHFE.ag2512
1762365600000000000,SHFE.ag2512
1762366500000000000,SHFE.ag2512
1762390800000000000,SHFE.ag2512
1762391700000000000,SHFE.ag2512
1762392600000000000,SHFE.ag2512
1762393500000000000,SHFE.ag2512
1762394400000000000,SHFE.ag2512
1762396200000000000,SHFE.ag2512
1762397100000000000,SHFE.ag2512
1762398000000000000,SHFE.ag2512
1762398900000000000,SHFE.ag2512
1762407000000000000,SHFE.ag2512
1762407900000000000,SHFE.ag2512
1762408800000000000,SHFE.ag2512
1762409700000000000,SHFE.ag2512
1762410600000000000,SHFE.ag2512
1762411500000000000,SHFE.ag2512
1762434000000000000,SHFE.ag2512
1762434900000000000,SHFE.ag2512
1762435800000000000,SHFE.ag2512
1762436700000000000,SHFE.ag2512
1762437600000000000,SHFE.ag2512
1762438500000000000,SHFE.ag2512
1762439400000000000,SHFE.ag2512
1762440300000000000,SHFE.ag2512
1762441200000000000,SHFE.ag2512
1762442100000000000,SHFE.ag2512
1762443000000000000,SHFE.ag2512
1762443900000000000,SHFE.ag2512
1762444800000000000,SHFE.ag2512
1762445700000000000,SHFE.ag2512
1762446600000000000,SHFE.ag2512
1762447500000000000,SHFE.ag2512
1762448400000000000,SHFE.ag2512
1762449300000000000,SHFE.ag2512
1762450200000000000,SHFE.ag2512
1762451100000000000,SHFE.ag2512
1762452000000000000,SHFE.ag2512
1762452900000000000,SHFE.ag2512
1762477200000000000,SHFE.ag2512
1762478100000000000,SHFE.ag2512
1762479000000000000,SHFE.ag2512
1762479900000000000,SHFE.ag2512
1762480800000000000,SHFE.ag2512
1762482600000000000,SHFE.ag2512
1762483500000000000,SHFE.ag2512
1762484400000000000,SHFE.ag2512
1762485300000000000,SHFE.ag2512
1762493400000000000,SHFE.ag2512
1762494300000000000,SHFE.ag2512
1762495200000000000,SHFE.ag2512
1762496100000000000,SHFE.ag2512
1762497000000000000,SHFE.ag2512
1762497900000000000,SHFE.ag2512
1762520400000000000,SHFE.ag2512
1762521300000000000,SHFE.ag2512
1762522200000000000,SHFE.ag2512
