risk_ATR,wf,model,n_train,n_test,base_delivery_rate,roc_auc,pr_auc,brier,logloss,top20_delivery_rate,bottom20_delivery_rate,bottom20_avoidance_gain
0.5,WF2,M_trend,46207,23468,0.5279562982005142,0.5567872477802284,0.5638073254868604,0.2482845653767723,0.6905538786918912,0.5666808691947166,0.44056242011077973,0.08739387808973442
0.5,WF2,M_ob,46207,23468,0.5279562982005142,0.559454217641036,0.5665844777259889,0.24890279617708816,0.6917729647663385,0.5811674478057094,0.4309757136770345,0.09698058452347963
0.5,WF2,M_full,46207,23468,0.5279562982005142,0.6994402803782868,0.7159862938038846,0.2268211329198564,0.6549729387478316,0.7707711972731146,0.28376651043885814,0.244189787761656
0.5,WF2,M_full_minus_contact,46207,23468,0.5279562982005142,0.7030671077949228,0.7216849084139941,0.2246609289552876,0.6479840134238222,0.7912228376651044,0.2873881550916063,0.24056814310890784
0.5,WF2,M_full_minus_liquidity,46207,23468,0.5279562982005142,0.5896789272471797,0.6081829955614229,0.2474091037058247,0.6900996346118011,0.6333617383894333,0.4284192586280358,0.09953703957247834
0.5,WF2,M_full_minus_trend,46207,23468,0.5279562982005142,0.7019563302012494,0.7193226869852862,0.2257497000552423,0.6523478093805805,0.7803579037068599,0.28248828291435873,0.24546801528615542
0.5,WF2,M_full_minus_ob,46207,23468,0.5279562982005142,0.6998799220745631,0.7166714216881055,0.22641770997514152,0.6537687562859434,0.7737537281636131,0.2850447379633575,0.24291156023715665
0.5,WF3,M0,69675,23685,0.5279562982005142,0.5785252270096995,0.5818230390985072,0.24495283802038173,0.6830025047207997,0.6058686932657801,0.43360776862993455,0.0943485295705796
0.5,WF3,M_contact,69675,23685,0.5279562982005142,0.5973459870998429,0.6010064561638975,0.2444537609907694,0.6830034769322066,0.6447118429385688,0.40553092674688623,0.12242537145362792
0.5,WF3,M_liquidity,69675,23685,0.5279562982005142,0.7142157617880962,0.729734441796826,0.21660184926197978,0.6240520561303586,0.7945957356976989,0.2765463373443107,0.25140996085620343
0.5,WF3,M_trend,69675,23685,0.5279562982005142,0.5791503022213367,0.580899301599709,0.24495839678278908,0.6830262862909483,0.6164238969812117,0.4333966645556259,0.09455963364488823
0.5,WF3,M_ob,69675,23685,0.5279562982005142,0.585881637505084,0.588719273933013,0.24419574670503513,0.6814661443321878,0.621490394764619,0.42263035676588556,0.10532594143462859
