wf,action,first_h,scale,target_bin,risk_bin,plane,n_available,n_resolved,target_first_rate,stop_first_rate,ambiguous_rate,censored_rate,E_R_lower,E_R_upper,ambiguity_gap_R,median_target_atr,median_risk_atr,median_RR,rr_bin
WF2,OUTWARD,2,0.2,>=5,0.25-0.5,target_x_risk,446,428,0.020179372197309416,0.9394618834080718,0.0,0.04035874439461883,-0.5776055347379192,-0.5776055347379192,0.0,6.556907831666176,0.36116036617580255,19.5,
WF2,OUTWARD,2,0.2,>=5,0.5-1,target_x_risk,411,380,0.0681265206812652,0.8564476885644768,0.0,0.07542579075425791,-0.38813712178721244,-0.38813712178721244,0.0,6.756756756756756,0.7534246575342466,10.0,
WF2,OUTWARD,2,0.2,3-5,<0.25,target_x_risk,745,744,0.013422818791946308,0.9852348993288591,0.0,0.0013422818791946308,-0.3587223309485533,-0.3587223309485533,0.0,3.7356266360154637,0.15748031496062992,25.0,
WF2,OUTWARD,2,0.2,1-2,2-3,target_x_risk,239,232,0.497907949790795,0.47280334728033474,0.0,0.029288702928870293,-0.16522431736971102,-0.16522431736971102,0.0,1.5,2.272727272727273,0.6666666666666666,
WF2,OUTWARD,2,0.2,2-3,0.5-1,target_x_risk,1291,1275,0.13555383423702555,0.8497288923315259,0.0023237800154918666,0.012393493415956624,-0.41915102151502115,-0.4084318630049909,0.01071915851003031,2.3529411764705883,0.7142857142857143,3.3333333333333335,
WF2,OUTWARD,2,0.2,2-3,1-2,target_x_risk,637,611,0.3390894819466248,0.6153846153846154,0.004709576138147566,0.04081632653061224,-0.015025568343468805,0.0013410437678241511,0.016366612111292964,2.4378109452736316,1.2820512820512822,1.8229166666666667,
WF2,OUTWARD,2,0.2,1-2,1-2,target_x_risk,1374,1360,0.4468704512372635,0.5334788937409025,0.009461426491994178,0.010189228529839884,-0.06838715097401411,-0.05004250542348621,0.018344645550527904,1.4583333333333335,1.3235294117647058,1.0588113647591364,
WF2,OUTWARD,2,0.2,0.5-1,<0.25,target_x_risk,359,359,0.0947075208913649,0.8328690807799443,0.07242339832869081,0.0,-0.5060343386313854,-0.06535755178557663,0.44067678684580874,0.8333333333333334,0.16666666666666666,5.0,
WF2,OUTWARD,2,0.2,3-5,2-3,target_x_risk,149,136,0.2684563758389262,0.6442953020134228,0.0,0.087248322147651,-0.2513274711274462,-0.2513274711274462,0.0,3.8365650969529086,2.3728813559322033,1.625,
WF2,OUTWARD,2,0.2,<0.5,1-2,target_x_risk,507,507,0.6449704142011834,0.3214990138067061,0.03353057199211045,0.0,-0.20762616530045572,-0.16679942197779563,0.0408267433226601,0.3333333333333333,1.3380281690140845,0.2391304347826087,
WF2,OUTWARD,2,0.2,0.5-1,2-3,target_x_risk,119,115,0.7310924369747899,0.23529411764705882,0.0,0.03361344537815126,-0.009772364837446788,-0.009772364837446788,0.0,0.7692307692307693,2.406417112299465,0.3125,
WF2,OUTWARD,2,0.2,0.5-1,0.25-0.5,target_x_risk,776,776,0.22809278350515463,0.7461340206185567,0.02577319587628866,0.0,-0.31667635661979904,-0.22923158489667683,0.08744477172312225,0.7923497267759563,0.36500608689609887,2.0,
WF2,OUTWARD,2,0.2,2-3,2-3,target_x_risk,111,109,0.3333333333333333,0.6486486486486487,0.0,0.018018018018018018,-0.3146005724974763,-0.3146005724974763,0.0,2.4999999999999796,2.25,1.0964912280701755,
WF2,OUTWARD,2,0.2,>=5,2-3,target_x_risk,80,56,0.1,0.6,0.0,0.3,-0.4142458425978189,-0.4142458425978189,0.0,7.1225649350649345,2.4006960556844548,3.1219512195121952,
WF2,OUTWARD,2,0.2,>=5,>=3,target_x_risk,78,47,0.0641025641025641,0.5384615384615384,0.0,0.3974358974358974,-0.7475708029056464,-0.7475708029056464,0.0,6.428571428571429,4.166666666666667,1.5206695214936914,
WF2,OUTWARD,2,0.2,1-2,>=3,target_x_risk,111,105,0.6306306306306306,0.24324324324324326,0.07207207207207207,0.05405405405405406,-0.08289420578848378,0.007535278294805117,0.09042948408328891,1.5384615384615383,3.723404255319149,0.375,
WF2,OUTWARD,2,0.2,3-5,>=3,target_x_risk,86,79,0.47674418604651164,0.4418604651162791,0.0,0.08139534883720931,-0.014912231134124465,-0.014912231134124465,0.0,3.740671641791045,3.586938493893069,0.9812312777345222,
WF1,OUTWARD,2,0.4,>=5,1-2,target_x_risk,441,366,0.06802721088435375,0.7619047619047619,0.0,0.17006802721088435,-0.49924818791281345,-0.49924818791281345,0.0,6.271186440677966,1.3392857142857142,5.0,
WF1,OUTWARD,2,0.4,3-5,0.5-1,target_x_risk,951,891,0.07886435331230283,0.8580441640378549,0.0,0.06309148264984227,-0.4749027313022113,-0.4749027313022113,0.0,3.6363636363636362,0.730089391811602,5.08354526958291,
WF1,OUTWARD,2,0.4,1-2,0.5-1,target_x_risk,2209,2175,0.2458125848800362,0.7320054323223177,0.006790402897238569,0.015391579900407425,-0.2812235506313928,-0.26106995714783376,0.020153593483559034,1.411080018728019,0.6944444444444444,2.0,
WF1,OUTWARD,2,0.4,0.5-1,<0.25,target_x_risk,303,303,0.17491749174917492,0.735973597359736,0.0891089108910891,0.0,-0.07301073021080297,0.4522665641814568,0.5252772943922597,0.8333333333333334,0.18518518518518517,4.5,
WF1,OUTWARD,2,0.4,1-2,1-2,target_x_risk,1241,1213,0.41982272360999195,0.5551974214343272,0.0024174053182917004,0.022562449637389202,-0.13465779261457775,-0.12971137876461897,0.00494641384995878,1.4285714285714286,1.3157866558159887,1.0,
WF1,OUTWARD,2,0.4,3-5,<0.25,target_x_risk,372,364,0.02956989247311828,0.9489247311827957,0.0,0.021505376344086023,-0.38630600169061713,-0.38630600169061713,0.0,3.6956521739130435,0.17857142857142858,21.0,
WF1,OUTWARD,2,0.4,1-2,<0.25,target_x_risk,1116,1116,0.042114695340501794,0.9417562724014337,0.016129032258064516,0.0,-0.6340184829953727,-0.4925381814819422,0.14148030151343038,1.4634146341463417,0.17857142857142858,8.0,
WF1,OUTWARD,2,0.4,2-3,1-2,target_x_risk,667,632,0.27886056971514245,0.6671664167916042,0.0014992503748125937,0.05247376311844078,-0.16855821406650306,-0.16420694824371826,0.00435126582278481,2.4545454545454546,1.25,2.0,
WF1,OUTWARD,2,0.4,3-5,0.25-0.5,target_x_risk,677,661,0.0310192023633678,0.9453471196454948,0.0,0.023633677991137372,-0.6110711220116409,-0.6110711220116409,0.0,3.6666666666666665,0.3571817844919669,10.199951171874773,
WF1,OUTWARD,2,0.4,<0.5,0.5-1,target_x_risk,445,445,0.6112359550561798,0.3303370786516854,0.058426966292134834,0.0,-0.11538335257280888,-0.027983673600096185,0.08739967897271267,0.35714285714285715,0.7407407407407407,0.5,
WF1,OUTWARD,2,0.4,2-3,0.25-0.5,target_x_risk,1053,1047,0.09876543209876543,0.8888888888888888,0.006647673314339981,0.005698005698005698,-0.2209073306441405,-0.16073541087336687,0.06017191977077364,2.3943701322146382,0.3703660837258828,6.5,
WF1,OUTWARD,2,0.4,0.5-1,0.5-1,target_x_risk,1291,1269,0.4500387296669249,0.5220759101471727,0.010844306738962044,0.017041053446940357,-0.07071944335667142,-0.047209951416766996,0.023509491939904426,0.7317073170731708,0.7142857142857143,1.0,
WF1,OUTWARD,2,0.4,1-2,0.25-0.5,target_x_risk,1567,1564,0.11869814932992981,0.8691767708998086,0.01021059349074665,0.0019144862795149968,-0.4385898652258189,-0.3871194721037966,0.05147039312202224,1.4583333333333333,0.35714285714285715,4.0,
WF1,OUTWARD,2,0.4,2-3,0.5-1,target_x_risk,1169,1142,0.1343028229255774,0.8417450812660393,0.000855431993156544,0.023096663815226688,-0.4013283031461582,-0.39724190501422596,0.004086398131932282,2.3913043478260874,0.7142857142857143,3.5,
WF1,OUTWARD,2,0.4,2-3,<0.25,target_x_risk,647,647,0.02627511591962906,0.9721792890262752,0.0015455950540958269,0.0,-0.4814674709914938,47.0023037809405,47.48377125193199,2.4,0.18518518518518517,13.0,
