signal_gid,selected_edge_index,selected_edge_train_count,selected_edge_unseen,selected_edge_gt_train_p95,selected_edge_gt_train_p99,selected_edge_gt_train_max,selected_graph_ev,selected_p_reach,selected_rr_ref
848,0,21135,False,False,False,False,-0.8560298513090342,0.00395157900097745,8.6507936507934
849,0,21135,False,False,False,False,-0.8351463076819949,1.561807893572917e-05,16.2
850,0,21135,False,False,False,False,-0.8362203081093463,3.601536007290326e-05,15.142857142857142
851,0,21135,False,False,False,False,-0.860098635818628,0.004346313761370057,8.541666666667963
852,0,21135,False,False,False,False,-0.015848903566050454,0.4666107001493187,1.037735849056568
853,0,21135,False,False,False,False,-0.015848903566050454,0.4666107001493187,1.037735849056568
854,0,21135,False,False,False,False,-0.24898379421046601,0.16188738445379727,3.260869565217133
855,1,9229,False,False,False,False,-0.8248071408249135,0.00762438685045824,9.142857142857142
856,0,21135,False,False,False,False,-0.6113949213291179,0.05653290993931286,4.810126582278703
857,0,21135,False,False,False,False,0.08727812884629804,0.5489187425817447,0.9523809523809935
858,0,21135,False,False,False,False,-0.2438335430140104,0.16419392430619964,3.2575757575755784
859,0,21135,False,False,False,False,-0.2438335430140104,0.16419392430619964,3.2575757575755784
860,0,21135,False,False,False,False,-0.017833515681592915,0.5402786790563573,0.7692307692306616
861,0,21135,False,False,False,False,-0.2438335430140104,0.16419392430619964,3.2575757575755784
862,1,9229,False,False,False,False,-0.16103191289983954,0.1582714643249846,3.863636363636683
863,0,21135,False,False,False,False,-0.18365123994724677,0.6233274479253982,0.2739726027397192
864,0,21135,False,False,False,False,0.06096790077093439,0.4167790580436828,1.4615384615384615
865,1,9229,False,False,False,False,-0.8469728344502565,0.006098543405760317,8.656716417910683
866,0,21135,False,False,False,False,-0.7704891625764055,0.018684484196664797,6.477272727273262
867,0,21135,False,False,False,False,-0.4465835230203506,0.09440485158689244,4.117647058823419
868,1,9229,False,False,False,False,-0.4504688585232852,0.0817272742256374,4.831460674157501
869,1,9229,False,False,False,False,-0.8419893208868164,2.438601834432868e-05,16.354166666666046
871,0,21135,False,False,False,False,-0.26538610913084215,0.6771266488287118,0.06944444444444621
872,0,21135,False,False,False,False,-0.7310460925493107,0.027788365122390503,5.8125
873,0,21135,False,False,False,False,-0.7180167817507142,0.029474257053607466,5.706806282722405
874,0,21135,False,False,False,False,-0.0076221622113478715,0.5322881607757457,0.8139534883720585
875,0,21135,False,False,False,False,0.05310424717099449,0.39308766958342245,1.5789473684210313
876,0,21135,False,False,False,False,-0.5616591829878486,0.057139473660528135,4.622093023255863
877,0,21135,False,False,False,False,0.010107420979644233,0.4069011018260241,1.3951310861423316
879,0,21135,False,False,False,False,-0.8060254615118143,0.003987186980687872,8.248730964467082
880,0,21135,False,False,False,False,-0.680482893485029,0.036273069093278536,5.531914893617022
881,0,21135,False,False,False,False,-0.26522122780006685,0.16363853645624035,3.12
882,0,21135,False,False,False,False,-0.8732773711370572,4.612483989663514e-05,14.629629629628974
883,0,21135,False,False,False,False,0.026623392015907132,0.33688468442041475,1.9166666666666667
884,0,21135,False,False,False,False,-0.04277232777791207,0.3013326907964214,2.021276595744662
885,0,21135,False,False,False,False,-0.0462178029616353,0.5541496273387547,0.6722689075630458
886,0,21135,False,False,False,False,-0.11837671123109561,0.5563937590710245,0.5364784381771511
887,0,21135,False,False,False,False,-0.05133603626651945,0.6293107872762624,0.4878048780487913
888,0,21135,False,False,False,False,-0.8013638546032135,0.0004002785682327731,11.535433070866308
889,1,9229,False,False,False,False,-0.6485776321313914,0.032878953154176604,7.034883720929934
890,1,9229,False,False,False,False,-0.6345525384887057,5.16960877779924e-10,32.788461538462684
891,0,21135,False,False,False,False,-0.1584926911181579,0.6128794302788876,0.33556827044704884
892,0,21135,False,False,False,False,-0.8367701933027469,0.008200570053078657,7.656250000000435
893,0,21135,False,False,False,False,-0.023773928672777944,0.35190776924627487,1.5878378378378184
894,1,9229,False,False,False,False,-0.41388600660744057,0.08784286957696312,4.782608695652111
895,0,21135,False,False,False,False,-0.08697786694091592,0.26064140551691595,2.3214285714284206
896,0,21135,False,False,False,False,-0.7655166675749842,0.023501902602331513,6.078431372548586
897,0,21135,False,False,False,False,-0.510057565312708,0.07398017785430314,4.117647058823603
898,0,21135,False,False,False,False,-0.17497385074769056,0.2063153239593957,2.74509803921549
900,0,21135,False,False,False,False,-0.017902802667866535,0.4697121263784824,1.0204081632653819
901,0,21135,False,False,False,False,-0.14406365766998558,0.544712103118616,0.492957746478848
902,0,21135,False,False,False,False,-0.009494765615060796,0.3388347794385785,1.8229166666665975
1172,0,21135,False,False,False,False,-0.030023933401930658,0.3159164560642404,1.92622950819675
1173,0,21135,False,False,False,False,-0.06766898671467275,0.4871188121524396,0.8130081300812889
1174,0,21135,False,False,False,False,-0.08627310390485099,0.5414402608143128,0.6395348837209032
1176,0,21135,False,False,False,False,-0.7368146331659942,0.025700828531326388,5.902255639097664
1177,0,21135,False,False,False,False,0.03515001887415847,0.48855256198874836,1.0576923076923448
1178,0,21135,False,False,False,False,-0.5326089466854358,0.07077041612360549,4.553571428571132
1179,0,21135,False,False,False,False,-0.7528411728229882,0.02193846999040901,6.250000000000516
