rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,kappa,model,direction,block,rel_wrmse_improvement
89621,2.213891931994391,3.5281648714184235,-0.16689309607194236,,1.9709427675739775,3.017187402744031,-0.0030434200671005662,,0.005,M0,short,baseline_test,
86479,2.1550075742280375,3.420736389193772,-0.07306067901391322,0.033545274645703414,2.0480103879772114,3.152727405201723,0.02766458280727524,,0.005,M0,short,model_validation,0.015259687373204567
89621,2.238202924766229,3.4092109785490394,-0.08953474381198956,0.04610024645144428,1.9958214707520703,2.9643714590508723,0.03176582355364399,,0.005,M0,short,model_test,0.01750502592087062
86479,2.119772733494635,3.518434244564391,-0.1352302203015192,,2.0280684911384435,3.201582554076435,-0.0027038232689617914,,0.005,M1,short,baseline_validation,
89621,2.213891931994391,3.5281648714184235,-0.16689309607194236,,1.9709427675739775,3.017187402744031,-0.0030434200671005662,,0.005,M1,short,baseline_test,
86479,2.191170426474007,3.39168726505885,-0.054913055688115664,0.05572248326816048,1.9873463330183867,3.079617688989759,0.07223737620225812,,0.005,M1,short,model_validation,0.03809518043861893
89621,2.2302600546290456,3.330911355487194,-0.04006259460816253,0.10540091327331995,1.891664607844511,2.8375630029448327,0.11283134778187853,,0.005,M1,short,model_test,0.05953372324033828
86479,2.1687815993919277,3.5698848897255413,-0.17900430629550246,,1.9468956979069756,3.0939164753637987,-0.0006141907498837806,,0.01,M0,long,baseline_validation,
89621,2.229578101767723,3.5335669291168545,-0.22647291767706368,,1.9001613639174715,2.953869111196073,-0.012732373277264397,,0.01,M0,long,baseline_test,
86479,2.1622475374562424,3.499804556775455,-0.13316864944459006,0.05681166170596154,1.9279332475775257,3.053065747454891,0.025634717458906553,,0.01,M0,long,model_validation,0.013203565200997937
89621,2.193284345168087,3.4052257278864286,-0.13899844573031195,0.06413066470392537,1.8930849265806986,2.8895447835072035,0.0308945014494737,,0.01,M0,long,model_test,0.021776295857206546
86479,2.1687815993919277,3.5698848897255413,-0.17900430629550246,,1.9468956979069756,3.0939164753637987,-0.0006141907498837806,,0.01,M1,long,baseline_validation,
89621,2.229578101767723,3.5335669291168545,-0.22647291767706368,,1.9001613639174715,2.953869111196073,-0.012732373277264397,,0.01,M1,long,baseline_test,
86479,2.2013308990020546,3.391828125096373,-0.06432592341156318,0.07298125012061091,1.9023029024890705,2.938964953811038,0.09710280860718812,,0.01,M1,long,model_validation,0.050082645341788225
89621,2.2217994631454254,3.3120174514744436,-0.07749819765290433,0.07176965858023332,1.850242167777973,2.786192499274284,0.09897999069074592,,0.01,M1,long,model_test,0.056765078481725205
86479,2.1192234093103517,3.5173815393223995,-0.1347824845720489,,2.0263606429139003,3.199730280162951,-0.00270578101672192,,0.01,M0,short,baseline_validation,
89621,2.2132988417912434,3.527003906489298,-0.1663608846250657,,1.9694127549286091,3.015387997143046,-0.0030343941458408352,,0.01,M0,short,baseline_test,
86479,2.1531297364664237,3.4220131953269073,-0.07408097414029835,0.033130642159060406,2.0474520224106185,3.1560097823390314,0.0245085712416514,,0.01,M0,short,model_validation,0.013663807257433234
89621,2.2390725719636877,3.4138187369495574,-0.0927026106109905,0.039143123327934896,1.996086758987759,2.9648085534809567,0.030332741585130774,,0.01,M0,short,model_test,0.016773776280203784
